Time,melania trump
2023-04-26,11
2023-04-27,12
2023-04-28,9
2023-04-29,8
2023-04-30,6
2023-05-01,5
2023-05-02,6
2023-05-03,5
2023-05-04,5
2023-05-05,5
2023-05-06,7
2023-05-07,5
2023-05-08,6
2023-05-09,10
2023-05-10,14
2023-05-11,8
2023-05-12,7
2023-05-13,6
2023-05-14,7
2023-05-15,6
2023-05-16,5
2023-05-17,5
2023-05-18,5
2023-05-19,4
2023-05-20,6
2023-05-21,5
2023-05-22,5
2023-05-23,5
2023-05-24,4
2023-05-25,5
2023-05-26,4
2023-05-27,6
2023-05-28,5
2023-05-29,5
2023-05-30,4
2023-05-31,5
2023-06-01,5
2023-06-02,5
2023-06-03,5
2023-06-04,6
2023-06-05,4
2023-06-06,4
2023-06-07,5
2023-06-08,6
2023-06-09,18
2023-06-10,16
2023-06-11,11
2023-06-12,11
2023-06-13,27
2023-06-14,24
2023-06-15,13
2023-06-16,11
2023-06-17,9
2023-06-18,6
2023-06-19,7
2023-06-20,7
2023-06-21,6
2023-06-22,5
2023-06-23,6
2023-06-24,5
2023-06-25,6
2023-06-26,5
2023-06-27,6
2023-06-28,6
2023-06-29,6
2023-06-30,5
2023-07-01,5
2023-07-02,7
2023-07-03,5
2023-07-04,6
2023-07-05,5
2023-07-06,4
2023-07-07,4
2023-07-08,6
2023-07-09,5
2023-07-10,4
2023-07-11,4
2023-07-12,4
2023-07-13,5
2023-07-14,6
2023-07-15,5
2023-07-16,5
2023-07-17,4
2023-07-18,5
2023-07-19,6
2023-07-20,6
2023-07-21,5
2023-07-22,5
2023-07-23,5
2023-07-24,4
2023-07-25,4
2023-07-26,8
2023-07-27,6
2023-07-28,7
2023-07-29,8
2023-07-30,11
2023-07-31,9
2023-08-01,11
2023-08-02,13
2023-08-03,19
2023-08-04,17
2023-08-05,11
2023-08-06,9
2023-08-07,8
2023-08-08,8
2023-08-09,11
2023-08-10,12
2023-08-11,10
2023-08-12,9
2023-08-13,8
2023-08-14,7
2023-08-15,13
2023-08-16,15
2023-08-17,12
2023-08-18,10
2023-08-19,11
2023-08-20,8
2023-08-21,8
2023-08-22,14
2023-08-23,10
2023-08-24,16
2023-08-25,29
2023-08-26,17
2023-08-27,14
2023-08-28,9
2023-08-29,11
2023-08-30,7
2023-08-31,9
2023-09-01,7
2023-09-02,7
2023-09-03,5
2023-09-04,5
2023-09-05,6
2023-09-06,5
2023-09-07,5
2023-09-08,5
2023-09-09,7
2023-09-10,10
2023-09-11,7
2023-09-12,5
2023-09-13,6
2023-09-14,7
2023-09-15,7
2023-09-16,7
2023-09-17,7
2023-09-18,7
2023-09-19,6
2023-09-20,5
2023-09-21,5
2023-09-22,5
2023-09-23,6
2023-09-24,6
2023-09-25,5
2023-09-26,5
2023-09-27,8
2023-09-28,7
2023-09-29,10
2023-09-30,10
2023-10-01,9
2023-10-02,10
2023-10-03,11
2023-10-04,9
2023-10-05,8
2023-10-06,7
2023-10-07,8
2023-10-08,7
2023-10-09,5
2023-10-10,5
2023-10-11,5
2023-10-12,5
2023-10-13,4
2023-10-14,5
2023-10-15,6
2023-10-16,4
2023-10-17,4
2023-10-18,7
2023-10-19,7
2023-10-20,7
2023-10-21,6
2023-10-22,7
2023-10-23,13
2023-10-24,8
2023-10-25,6
2023-10-26,5
2023-10-27,6
2023-10-28,6
2023-10-29,5
2023-10-30,4
2023-10-31,5
2023-11-01,6
2023-11-02,5
2023-11-03,5
2023-11-04,6
2023-11-05,5
2023-11-06,7
2023-11-07,7
2023-11-08,6
2023-11-09,7
2023-11-10,8
2023-11-11,7
2023-11-12,6
2023-11-13,6
2023-11-14,5
2023-11-15,6
2023-11-16,5
2023-11-17,6
2023-11-18,6
2023-11-19,6
2023-11-20,8
2023-11-21,6
2023-11-22,5
2023-11-23,6
2023-11-24,6
2023-11-25,6
2023-11-26,6
2023-11-27,5
2023-11-28,32
2023-11-29,54
2023-11-30,26
2023-12-01,13
2023-12-02,11
2023-12-03,7
2023-12-04,6
2023-12-05,6
2023-12-06,4
2023-12-07,6
2023-12-08,6
2023-12-09,6
2023-12-10,5
2023-12-11,5
2023-12-12,5
2023-12-13,6
2023-12-14,14
2023-12-15,23
2023-12-16,18
2023-12-17,12
2023-12-18,11
2023-12-19,9
2023-12-20,11
2023-12-21,7
2023-12-22,8
2023-12-23,7
2023-12-24,6
2023-12-25,8
2023-12-26,12
2023-12-27,16
2023-12-28,15
2023-12-29,13
2023-12-30,9
2023-12-31,10
2024-01-01,13
2024-01-02,18
2024-01-03,11
2024-01-04,11
2024-01-05,10
2024-01-06,9
2024-01-07,10
2024-01-08,6
2024-01-09,8
2024-01-10,100
2024-01-11,38
2024-01-12,18
2024-01-13,12
2024-01-14,13
2024-01-15,10
2024-01-16,19
2024-01-17,14
2024-01-18,35
2024-01-19,36
2024-01-20,27
