Time,t mobile
2023-04-26,55
2023-04-27,57
2023-04-28,62
2023-04-29,62
2023-04-30,60
2023-05-01,68
2023-05-02,63
2023-05-03,59
2023-05-04,58
2023-05-05,56
2023-05-06,62
2023-05-07,52
2023-05-08,54
2023-05-09,61
2023-05-10,55
2023-05-11,58
2023-05-12,61
2023-05-13,59
2023-05-14,57
2023-05-15,59
2023-05-16,61
2023-05-17,61
2023-05-18,63
2023-05-19,63
2023-05-20,67
2023-05-21,57
2023-05-22,60
2023-05-23,60
2023-05-24,60
2023-05-25,64
2023-05-26,65
2023-05-27,73
2023-05-28,62
2023-05-29,59
2023-05-30,64
2023-05-31,62
2023-06-01,66
2023-06-02,68
2023-06-03,70
2023-06-04,65
2023-06-05,66
2023-06-06,65
2023-06-07,62
2023-06-08,61
2023-06-09,63
2023-06-10,66
2023-06-11,63
2023-06-12,65
2023-06-13,65
2023-06-14,67
2023-06-15,68
2023-06-16,69
2023-06-17,69
2023-06-18,64
2023-06-19,67
2023-06-20,80
2023-06-21,69
2023-06-22,68
2023-06-23,68
2023-06-24,65
2023-06-25,63
2023-06-26,67
2023-06-27,67
2023-06-28,65
2023-06-29,61
2023-06-30,71
2023-07-01,68
2023-07-02,68
2023-07-03,71
2023-07-04,61
2023-07-05,65
2023-07-06,69
2023-07-07,71
2023-07-08,72
2023-07-09,64
2023-07-10,70
2023-07-11,73
2023-07-12,70
2023-07-13,69
2023-07-14,70
2023-07-15,68
2023-07-16,62
2023-07-17,68
2023-07-18,82
2023-07-19,73
2023-07-20,68
2023-07-21,76
2023-07-22,67
2023-07-23,63
2023-07-24,66
2023-07-25,67
2023-07-26,68
2023-07-27,70
2023-07-28,69
2023-07-29,70
2023-07-30,63
2023-07-31,64
2023-08-01,73
2023-08-02,73
2023-08-03,70
2023-08-04,68
2023-08-05,63
2023-08-06,62
2023-08-07,68
2023-08-08,68
2023-08-09,66
2023-08-10,68
2023-08-11,69
2023-08-12,68
2023-08-13,61
2023-08-14,67
2023-08-15,68
2023-08-16,67
2023-08-17,67
2023-08-18,66
2023-08-19,66
2023-08-20,61
2023-08-21,66
2023-08-22,68
2023-08-23,68
2023-08-24,63
2023-08-25,65
2023-08-26,65
2023-08-27,64
2023-08-28,60
2023-08-29,67
2023-08-30,65
2023-08-31,61
2023-09-01,68
2023-09-02,67
2023-09-03,58
2023-09-04,60
2023-09-05,60
2023-09-06,61
2023-09-07,60
2023-09-08,59
2023-09-09,58
2023-09-10,54
2023-09-11,57
2023-09-12,73
2023-09-13,88
2023-09-14,72
2023-09-15,98
2023-09-16,86
2023-09-17,77
2023-09-18,72
2023-09-19,72
2023-09-20,70
2023-09-21,67
2023-09-22,83
2023-09-23,95
2023-09-24,87
2023-09-25,80
2023-09-26,74
2023-09-27,73
2023-09-28,69
2023-09-29,70
2023-09-30,80
2023-10-01,75
2023-10-02,69
2023-10-03,71
2023-10-04,71
2023-10-05,68
2023-10-06,68
2023-10-07,73
2023-10-08,67
2023-10-09,68
2023-10-10,67
2023-10-11,69
2023-10-12,77
2023-10-13,84
2023-10-14,80
2023-10-15,77
2023-10-16,100
2023-10-17,95
2023-10-18,71
2023-10-19,68
2023-10-20,71
2023-10-21,66
2023-10-22,63
2023-10-23,64
2023-10-24,69
2023-10-25,64
2023-10-26,62
2023-10-27,61
2023-10-28,62
2023-10-29,60
2023-10-30,56
2023-10-31,59
2023-11-01,58
2023-11-02,66
2023-11-03,66
2023-11-04,67
2023-11-05,62
2023-11-06,65
2023-11-07,63
2023-11-08,63
2023-11-09,62
2023-11-10,63
2023-11-11,63
2023-11-12,61
2023-11-13,59
2023-11-14,60
2023-11-15,55
2023-11-16,62
2023-11-17,65
2023-11-18,68
2023-11-19,64
2023-11-20,64
2023-11-21,69
2023-11-22,70
2023-11-23,65
2023-11-24,96
2023-11-25,80
2023-11-26,76
2023-11-27,72
2023-11-28,66
2023-11-29,64
2023-11-30,61
2023-12-01,64
2023-12-02,68
2023-12-03,60
2023-12-04,62
2023-12-05,67
2023-12-06,63
2023-12-07,58
2023-12-08,62
2023-12-09,63
2023-12-10,66
2023-12-11,58
2023-12-12,60
2023-12-13,62
2023-12-14,54
2023-12-15,60
2023-12-16,65
2023-12-17,66
2023-12-18,63
2023-12-19,65
2023-12-20,64
2023-12-21,69
2023-12-22,69
2023-12-23,76
2023-12-24,59
2023-12-25,53
2023-12-26,81
2023-12-27,80
2023-12-28,73
2023-12-29,74
2023-12-30,66
2023-12-31,53
2024-01-01,54
2024-01-02,61
2024-01-03,59
2024-01-04,63
2024-01-05,63
2024-01-06,57
2024-01-07,53
2024-01-08,53
2024-01-09,51
2024-01-10,51
2024-01-11,62
2024-01-12,57
2024-01-13,60
2024-01-14,55
2024-01-15,54
2024-01-16,50
2024-01-17,55
2024-01-18,56
2024-01-19,58
2024-01-20,60
