Time,t mobile
2022-08-29,39
2022-08-30,40
2022-08-31,40
2022-09-01,42
2022-09-02,41
2022-09-03,41
2022-09-04,39
2022-09-05,41
2022-09-06,39
2022-09-07,47
2022-09-08,55
2022-09-09,63
2022-09-10,56
2022-09-11,50
2022-09-12,47
2022-09-13,52
2022-09-14,45
2022-09-15,42
2022-09-16,53
2022-09-17,57
2022-09-18,50
2022-09-19,47
2022-09-20,46
2022-09-21,44
2022-09-22,45
2022-09-23,45
2022-09-24,46
2022-09-25,43
2022-09-26,40
2022-09-27,38
2022-09-28,40
2022-09-29,40
2022-09-30,42
2022-10-01,46
2022-10-02,41
2022-10-03,38
2022-10-04,40
2022-10-05,44
2022-10-06,42
2022-10-07,47
2022-10-08,46
2022-10-09,41
2022-10-10,43
2022-10-11,38
2022-10-12,38
2022-10-13,40
2022-10-14,41
2022-10-15,42
2022-10-16,38
2022-10-17,38
2022-10-18,37
2022-10-19,37
2022-10-20,38
2022-10-21,42
2022-10-22,42
2022-10-23,39
2022-10-24,38
2022-10-25,35
2022-10-26,34
2022-10-27,36
2022-10-28,37
2022-10-29,37
2022-10-30,32
2022-10-31,33
2022-11-01,36
2022-11-02,36
2022-11-03,35
2022-11-04,36
2022-11-05,39
2022-11-06,32
2022-11-07,33
2022-11-08,33
2022-11-09,32
2022-11-10,36
2022-11-11,38
2022-11-12,37
2022-11-13,36
2022-11-14,34
2022-11-15,37
2022-11-16,35
2022-11-17,37
2022-11-18,37
2022-11-19,42
2022-11-20,40
2022-11-21,37
2022-11-22,39
2022-11-23,42
2022-11-24,40
2022-11-25,61
2022-11-26,50
2022-11-27,45
2022-11-28,42
2022-11-29,39
2022-11-30,35
2022-12-01,37
2022-12-02,37
2022-12-03,40
2022-12-04,38
2022-12-05,35
2022-12-06,36
2022-12-07,37
2022-12-08,37
2022-12-09,39
2022-12-10,44
2022-12-11,39
2022-12-12,38
2022-12-13,41
2022-12-14,37
2022-12-15,39
2022-12-16,41
2022-12-17,45
2022-12-18,40
2022-12-19,38
2022-12-20,42
2022-12-21,42
2022-12-22,42
2022-12-23,46
2022-12-24,42
2022-12-25,31
2022-12-26,49
2022-12-27,45
2022-12-28,42
2022-12-29,43
2022-12-30,41
2022-12-31,38
2023-01-01,32
2023-01-02,41
2023-01-03,37
2023-01-04,37
2023-01-05,37
2023-01-06,37
2023-01-07,37
2023-01-08,34
2023-01-09,32
2023-01-10,37
2023-01-11,35
2023-01-12,36
2023-01-13,39
2023-01-14,39
2023-01-15,35
2023-01-16,36
2023-01-17,33
2023-01-18,34
2023-01-19,36
2023-01-20,43
2023-01-21,41
2023-01-22,34
2023-01-23,34
2023-01-24,42
2023-01-25,33
2023-01-26,32
2023-01-27,32
2023-01-28,35
2023-01-29,33
2023-01-30,32
2023-01-31,32
2023-02-01,36
2023-02-02,38
2023-02-03,37
2023-02-04,38
2023-02-05,35
2023-02-06,31
2023-02-07,34
2023-02-08,32
2023-02-09,34
2023-02-10,35
2023-02-11,39
2023-02-12,33
2023-02-13,44
2023-02-14,100
2023-02-15,41
2023-02-16,39
2023-02-17,43
2023-02-18,44
2023-02-19,39
2023-02-20,37
2023-02-21,35
2023-02-22,36
2023-02-23,39
2023-02-24,41
2023-02-25,40
2023-02-26,40
2023-02-27,35
2023-02-28,38
2023-03-01,36
2023-03-02,38
2023-03-03,37
2023-03-04,41
2023-03-05,41
2023-03-06,35
2023-03-07,37
2023-03-08,38
2023-03-09,40
2023-03-10,40
2023-03-11,41
2023-03-12,37
2023-03-13,36
2023-03-14,37
2023-03-15,38
2023-03-16,39
2023-03-17,39
2023-03-18,40
2023-03-19,38
2023-03-20,37
2023-03-21,37
2023-03-22,35
2023-03-23,38
2023-03-24,37
2023-03-25,37
2023-03-26,35
2023-03-27,34
2023-03-28,36
2023-03-29,35
2023-03-30,37
2023-03-31,35
2023-04-01,39
2023-04-02,34
2023-04-03,34
2023-04-04,33
2023-04-05,34
2023-04-06,34
2023-04-07,34
2023-04-08,35
2023-04-09,29
2023-04-10,34
2023-04-11,33
2023-04-12,33
2023-04-13,33
2023-04-14,35
2023-04-15,35
2023-04-16,33
2023-04-17,33
2023-04-18,39
2023-04-19,36
2023-04-20,37
2023-04-21,38
2023-04-22,40
2023-04-23,43
2023-04-24,34
2023-04-25,35
2023-04-26,33
2023-04-27,34
2023-04-28,37
2023-04-29,37
2023-04-30,36
2023-05-01,40
2023-05-02,37
2023-05-03,35
2023-05-04,35
2023-05-05,33
2023-05-06,37
2023-05-07,31
2023-05-08,32
2023-05-09,36
2023-05-10,33
2023-05-11,34
2023-05-12,36
2023-05-13,35
2023-05-14,34
2023-05-15,35
2023-05-16,36
2023-05-17,36
2023-05-18,37
2023-05-19,37
2023-05-20,40
2023-05-21,34
2023-05-22,36
2023-05-23,36
2023-05-24,35
2023-05-25,38
