Time,did trump win
2023-12-22,2
2023-12-23,2
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,1
2023-12-29,8
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,1
2024-01-06,2
2024-01-07,0
2024-01-08,1
2024-01-09,2
2024-01-10,3
2024-01-11,3
2024-01-12,2
2024-01-13,0
2024-01-14,2
2024-01-15,3
2024-01-16,52
2024-01-17,13
2024-01-18,6
2024-01-19,7
2024-01-20,4
2024-01-21,5
2024-01-22,4
2024-01-23,7
2024-01-24,60
2024-01-25,10
2024-01-26,9
2024-01-27,7
2024-01-28,5
2024-01-29,3
2024-01-30,3
2024-01-31,3
2024-02-01,3
2024-02-02,3
2024-02-03,2
2024-02-04,5
2024-02-05,4
2024-02-06,3
2024-02-07,4
2024-02-08,3
2024-02-09,9
2024-02-10,5
2024-02-11,2
2024-02-12,2
2024-02-13,2
2024-02-14,3
2024-02-15,2
2024-02-16,3
2024-02-17,4
2024-02-18,3
2024-02-19,2
2024-02-20,0
2024-02-21,3
2024-02-22,2
2024-02-23,2
2024-02-24,6
2024-02-25,46
2024-02-26,10
2024-02-27,4
2024-02-28,16
2024-02-29,5
2024-03-01,5
2024-03-02,4
2024-03-03,4
2024-03-04,8
2024-03-05,6
2024-03-06,100
2024-03-07,30
2024-03-08,12
2024-03-09,6
2024-03-10,5
2024-03-11,11
2024-03-12,4
2024-03-13,11
2024-03-14,6
2024-03-15,3
2024-03-16,3
2024-03-17,5
2024-03-18,4
2024-03-19,4
2024-03-20,13
2024-03-21,6
2024-03-22,3
2024-03-23,3
2024-03-24,3
2024-03-25,5
2024-03-26,4
2024-03-27,2
2024-03-28,2
2024-03-29,1
2024-03-30,0
2024-03-31,2
2024-04-01,2
2024-04-02,2
2024-04-03,11
2024-04-04,4
2024-04-05,2
2024-04-06,2
2024-04-07,2
2024-04-08,2
2024-04-09,2
2024-04-10,2
2024-04-11,2
2024-04-12,2
2024-04-13,0
2024-04-14,0
2024-04-15,2
2024-04-16,2
2024-04-17,0
2024-04-18,1
2024-04-19,0
2024-04-20,2
2024-04-21,0
2024-04-22,2
2024-04-23,3
2024-04-24,5
2024-04-25,4
2024-04-26,2
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,0
2024-05-01,2
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,2
2024-05-06,0
2024-05-07,2
2024-05-08,2
2024-05-09,2
2024-05-10,0
2024-05-11,3
2024-05-12,2
2024-05-13,2
2024-05-14,3
2024-05-15,2
2024-05-16,2
2024-05-17,2
2024-05-18,0
2024-05-19,2
2024-05-20,2
2024-05-21,3
2024-05-22,4
2024-05-23,2
2024-05-24,3
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,2
2024-05-29,4
2024-05-30,5
2024-05-31,8
2024-06-01,5
2024-06-02,5
2024-06-03,0
2024-06-04,1
2024-06-05,4
2024-06-06,0
2024-06-07,2
2024-06-08,0
2024-06-09,3
2024-06-10,0
2024-06-11,2
2024-06-12,1
2024-06-13,0
2024-06-14,2
2024-06-15,2
2024-06-16,0
2024-06-17,0
2024-06-18,2
2024-06-19,2
2024-06-20,2
2024-06-21,0
2024-06-22,0
2024-06-23,2
2024-06-24,2
2024-06-25,0
2024-06-26,2
2024-06-27,2
2024-06-28,28
2024-06-29,7
2024-06-30,5
2024-07-01,4
2024-07-02,5
2024-07-03,4
2024-07-04,3
2024-07-05,3
2024-07-06,3
2024-07-07,3
2024-07-08,4
2024-07-09,2
2024-07-10,1
2024-07-11,0
2024-07-12,2
2024-07-13,7
2024-07-14,18
2024-07-15,16
2024-07-16,10
2024-07-17,7
2024-07-18,4
2024-07-19,8
2024-07-20,3
2024-07-21,11
2024-07-22,9
2024-07-23,7
2024-07-24,6
2024-07-25,5
2024-07-26,5
2024-07-27,4
2024-07-28,4
2024-07-29,4
2024-07-30,4
2024-07-31,3
2024-08-01,4
2024-08-02,4
2024-08-03,4
2024-08-04,4
2024-08-05,3
2024-08-06,6
2024-08-07,5
2024-08-08,6
2024-08-09,5
2024-08-10,4
2024-08-11,4
2024-08-12,3
2024-08-13,2
2024-08-14,3
2024-08-15,4
2024-08-16,2
2024-08-17,3
2024-08-18,4
2024-08-19,2
2024-08-20,4
2024-08-21,8
2024-08-22,4
2024-08-23,7
2024-08-24,2
2024-08-25,4
2024-08-26,4
2024-08-27,2
2024-08-28,2
2024-08-29,3
2024-08-30,4
2024-08-31,3
2024-09-01,2
2024-09-02,3
2024-09-03,3
2024-09-04,3
2024-09-05,3
2024-09-06,4
2024-09-07,3
2024-09-08,4
2024-09-09,4
2024-09-10,4
2024-09-11,40
2024-09-12,15
2024-09-13,8
2024-09-14,6
2024-09-15,6
2024-09-16,5
