Time,did trump win
2025-12-11,45
2025-12-12,47
2025-12-13,33
2025-12-14,33
2025-12-15,37
2025-12-16,39
2025-12-17,32
2025-12-18,76
2025-12-19,39
2025-12-20,25
2025-12-21,36
2025-12-22,29
2025-12-23,27
2025-12-24,30
2025-12-25,43
2025-12-26,20
2025-12-27,34
2025-12-28,37
2025-12-29,28
2025-12-30,25
2025-12-31,22
2026-01-01,33
2026-01-02,17
2026-01-03,68
2026-01-04,62
2026-01-05,48
2026-01-06,46
2026-01-07,54
2026-01-08,48
2026-01-09,48
2026-01-10,57
2026-01-11,42
2026-01-12,60
2026-01-13,55
2026-01-14,50
2026-01-15,52
2026-01-16,100
2026-01-17,94
2026-01-18,64
2026-01-19,79
2026-01-20,88
2026-01-21,59
2026-01-22,61
2026-01-23,48
2026-01-24,58
2026-01-25,86
2026-01-26,60
2026-01-27,57
2026-01-28,47
2026-01-29,60
2026-01-30,47
2026-01-31,55
2026-02-01,68
2026-02-02,97
2026-02-03,77
2026-02-04,51
2026-02-05,68
2026-02-06,86
2026-02-07,56
2026-02-08,61
2026-02-09,74
2026-02-10,45
2026-02-11,44
2026-02-12,41
2026-02-13,41
2026-02-14,23
2026-02-15,38
2026-02-16,33
2026-02-17,29
2026-02-18,40
2026-02-19,40
2026-02-20,40
2026-02-21,55
2026-02-22,72
2026-02-23,61
2026-02-24,62
2026-02-25,86
2026-02-26,51
2026-02-27,29
2026-02-28,44
2026-03-01,44
2026-03-02,54
2026-03-03,44
2026-03-04,66
2026-03-05,48
2026-03-06,35
2026-03-07,46
2026-03-08,41
2026-03-09,47
2026-03-10,37
2026-03-11,32
2026-03-12,48
2026-03-13,31
2026-03-14,36
2026-03-15,32
2026-03-16,38
2026-03-17,35
2026-03-18,53
2026-03-19,42
2026-03-20,23
2026-03-21,39
2026-03-22,44
2026-03-23,45
2026-03-24,36
2026-03-25,48
2026-03-26,38
2026-03-27,36
2026-03-28,45
2026-03-29,48
2026-03-30,32
2026-03-31,34
2026-04-01,35
2026-04-02,48
2026-04-03,31
2026-04-04,34
2026-04-05,56
2026-04-06,43
2026-04-07,51
2026-04-08,66
2026-04-09,40
2026-04-10,34
2026-04-11,23
2026-04-12,51
2026-04-13,61
2026-04-14,49
2026-04-15,43
2026-04-16,34
2026-04-17,30
2026-04-18,31
2026-04-19,25
2026-04-20,34
2026-04-21,27
2026-04-22,51
2026-04-23,34
2026-04-24,32
2026-04-25,34
2026-04-26,34
2026-04-27,31
2026-04-28,28
2026-04-29,36
2026-04-30,32
2026-05-01,26
2026-05-02,32
2026-05-03,39
2026-05-04,27
2026-05-05,24
2026-05-06,63
2026-05-07,26
2026-05-08,30
2026-05-09,47
2026-05-10,33
2026-05-11,33
2026-05-12,23
2026-05-13,24
2026-05-14,32
2026-05-15,34
2026-05-16,38
2026-05-17,36
2026-05-18,35
2026-05-19,48
2026-05-20,97
2026-05-21,65
2026-05-22,52
2026-05-23,60
2026-05-24,40
2026-05-25,35
2026-05-26,53
2026-05-27,57
2026-05-28,41
2026-05-29,48
2026-05-30,18
2026-05-31,46
