Time,dodgers
2022-01-01,6
2022-01-02,6
2022-01-03,6
2022-01-04,7
2022-01-05,6
2022-01-06,5
2022-01-07,5
2022-01-08,7
2022-01-09,6
2022-01-10,6
2022-01-11,6
2022-01-12,6
2022-01-13,6
2022-01-14,5
2022-01-15,6
2022-01-16,6
2022-01-17,5
2022-01-18,6
2022-01-19,6
2022-01-20,5
2022-01-21,5
2022-01-22,6
2022-01-23,6
2022-01-24,6
2022-01-25,5
2022-01-26,5
2022-01-27,5
2022-01-28,6
2022-01-29,6
2022-01-30,6
2022-01-31,6
2022-02-01,6
2022-02-02,5
2022-02-03,6
2022-02-04,6
2022-02-05,6
2022-02-06,6
2022-02-07,6
2022-02-08,5
2022-02-09,6
2022-02-10,5
2022-02-11,6
2022-02-12,6
2022-02-13,6
2022-02-14,8
2022-02-15,7
2022-02-16,7
2022-02-17,6
2022-02-18,6
2022-02-19,6
2022-02-20,6
2022-02-21,6
2022-02-22,6
2022-02-23,6
2022-02-24,5
2022-02-25,5
2022-02-26,6
2022-02-27,7
2022-02-28,6
2022-03-01,6
2022-03-02,6
2022-03-03,5
2022-03-04,5
2022-03-05,5
2022-03-06,6
2022-03-07,5
2022-03-08,5
2022-03-09,5
2022-03-10,10
2022-03-11,20
2022-03-12,23
2022-03-13,23
2022-03-14,20
2022-03-15,22
2022-03-16,23
2022-03-17,44
2022-03-18,28
2022-03-19,28
2022-03-20,22
2022-03-21,18
2022-03-22,20
2022-03-23,19
2022-03-24,21
2022-03-25,16
2022-03-26,22
2022-03-27,21
2022-03-28,15
2022-03-29,14
2022-03-30,20
2022-03-31,17
2022-04-01,20
2022-04-02,20
2022-04-03,20
2022-04-04,23
2022-04-05,27
2022-04-06,26
2022-04-07,25
2022-04-08,61
2022-04-09,49
2022-04-10,78
2022-04-11,28
2022-04-12,28
2022-04-13,70
2022-04-14,39
2022-04-15,74
2022-04-16,83
2022-04-17,90
2022-04-18,39
2022-04-19,63
2022-04-20,72
2022-04-21,33
2022-04-22,26
2022-04-23,67
2022-04-24,86
2022-04-25,36
2022-04-26,45
2022-04-27,60
2022-04-28,26
2022-04-29,26
2022-04-30,60
2022-05-01,80
2022-05-02,28
2022-05-03,25
2022-05-04,52
2022-05-05,51
2022-05-06,33
2022-05-07,59
2022-05-08,70
2022-05-09,49
2022-05-10,40
2022-05-11,52
2022-05-12,28
2022-05-13,55
2022-05-14,73
2022-05-15,85
2022-05-16,35
2022-05-17,66
2022-05-18,66
2022-05-19,31
2022-05-20,26
2022-05-21,58
2022-05-22,69
2022-05-23,26
2022-05-24,39
2022-05-25,48
2022-05-26,27
2022-05-27,46
2022-05-28,58
2022-05-29,69
2022-05-30,36
2022-05-31,54
2022-06-01,54
2022-06-02,47
2022-06-03,51
2022-06-04,63
2022-06-05,91
2022-06-06,31
2022-06-07,25
2022-06-08,38
2022-06-09,54
2022-06-10,30
2022-06-11,65
2022-06-12,80
2022-06-13,29
2022-06-14,27
2022-06-15,54
2022-06-16,56
2022-06-17,32
2022-06-18,78
2022-06-19,77
2022-06-20,28
2022-06-21,30
2022-06-22,39
2022-06-23,53
2022-06-24,30
2022-06-25,60
2022-06-26,70
2022-06-27,68
2022-06-28,41
2022-06-29,46
2022-06-30,46
2022-07-01,53
2022-07-02,70
2022-07-03,81
2022-07-04,40
2022-07-05,55
2022-07-06,50
2022-07-07,52
2022-07-08,54
2022-07-09,67
2022-07-10,89
2022-07-11,40
2022-07-12,32
2022-07-13,47
2022-07-14,55
2022-07-15,49
2022-07-16,71
2022-07-17,72
2022-07-18,26
2022-07-19,26
2022-07-20,28
2022-07-21,27
2022-07-22,74
2022-07-23,79
2022-07-24,98
2022-07-25,46
2022-07-26,57
2022-07-27,72
2022-07-28,39
2022-07-29,53
2022-07-30,59
2022-07-31,77
2022-08-01,42
2022-08-02,84
2022-08-03,83
2022-08-04,90
2022-08-05,48
2022-08-06,88
2022-08-07,100
2022-08-08,62
2022-08-09,35
2022-08-10,62
2022-08-11,68
2022-08-12,35
2022-08-13,71
2022-08-14,94
2022-08-15,32
2022-08-16,52
2022-08-17,62
2022-08-18,66
2022-08-19,32
2022-08-20,68
2022-08-21,79
2022-08-22,33
2022-08-23,58
2022-08-24,60
2022-08-25,52
2022-08-26,33
2022-08-27,70
2022-08-28,71
2022-08-29,36
2022-08-30,54
2022-08-31,57
2022-09-01,63
2022-09-02,31
2022-09-03,63
2022-09-04,77
2022-09-05,72
2022-09-06,56
2022-09-07,67
2022-09-08,32
2022-09-09,27
2022-09-10,72
2022-09-11,75
2022-09-12,31
2022-09-13,43
2022-09-14,58
2022-09-15,50
2022-09-16,26
2022-09-17,71
2022-09-18,64
2022-09-19,54
2022-09-20,70
2022-09-21,54
2022-09-22,46
2022-09-23,56
2022-09-24,80
2022-09-25,72
2022-09-26,26
2022-09-27,25
