Time,blooket
2023-04-26,61
2023-04-27,71
2023-04-28,82
2023-04-29,8
2023-04-30,5
2023-05-01,60
2023-05-02,60
2023-05-03,64
2023-05-04,69
2023-05-05,76
2023-05-06,7
2023-05-07,5
2023-05-08,55
2023-05-09,57
2023-05-10,64
2023-05-11,69
2023-05-12,80
2023-05-13,7
2023-05-14,5
2023-05-15,63
2023-05-16,66
2023-05-17,66
2023-05-18,68
2023-05-19,73
2023-05-20,7
2023-05-21,5
2023-05-22,53
2023-05-23,55
2023-05-24,53
2023-05-25,49
2023-05-26,39
2023-05-27,5
2023-05-28,3
2023-05-29,3
2023-05-30,29
2023-05-31,29
2023-06-01,31
2023-06-02,30
2023-06-03,3
2023-06-04,2
2023-06-05,22
2023-06-06,23
2023-06-07,24
2023-06-08,23
2023-06-09,19
2023-06-10,3
2023-06-11,2
2023-06-12,14
2023-06-13,15
2023-06-14,14
2023-06-15,12
2023-06-16,10
2023-06-17,2
2023-06-18,1
2023-06-19,3
2023-06-20,8
2023-06-21,8
2023-06-22,8
2023-06-23,5
2023-06-24,1
2023-06-25,1
2023-06-26,5
2023-06-27,5
2023-06-28,5
2023-06-29,5
2023-06-30,3
2023-07-01,1
2023-07-02,1
2023-07-03,1
2023-07-04,1
2023-07-05,2
2023-07-06,2
2023-07-07,2
2023-07-08,1
2023-07-09,1
2023-07-10,2
2023-07-11,3
2023-07-12,3
2023-07-13,3
2023-07-14,2
2023-07-15,1
2023-07-16,1
2023-07-17,2
2023-07-18,3
2023-07-19,3
2023-07-20,3
2023-07-21,2
2023-07-22,1
2023-07-23,1
2023-07-24,2
2023-07-25,2
2023-07-26,2
2023-07-27,3
2023-07-28,2
2023-07-29,1
2023-07-30,1
2023-07-31,2
2023-08-01,3
2023-08-02,3
2023-08-03,4
2023-08-04,6
2023-08-05,1
2023-08-06,1
2023-08-07,5
2023-08-08,7
2023-08-09,9
2023-08-10,13
2023-08-11,22
2023-08-12,2
2023-08-13,1
2023-08-14,14
2023-08-15,20
2023-08-16,24
2023-08-17,34
2023-08-18,49
2023-08-19,3
2023-08-20,2
2023-08-21,28
2023-08-22,36
2023-08-23,46
2023-08-24,52
2023-08-25,66
2023-08-26,4
2023-08-27,3
2023-08-28,37
2023-08-29,48
2023-08-30,54
2023-08-31,63
2023-09-01,70
2023-09-02,5
2023-09-03,3
2023-09-04,3
2023-09-05,45
2023-09-06,57
2023-09-07,70
2023-09-08,90
2023-09-09,6
2023-09-10,4
2023-09-11,52
2023-09-12,61
2023-09-13,63
2023-09-14,79
2023-09-15,100
2023-09-16,7
2023-09-17,5
2023-09-18,55
2023-09-19,66
2023-09-20,74
2023-09-21,77
2023-09-22,91
2023-09-23,6
2023-09-24,5
2023-09-25,48
2023-09-26,63
2023-09-27,67
2023-09-28,74
2023-09-29,97
2023-09-30,6
2023-10-01,4
2023-10-02,52
2023-10-03,60
2023-10-04,72
2023-10-05,74
2023-10-06,95
2023-10-07,7
2023-10-08,5
2023-10-09,35
2023-10-10,54
2023-10-11,62
2023-10-12,70
2023-10-13,82
2023-10-14,6
2023-10-15,5
2023-10-16,48
2023-10-17,60
2023-10-18,61
2023-10-19,71
2023-10-20,87
2023-10-21,7
2023-10-22,5
2023-10-23,51
2023-10-24,59
2023-10-25,65
2023-10-26,73
2023-10-27,87
2023-10-28,6
2023-10-29,4
2023-10-30,51
2023-10-31,83
2023-11-01,56
2023-11-02,64
2023-11-03,81
2023-11-04,7
2023-11-05,4
2023-11-06,46
2023-11-07,46
2023-11-08,60
2023-11-09,70
2023-11-10,52
2023-11-11,6
2023-11-12,5
2023-11-13,48
2023-11-14,58
2023-11-15,64
2023-11-16,70
2023-11-17,97
2023-11-18,7
2023-11-19,5
2023-11-20,36
2023-11-21,51
2023-11-22,14
2023-11-23,4
2023-11-24,3
2023-11-25,2
2023-11-26,2
2023-11-27,41
2023-11-28,51
2023-11-29,55
2023-11-30,63
2023-12-01,83
2023-12-02,6
2023-12-03,4
2023-12-04,50
2023-12-05,61
2023-12-06,68
2023-12-07,74
2023-12-08,89
2023-12-09,10
2023-12-10,6
2023-12-11,62
2023-12-12,69
2023-12-13,76
2023-12-14,85
2023-12-15,91
2023-12-16,8
2023-12-17,5
2023-12-18,64
2023-12-19,68
2023-12-20,65
2023-12-21,55
2023-12-22,35
2023-12-23,5
2023-12-24,4
2023-12-25,3
2023-12-26,2
2023-12-27,2
2023-12-28,2
2023-12-29,2
2023-12-30,1
2023-12-31,1
2024-01-01,2
2024-01-02,10
2024-01-03,21
2024-01-04,30
2024-01-05,43
2024-01-06,3
2024-01-07,2
2024-01-08,34
2024-01-09,40
2024-01-10,46
2024-01-11,54
2024-01-12,69
2024-01-13,5
2024-01-14,3
2024-01-15,4
2024-01-16,29
2024-01-17,44
2024-01-18,52
2024-01-19,59
2024-01-20,5
