Time,hard_rock_stadium
2022-01-01,100.0
2022-01-02,4.0
2022-01-03,3.0
2022-01-04,4.0
2022-01-05,3.0
2022-01-06,2.0
2022-01-07,4.0
2022-01-08,5.0
2022-01-09,17.0
2022-01-10,4.0
2022-01-11,2.0
2022-01-12,0.0
2022-01-13,1.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,2.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,0.0
2022-01-22,2.0
2022-01-23,2.0
2022-01-24,4.0
2022-01-25,2.0
2022-01-26,6.0
2022-01-27,2.0
2022-01-28,2.0
2022-01-29,3.0
2022-01-30,2.0
2022-01-31,2.0
2022-02-01,2.0
2022-02-02,3.0
2022-02-03,1.0
2022-02-04,2.0
2022-02-05,1.0
2022-02-06,1.0
2022-02-07,0.0
2022-02-08,2.0
2022-02-09,2.0
2022-02-10,2.0
2022-02-11,1.0
2022-02-12,2.0
2022-02-13,2.0
2022-02-14,2.0
2022-02-15,1.0
2022-02-16,2.0
2022-02-17,2.0
2022-02-18,2.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,2.0
2022-02-22,1.0
2022-02-23,2.0
2022-02-24,2.0
2022-02-25,2.0
2022-02-26,3.0
2022-02-27,2.0
2022-02-28,2.0
2022-03-01,1.0
2022-03-02,6.0
2022-03-03,5.0
2022-03-04,5.0
2022-03-05,3.0
2022-03-06,3.0
2022-03-07,6.0
2022-03-08,5.0
2022-03-09,4.0
2022-03-10,4.0
2022-03-11,3.0
2022-03-12,5.0
2022-03-13,4.0
2022-03-14,2.0
2022-03-15,3.0
2022-03-16,2.0
2022-03-17,2.0
2022-03-18,3.0
2022-03-19,2.0
2022-03-20,2.0
2022-03-21,3.0
2022-03-22,3.0
2022-03-23,6.0
2022-03-24,6.0
2022-03-25,5.0
2022-03-26,5.0
2022-03-27,5.0
2022-03-28,3.0
2022-03-29,4.0
2022-03-30,3.0
2022-03-31,5.0
2022-04-01,4.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,3.0
2022-04-05,3.0
2022-04-06,2.0
2022-04-07,2.0
2022-04-08,2.0
2022-04-09,2.0
2022-04-10,2.0
2022-04-11,2.0
2022-04-12,3.0
2022-04-13,2.0
2022-04-14,2.0
2022-04-15,2.0
2022-04-16,2.0
2022-04-17,2.0
2022-04-18,3.0
2022-04-19,2.0
2022-04-20,3.0
2022-04-21,2.0
2022-04-22,2.0
2022-04-23,2.0
2022-04-24,3.0
2022-04-25,3.0
2022-04-26,2.0
2022-04-27,2.0
2022-04-28,2.0
2022-04-29,3.0
2022-04-30,3.0
2022-05-01,3.0
2022-05-02,4.0
2022-05-03,4.0
2022-05-04,5.0
2022-05-05,6.0
2022-05-06,10.0
2022-05-07,14.0
2022-05-08,19.0
2022-05-09,4.0
2022-05-10,2.0
2022-05-11,2.0
2022-05-12,2.0
2022-05-13,6.0
2022-05-14,3.0
2022-05-15,4.0
2022-05-16,4.0
2022-05-17,3.0
2022-05-18,4.0
2022-05-19,2.0
2022-05-20,3.0
2022-05-21,2.0
2022-05-22,2.0
2022-05-23,2.0
2022-05-24,2.0
2022-05-25,2.0
2022-05-26,2.0
2022-05-27,2.0
2022-05-28,2.0
2022-05-29,2.0
2022-05-30,2.0
2022-05-31,1.0
2022-06-01,2.0
2022-06-02,2.0
2022-06-03,1.0
2022-06-04,2.0
2022-06-05,2.0
2022-06-06,2.0
2022-06-07,2.0
2022-06-08,3.0
2022-06-09,3.0
2022-06-10,2.0
2022-06-11,3.0
2022-06-12,2.0
2022-06-13,3.0
2022-06-14,3.0
2022-06-15,3.0
2022-06-16,6.0
2022-06-17,9.0
2022-06-18,16.0
2022-06-19,8.0
2022-06-20,3.0
2022-06-21,2.0
2022-06-22,2.0
2022-06-23,2.0
2022-06-24,2.0
2022-06-25,1.0
2022-06-26,2.0
2022-06-27,2.0
2022-06-28,2.0
2022-06-29,2.0
2022-06-30,2.0
2022-07-01,1.0
2022-07-02,2.0
2022-07-03,2.0
2022-07-04,2.0
2022-07-05,2.0
2022-07-06,2.0
2022-07-07,2.0
2022-07-08,3.0
2022-07-09,2.0
2022-07-10,2.0
2022-07-11,3.0
2022-07-12,2.0
2022-07-13,4.0
2022-07-14,3.0
2022-07-15,3.0
2022-07-16,3.0
2022-07-17,4.0
2022-07-18,3.0
2022-07-19,3.0
2022-07-20,4.0
2022-07-21,5.0
2022-07-22,11.0
2022-07-23,10.0
2022-07-24,8.0
2022-07-25,4.0
2022-07-26,3.0
2022-07-27,2.0
2022-07-28,3.0
2022-07-29,4.0
2022-07-30,3.0
2022-07-31,4.0
2022-08-01,3.0
2022-08-02,5.0
2022-08-03,5.0
2022-08-04,5.0
2022-08-05,7.0
2022-08-06,21.0
