Time,chase bank
2023-04-26,60
2023-04-27,58
2023-04-28,68
2023-04-29,74
2023-04-30,41
2023-05-01,83
2023-05-02,76
2023-05-03,73
2023-05-04,68
2023-05-05,73
2023-05-06,64
2023-05-07,40
2023-05-08,62
2023-05-09,60
2023-05-10,59
2023-05-11,58
2023-05-12,66
2023-05-13,65
2023-05-14,36
2023-05-15,66
2023-05-16,64
2023-05-17,58
2023-05-18,61
2023-05-19,71
2023-05-20,67
2023-05-21,40
2023-05-22,61
2023-05-23,61
2023-05-24,63
2023-05-25,64
2023-05-26,84
2023-05-27,66
2023-05-28,38
2023-05-29,47
2023-05-30,70
2023-05-31,74
2023-06-01,85
2023-06-02,100
2023-06-03,81
2023-06-04,44
2023-06-05,75
2023-06-06,71
2023-06-07,69
2023-06-08,66
2023-06-09,81
2023-06-10,75
2023-06-11,41
2023-06-12,66
2023-06-13,63
2023-06-14,62
2023-06-15,71
2023-06-16,78
2023-06-17,69
2023-06-18,41
2023-06-19,80
2023-06-20,76
2023-06-21,71
2023-06-22,64
2023-06-23,78
2023-06-24,63
2023-06-25,41
2023-06-26,66
2023-06-27,70
2023-06-28,67
2023-06-29,66
2023-06-30,92
2023-07-01,90
2023-07-02,51
2023-07-03,98
2023-07-04,52
2023-07-05,75
2023-07-06,75
2023-07-07,81
2023-07-08,77
2023-07-09,41
2023-07-10,67
2023-07-11,66
2023-07-12,65
2023-07-13,67
2023-07-14,77
2023-07-15,66
2023-07-16,41
2023-07-17,67
2023-07-18,64
2023-07-19,64
2023-07-20,64
2023-07-21,74
2023-07-22,65
2023-07-23,41
2023-07-24,64
2023-07-25,84
2023-07-26,73
2023-07-27,63
2023-07-28,70
2023-07-29,64
2023-07-30,41
2023-07-31,69
2023-08-01,81
2023-08-02,67
2023-08-03,67
2023-08-04,85
2023-08-05,68
2023-08-06,46
2023-08-07,69
2023-08-08,69
2023-08-09,62
2023-08-10,62
2023-08-11,69
2023-08-12,67
2023-08-13,40
2023-08-14,66
2023-08-15,66
2023-08-16,64
2023-08-17,64
2023-08-18,71
2023-08-19,64
2023-08-20,41
2023-08-21,67
2023-08-22,59
2023-08-23,60
2023-08-24,57
2023-08-25,67
2023-08-26,63
2023-08-27,39
2023-08-28,61
2023-08-29,62
2023-08-30,55
2023-08-31,65
2023-09-01,84
2023-09-02,72
2023-09-03,49
2023-09-04,48
2023-09-05,71
2023-09-06,67
2023-09-07,59
2023-09-08,70
2023-09-09,63
2023-09-10,39
2023-09-11,62
2023-09-12,59
2023-09-13,54
2023-09-14,57
2023-09-15,67
2023-09-16,64
2023-09-17,37
2023-09-18,56
2023-09-19,62
2023-09-20,59
2023-09-21,57
2023-09-22,62
2023-09-23,57
2023-09-24,37
2023-09-25,58
2023-09-26,56
2023-09-27,54
2023-09-28,54
2023-09-29,70
2023-09-30,68
2023-10-01,41
2023-10-02,74
2023-10-03,69
2023-10-04,65
2023-10-05,59
2023-10-06,66
2023-10-07,67
2023-10-08,40
2023-10-09,68
2023-10-10,60
2023-10-11,55
2023-10-12,56
2023-10-13,64
2023-10-14,60
2023-10-15,40
2023-10-16,62
2023-10-17,57
2023-10-18,53
2023-10-19,61
2023-10-20,66
2023-10-21,59
2023-10-22,37
2023-10-23,54
2023-10-24,54
2023-10-25,54
2023-10-26,52
2023-10-27,60
2023-10-28,52
2023-10-29,33
2023-10-30,51
2023-10-31,55
2023-11-01,63
2023-11-02,58
2023-11-03,74
2023-11-04,65
2023-11-05,39
2023-11-06,59
2023-11-07,59
2023-11-08,59
2023-11-09,56
2023-11-10,78
2023-11-11,63
2023-11-12,35
2023-11-13,53
2023-11-14,50
2023-11-15,56
2023-11-16,51
2023-11-17,56
2023-11-18,55
2023-11-19,32
2023-11-20,52
2023-11-21,54
2023-11-22,59
2023-11-23,37
2023-11-24,63
2023-11-25,52
2023-11-26,35
2023-11-27,57
2023-11-28,58
2023-11-29,58
2023-11-30,60
2023-12-01,69
2023-12-02,69
2023-12-03,38
2023-12-04,57
2023-12-05,60
2023-12-06,55
2023-12-07,54
2023-12-08,60
2023-12-09,61
2023-12-10,37
2023-12-11,54
2023-12-12,53
2023-12-13,54
2023-12-14,53
2023-12-15,61
2023-12-16,64
2023-12-17,35
2023-12-18,53
2023-12-19,57
2023-12-20,62
2023-12-21,58
2023-12-22,68
2023-12-23,64
2023-12-24,34
2023-12-25,27
2023-12-26,61
2023-12-27,64
2023-12-28,64
2023-12-29,76
2023-12-30,68
2023-12-31,37
2024-01-01,44
2024-01-02,65
2024-01-03,71
2024-01-04,62
2024-01-05,67
2024-01-06,58
2024-01-07,36
2024-01-08,52
2024-01-09,53
2024-01-10,56
2024-01-11,55
2024-01-12,61
2024-01-13,58
2024-01-14,34
2024-01-15,47
2024-01-16,53
2024-01-17,51
2024-01-18,54
2024-01-19,57
2024-01-20,59
