Time,electoral college
2023-04-26,52
2023-04-27,50
2023-04-28,42
2023-04-29,17
2023-04-30,23
2023-05-01,47
2023-05-02,47
2023-05-03,44
2023-05-04,46
2023-05-05,35
2023-05-06,17
2023-05-07,13
2023-05-08,50
2023-05-09,46
2023-05-10,42
2023-05-11,36
2023-05-12,36
2023-05-13,13
2023-05-14,17
2023-05-15,38
2023-05-16,42
2023-05-17,36
2023-05-18,33
2023-05-19,29
2023-05-20,11
2023-05-21,12
2023-05-22,24
2023-05-23,30
2023-05-24,26
2023-05-25,25
2023-05-26,22
2023-05-27,11
2023-05-28,12
2023-05-29,9
2023-05-30,24
2023-05-31,26
2023-06-01,20
2023-06-02,20
2023-06-03,10
2023-06-04,7
2023-06-05,23
2023-06-06,18
2023-06-07,21
2023-06-08,17
2023-06-09,16
2023-06-10,9
2023-06-11,13
2023-06-12,19
2023-06-13,17
2023-06-14,18
2023-06-15,14
2023-06-16,11
2023-06-17,13
2023-06-18,8
2023-06-19,11
2023-06-20,11
2023-06-21,12
2023-06-22,11
2023-06-23,10
2023-06-24,10
2023-06-25,10
2023-06-26,13
2023-06-27,15
2023-06-28,11
2023-06-29,12
2023-06-30,14
2023-07-01,12
2023-07-02,10
2023-07-03,12
2023-07-04,13
2023-07-05,13
2023-07-06,9
2023-07-07,16
2023-07-08,10
2023-07-09,13
2023-07-10,14
2023-07-11,11
2023-07-12,12
2023-07-13,12
2023-07-14,13
2023-07-15,12
2023-07-16,9
2023-07-17,13
2023-07-18,14
2023-07-19,18
2023-07-20,17
2023-07-21,11
2023-07-22,11
2023-07-23,13
2023-07-24,13
2023-07-25,11
2023-07-26,15
2023-07-27,11
2023-07-28,12
2023-07-29,11
2023-07-30,10
2023-07-31,13
2023-08-01,11
2023-08-02,18
2023-08-03,19
2023-08-04,18
2023-08-05,16
2023-08-06,17
2023-08-07,11
2023-08-08,16
2023-08-09,15
2023-08-10,17
2023-08-11,17
2023-08-12,9
2023-08-13,11
2023-08-14,16
2023-08-15,20
2023-08-16,21
2023-08-17,22
2023-08-18,25
2023-08-19,13
2023-08-20,14
2023-08-21,24
2023-08-22,27
2023-08-23,28
2023-08-24,37
2023-08-25,28
2023-08-26,17
2023-08-27,17
2023-08-28,27
2023-08-29,33
2023-08-30,31
2023-08-31,32
2023-09-01,30
2023-09-02,13
2023-09-03,12
2023-09-04,23
2023-09-05,40
2023-09-06,39
2023-09-07,43
2023-09-08,39
2023-09-09,15
2023-09-10,16
2023-09-11,41
2023-09-12,47
2023-09-13,48
2023-09-14,48
2023-09-15,47
2023-09-16,17
2023-09-17,23
2023-09-18,58
2023-09-19,55
2023-09-20,57
2023-09-21,64
2023-09-22,51
2023-09-23,14
2023-09-24,22
2023-09-25,53
2023-09-26,57
2023-09-27,68
2023-09-28,69
2023-09-29,53
2023-09-30,17
2023-10-01,25
2023-10-02,69
2023-10-03,67
2023-10-04,64
2023-10-05,60
2023-10-06,45
2023-10-07,18
2023-10-08,21
2023-10-09,51
2023-10-10,62
2023-10-11,64
2023-10-12,64
2023-10-13,56
2023-10-14,16
2023-10-15,22
2023-10-16,72
2023-10-17,73
2023-10-18,78
2023-10-19,73
2023-10-20,74
2023-10-21,16
2023-10-22,27
2023-10-23,83
2023-10-24,83
2023-10-25,82
2023-10-26,79
2023-10-27,67
2023-10-28,19
2023-10-29,28
2023-10-30,80
2023-10-31,80
2023-11-01,78
2023-11-02,90
2023-11-03,75
2023-11-04,20
2023-11-05,27
2023-11-06,87
2023-11-07,88
2023-11-08,90
2023-11-09,85
2023-11-10,57
2023-11-11,25
2023-11-12,29
2023-11-13,89
2023-11-14,87
2023-11-15,90
2023-11-16,85
2023-11-17,72
2023-11-18,19
2023-11-19,23
2023-11-20,48
2023-11-21,52
2023-11-22,20
2023-11-23,15
2023-11-24,13
2023-11-25,12
2023-11-26,16
2023-11-27,68
2023-11-28,76
2023-11-29,81
2023-11-30,80
2023-12-01,70
2023-12-02,20
2023-12-03,26
2023-12-04,77
2023-12-05,81
2023-12-06,83
2023-12-07,82
2023-12-08,83
2023-12-09,21
2023-12-10,28
2023-12-11,76
2023-12-12,81
2023-12-13,74
2023-12-14,82
2023-12-15,67
2023-12-16,16
2023-12-17,22
2023-12-18,62
2023-12-19,73
2023-12-20,100
2023-12-21,48
2023-12-22,28
2023-12-23,18
2023-12-24,9
2023-12-25,12
2023-12-26,8
2023-12-27,17
2023-12-28,13
2023-12-29,48
2023-12-30,22
2023-12-31,14
2024-01-01,18
2024-01-02,28
2024-01-03,36
2024-01-04,42
2024-01-05,45
2024-01-06,21
2024-01-07,25
2024-01-08,46
2024-01-09,41
2024-01-10,51
2024-01-11,57
2024-01-12,46
2024-01-13,18
2024-01-14,22
2024-01-15,25
2024-01-16,70
2024-01-17,53
2024-01-18,56
2024-01-19,55
2024-01-20,23
