Time,electoral college
2025-12-11,91
2025-12-12,86
2025-12-13,31
2025-12-14,28
2025-12-15,82
2025-12-16,82
2025-12-17,80
2025-12-18,60
2025-12-19,49
2025-12-20,15
2025-12-21,14
2025-12-22,15
2025-12-23,10
2025-12-24,11
2025-12-25,14
2025-12-26,20
2025-12-27,8
2025-12-28,14
2025-12-29,16
2025-12-30,15
2025-12-31,15
2026-01-01,19
2026-01-02,14
2026-01-03,12
2026-01-04,17
2026-01-05,34
2026-01-06,51
2026-01-07,57
2026-01-08,57
2026-01-09,53
2026-01-10,26
2026-01-11,22
2026-01-12,62
2026-01-13,69
2026-01-14,74
2026-01-15,71
2026-01-16,66
2026-01-17,20
2026-01-18,21
2026-01-19,29
2026-01-20,64
2026-01-21,72
2026-01-22,68
2026-01-23,63
2026-01-24,28
2026-01-25,29
2026-01-26,56
2026-01-27,62
2026-01-28,63
2026-01-29,80
2026-01-30,75
2026-01-31,34
2026-02-01,40
2026-02-02,71
2026-02-03,71
2026-02-04,83
2026-02-05,96
2026-02-06,79
2026-02-07,51
2026-02-08,47
2026-02-09,80
2026-02-10,79
2026-02-11,71
2026-02-12,70
2026-02-13,61
2026-02-14,32
2026-02-15,30
2026-02-16,40
2026-02-17,70
2026-02-18,67
2026-02-19,75
2026-02-20,60
2026-02-21,33
2026-02-22,39
2026-02-23,67
2026-02-24,70
2026-02-25,67
2026-02-26,71
2026-02-27,80
2026-02-28,26
2026-03-01,20
2026-03-02,69
2026-03-03,74
2026-03-04,77
2026-03-05,78
2026-03-06,64
2026-03-07,23
2026-03-08,29
2026-03-09,65
2026-03-10,68
2026-03-11,72
2026-03-12,66
2026-03-13,52
2026-03-14,21
2026-03-15,30
2026-03-16,51
2026-03-17,61
2026-03-18,63
2026-03-19,65
2026-03-20,49
2026-03-21,27
2026-03-22,29
2026-03-23,75
2026-03-24,63
2026-03-25,86
2026-03-26,71
2026-03-27,59
2026-03-28,26
2026-03-29,29
2026-03-30,61
2026-03-31,56
2026-04-01,64
2026-04-02,49
2026-04-03,28
2026-04-04,20
2026-04-05,22
2026-04-06,47
2026-04-07,66
2026-04-08,52
2026-04-09,65
2026-04-10,60
2026-04-11,23
2026-04-12,27
2026-04-13,69
2026-04-14,88
2026-04-15,98
2026-04-16,100
2026-04-17,89
2026-04-18,35
2026-04-19,32
2026-04-20,81
2026-04-21,79
2026-04-22,90
2026-04-23,80
2026-04-24,57
2026-04-25,25
2026-04-26,37
2026-04-27,76
2026-04-28,66
2026-04-29,62
2026-04-30,72
2026-05-01,71
2026-05-02,37
2026-05-03,56
2026-05-04,77
2026-05-05,97
2026-05-06,71
2026-05-07,75
2026-05-08,64
2026-05-09,33
2026-05-10,37
2026-05-11,63
2026-05-12,62
2026-05-13,52
2026-05-14,61
2026-05-15,47
2026-05-16,23
2026-05-17,25
2026-05-18,44
2026-05-19,45
2026-05-20,45
2026-05-21,41
2026-05-22,27
2026-05-23,25
2026-05-24,20
2026-05-25,26
2026-05-26,31
2026-05-27,33
2026-05-28,37
2026-05-29,36
2026-05-30,28
2026-05-31,30
