Time,electoral college
2023-12-22,14
2023-12-23,9
2023-12-24,4
2023-12-25,6
2023-12-26,4
2023-12-27,9
2023-12-28,7
2023-12-29,24
2023-12-30,11
2023-12-31,7
2024-01-01,9
2024-01-02,14
2024-01-03,18
2024-01-04,21
2024-01-05,22
2024-01-06,10
2024-01-07,12
2024-01-08,23
2024-01-09,21
2024-01-10,25
2024-01-11,28
2024-01-12,23
2024-01-13,9
2024-01-14,11
2024-01-15,12
2024-01-16,35
2024-01-17,27
2024-01-18,28
2024-01-19,27
2024-01-20,11
2024-01-21,14
2024-01-22,31
2024-01-23,32
2024-01-24,44
2024-01-25,34
2024-01-26,30
2024-01-27,12
2024-01-28,13
2024-01-29,29
2024-01-30,30
2024-01-31,31
2024-02-01,31
2024-02-02,27
2024-02-03,11
2024-02-04,15
2024-02-05,29
2024-02-06,28
2024-02-07,27
2024-02-08,32
2024-02-09,28
2024-02-10,14
2024-02-11,12
2024-02-12,27
2024-02-13,28
2024-02-14,29
2024-02-15,28
2024-02-16,23
2024-02-17,9
2024-02-18,13
2024-02-19,17
2024-02-20,26
2024-02-21,28
2024-02-22,31
2024-02-23,28
2024-02-24,12
2024-02-25,16
2024-02-26,34
2024-02-27,36
2024-02-28,35
2024-02-29,37
2024-03-01,30
2024-03-02,13
2024-03-03,17
2024-03-04,40
2024-03-05,38
2024-03-06,51
2024-03-07,40
2024-03-08,34
2024-03-09,15
2024-03-10,16
2024-03-11,33
2024-03-12,29
2024-03-13,30
2024-03-14,32
2024-03-15,26
2024-03-16,13
2024-03-17,13
2024-03-18,36
2024-03-19,36
2024-03-20,33
2024-03-21,31
2024-03-22,27
2024-03-23,16
2024-03-24,12
2024-03-25,27
2024-03-26,31
2024-03-27,30
2024-03-28,26
2024-03-29,16
2024-03-30,13
2024-03-31,12
2024-04-01,17
2024-04-02,25
2024-04-03,30
2024-04-04,31
2024-04-05,26
2024-04-06,13
2024-04-07,16
2024-04-08,27
2024-04-09,31
2024-04-10,29
2024-04-11,34
2024-04-12,29
2024-04-13,13
2024-04-14,11
2024-04-15,31
2024-04-16,35
2024-04-17,32
2024-04-18,33
2024-04-19,31
2024-04-20,14
2024-04-21,12
2024-04-22,25
2024-04-23,30
2024-04-24,32
2024-04-25,34
2024-04-26,24
2024-04-27,10
2024-04-28,15
2024-04-29,29
2024-04-30,30
2024-05-01,28
2024-05-02,28
2024-05-03,26
2024-05-04,14
2024-05-05,19
2024-05-06,31
2024-05-07,24
2024-05-08,30
2024-05-09,25
2024-05-10,25
2024-05-11,10
2024-05-12,8
2024-05-13,25
2024-05-14,27
2024-05-15,23
2024-05-16,22
2024-05-17,17
2024-05-18,9
2024-05-19,9
2024-05-20,20
2024-05-21,21
2024-05-22,18
2024-05-23,19
2024-05-24,16
2024-05-25,9
2024-05-26,9
2024-05-27,9
2024-05-28,13
2024-05-29,15
2024-05-30,20
2024-05-31,21
2024-06-01,13
2024-06-02,15
2024-06-03,18
2024-06-04,16
2024-06-05,15
2024-06-06,12
2024-06-07,16
2024-06-08,14
2024-06-09,11
2024-06-10,15
2024-06-11,14
2024-06-12,12
2024-06-13,14
2024-06-14,9
2024-06-15,11
2024-06-16,13
2024-06-17,14
2024-06-18,13
2024-06-19,11
2024-06-20,13
2024-06-21,12
2024-06-22,8
2024-06-23,15
2024-06-24,13
2024-06-25,12
2024-06-26,12
2024-06-27,16
2024-06-28,39
2024-06-29,19
2024-06-30,17
2024-07-01,20
2024-07-02,23
2024-07-03,22
2024-07-04,24
2024-07-05,19
2024-07-06,19
2024-07-07,16
2024-07-08,19
2024-07-09,20
2024-07-10,18
2024-07-11,20
2024-07-12,23
2024-07-13,21
2024-07-14,32
2024-07-15,43
2024-07-16,41
2024-07-17,36
2024-07-18,37
2024-07-19,36
2024-07-20,26
2024-07-21,66
2024-07-22,84
2024-07-23,70
2024-07-24,64
2024-07-25,60
2024-07-26,54
2024-07-27,50
2024-07-28,45
2024-07-29,44
2024-07-30,41
2024-07-31,50
2024-08-01,42
2024-08-02,41
2024-08-03,39
2024-08-04,35
2024-08-05,38
2024-08-06,61
2024-08-07,50
2024-08-08,42
2024-08-09,37
2024-08-10,43
2024-08-11,39
2024-08-12,38
2024-08-13,38
2024-08-14,38
2024-08-15,37
2024-08-16,34
2024-08-17,34
2024-08-18,38
2024-08-19,44
2024-08-20,49
2024-08-21,61
2024-08-22,53
2024-08-23,59
2024-08-24,48
2024-08-25,44
2024-08-26,52
2024-08-27,49
2024-08-28,51
2024-08-29,48
2024-08-30,40
2024-08-31,42
2024-09-01,37
2024-09-02,37
2024-09-03,52
2024-09-04,61
2024-09-05,58
2024-09-06,52
2024-09-07,35
2024-09-08,36
2024-09-09,66
2024-09-10,68
2024-09-11,100
2024-09-12,76
2024-09-13,73
2024-09-14,59
2024-09-15,52
2024-09-16,65
