Time,all quiet on the western front
2023-12-22,68
2023-12-23,66
2023-12-24,61
2023-12-25,67
2023-12-26,61
2023-12-27,68
2023-12-28,54
2023-12-29,59
2023-12-30,69
2023-12-31,89
2024-01-01,76
2024-01-02,71
2024-01-03,67
2024-01-04,75
2024-01-05,71
2024-01-06,53
2024-01-07,62
2024-01-08,67
2024-01-09,67
2024-01-10,74
2024-01-11,64
2024-01-12,74
2024-01-13,64
2024-01-14,64
2024-01-15,62
2024-01-16,65
2024-01-17,81
2024-01-18,62
2024-01-19,85
2024-01-20,58
2024-01-21,56
2024-01-22,79
2024-01-23,79
2024-01-24,85
2024-01-25,86
2024-01-26,84
2024-01-27,75
2024-01-28,82
2024-01-29,90
2024-01-30,85
2024-01-31,80
2024-02-01,97
2024-02-02,88
2024-02-03,70
2024-02-04,77
2024-02-05,88
2024-02-06,92
2024-02-07,88
2024-02-08,90
2024-02-09,80
2024-02-10,88
2024-02-11,61
2024-02-12,76
2024-02-13,84
2024-02-14,74
2024-02-15,99
2024-02-16,79
2024-02-17,76
2024-02-18,93
2024-02-19,75
2024-02-20,86
2024-02-21,86
2024-02-22,88
2024-02-23,78
2024-02-24,71
2024-02-25,92
2024-02-26,90
2024-02-27,72
2024-02-28,81
2024-02-29,78
2024-03-01,91
2024-03-02,68
2024-03-03,75
2024-03-04,79
2024-03-05,85
2024-03-06,72
2024-03-07,90
2024-03-08,77
2024-03-09,53
2024-03-10,63
2024-03-11,100
2024-03-12,75
2024-03-13,76
2024-03-14,79
2024-03-15,65
2024-03-16,63
2024-03-17,53
2024-03-18,69
2024-03-19,85
2024-03-20,67
2024-03-21,65
2024-03-22,67
2024-03-23,56
2024-03-24,70
2024-03-25,67
2024-03-26,61
2024-03-27,69
2024-03-28,62
2024-03-29,52
2024-03-30,48
2024-03-31,48
2024-04-01,65
2024-04-02,70
2024-04-03,72
2024-04-04,56
2024-04-05,67
2024-04-06,51
2024-04-07,57
2024-04-08,61
2024-04-09,78
2024-04-10,77
2024-04-11,72
2024-04-12,88
2024-04-13,57
2024-04-14,71
2024-04-15,78
2024-04-16,62
2024-04-17,66
2024-04-18,73
2024-04-19,62
2024-04-20,55
2024-04-21,62
2024-04-22,69
2024-04-23,64
2024-04-24,62
2024-04-25,62
2024-04-26,71
2024-04-27,51
2024-04-28,70
2024-04-29,83
2024-04-30,60
2024-05-01,44
2024-05-02,60
2024-05-03,54
2024-05-04,54
2024-05-05,58
2024-05-06,54
2024-05-07,47
2024-05-08,55
2024-05-09,52
2024-05-10,60
2024-05-11,43
2024-05-12,63
2024-05-13,66
2024-05-14,51
2024-05-15,63
2024-05-16,71
2024-05-17,65
2024-05-18,34
2024-05-19,59
2024-05-20,64
2024-05-21,59
2024-05-22,50
2024-05-23,57
2024-05-24,47
2024-05-25,40
2024-05-26,58
2024-05-27,69
2024-05-28,71
2024-05-29,50
2024-05-30,49
2024-05-31,50
2024-06-01,48
2024-06-02,59
2024-06-03,51
2024-06-04,42
2024-06-05,65
2024-06-06,52
2024-06-07,61
2024-06-08,80
2024-06-09,75
2024-06-10,53
2024-06-11,43
2024-06-12,51
2024-06-13,35
2024-06-14,50
2024-06-15,60
2024-06-16,52
2024-06-17,44
2024-06-18,35
2024-06-19,42
2024-06-20,28
2024-06-21,29
2024-06-22,37
2024-06-23,48
2024-06-24,38
2024-06-25,31
2024-06-26,25
2024-06-27,27
2024-06-28,25
2024-06-29,41
2024-06-30,33
2024-07-01,49
2024-07-02,26
2024-07-03,33
2024-07-04,41
2024-07-05,31
2024-07-06,44
2024-07-07,47
2024-07-08,28
2024-07-09,33
2024-07-10,32
2024-07-11,34
2024-07-12,37
2024-07-13,40
2024-07-14,31
2024-07-15,33
2024-07-16,31
2024-07-17,32
2024-07-18,26
2024-07-19,23
2024-07-20,43
2024-07-21,41
2024-07-22,36
2024-07-23,22
2024-07-24,32
2024-07-25,39
2024-07-26,26
2024-07-27,31
2024-07-28,49
2024-07-29,71
2024-07-30,28
2024-07-31,23
2024-08-01,26
2024-08-02,34
2024-08-03,30
2024-08-04,39
2024-08-05,39
2024-08-06,36
2024-08-07,51
2024-08-08,44
2024-08-09,20
2024-08-10,46
2024-08-11,49
2024-08-12,54
2024-08-13,45
2024-08-14,38
2024-08-15,39
2024-08-16,41
2024-08-17,46
2024-08-18,42
2024-08-19,44
2024-08-20,32
2024-08-21,37
2024-08-22,40
2024-08-23,37
2024-08-24,33
2024-08-25,41
2024-08-26,45
2024-08-27,42
2024-08-28,38
2024-08-29,39
2024-08-30,42
2024-08-31,35
2024-09-01,45
2024-09-02,45
2024-09-03,47
2024-09-04,39
2024-09-05,42
2024-09-06,38
2024-09-07,44
2024-09-08,41
2024-09-09,37
2024-09-10,33
2024-09-11,29
2024-09-12,44
2024-09-13,35
2024-09-14,24
2024-09-15,34
2024-09-16,43
