Time,who won the presidential election
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,15
2022-09-08,15
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,18
2022-09-13,0
2022-09-14,0
2022-09-15,19
2022-09-16,18
2022-09-17,0
2022-09-18,0
2022-09-19,28
2022-09-20,0
2022-09-21,23
2022-09-22,21
2022-09-23,16
2022-09-24,0
2022-09-25,0
2022-09-26,19
2022-09-27,15
2022-09-28,16
2022-09-29,0
2022-09-30,24
2022-10-01,0
2022-10-02,0
2022-10-03,22
2022-10-04,19
2022-10-05,16
2022-10-06,20
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,19
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,20
2022-10-18,0
2022-10-19,22
2022-10-20,24
2022-10-21,20
2022-10-22,0
2022-10-23,0
2022-10-24,16
2022-10-25,17
2022-10-26,14
2022-10-27,25
2022-10-28,20
2022-10-29,0
2022-10-30,16
2022-10-31,34
2022-11-01,29
2022-11-02,25
2022-11-03,22
2022-11-04,21
2022-11-05,0
2022-11-06,0
2022-11-07,22
2022-11-08,38
2022-11-09,100
2022-11-10,53
2022-11-11,29
2022-11-12,0
2022-11-13,18
2022-11-14,36
2022-11-15,31
2022-11-16,39
2022-11-17,23
2022-11-18,24
2022-11-19,0
2022-11-20,0
2022-11-21,22
2022-11-22,0
2022-11-23,0
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,25
2022-11-29,28
2022-11-30,27
2022-12-01,29
2022-12-02,19
2022-12-03,0
2022-12-04,0
2022-12-05,27
2022-12-06,22
2022-12-07,31
2022-12-08,30
2022-12-09,21
2022-12-10,0
2022-12-11,0
2022-12-12,21
2022-12-13,28
2022-12-14,32
2022-12-15,28
2022-12-16,23
2022-12-17,0
2022-12-18,0
2022-12-19,0
2022-12-20,0
2022-12-21,0
2022-12-22,17
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,0
2022-12-28,0
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,15
2023-01-07,0
2023-01-08,0
2023-01-09,19
2023-01-10,28
2023-01-11,28
2023-01-12,23
2023-01-13,22
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,27
2023-01-18,25
2023-01-19,26
2023-01-20,22
2023-01-21,0
2023-01-22,0
2023-01-23,20
2023-01-24,24
2023-01-25,17
2023-01-26,31
2023-01-27,0
2023-01-28,21
2023-01-29,0
2023-01-30,17
2023-01-31,32
2023-02-01,0
2023-02-02,20
2023-02-03,26
2023-02-04,0
2023-02-05,0
2023-02-06,22
2023-02-07,34
2023-02-08,29
2023-02-09,27
2023-02-10,31
2023-02-11,0
2023-02-12,25
2023-02-13,24
2023-02-14,27
2023-02-15,34
2023-02-16,0
2023-02-17,26
2023-02-18,0
2023-02-19,0
2023-02-20,25
2023-02-21,47
2023-02-22,32
2023-02-23,27
2023-02-24,24
2023-02-25,0
2023-02-26,26
2023-02-27,61
2023-02-28,59
2023-03-01,47
2023-03-02,26
2023-03-03,31
2023-03-04,0
2023-03-05,0
2023-03-06,17
2023-03-07,26
2023-03-08,0
2023-03-09,39
2023-03-10,18
2023-03-11,0
2023-03-12,20
2023-03-13,0
2023-03-14,21
2023-03-15,27
2023-03-16,0
2023-03-17,18
2023-03-18,0
2023-03-19,0
2023-03-20,25
2023-03-21,33
2023-03-22,33
2023-03-23,24
2023-03-24,26
2023-03-25,0
2023-03-26,0
2023-03-27,27
2023-03-28,20
2023-03-29,29
2023-03-30,23
2023-03-31,18
2023-04-01,0
2023-04-02,0
2023-04-03,19
2023-04-04,33
2023-04-05,36
2023-04-06,28
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,18
2023-04-11,22
2023-04-12,18
2023-04-13,38
2023-04-14,25
2023-04-15,0
2023-04-16,19
2023-04-17,23
2023-04-18,41
2023-04-19,21
2023-04-20,36
2023-04-21,34
2023-04-22,0
2023-04-23,0
2023-04-24,29
2023-04-25,41
2023-04-26,24
2023-04-27,32
2023-04-28,21
2023-04-29,0
2023-04-30,0
2023-05-01,27
2023-05-02,25
2023-05-03,42
2023-05-04,37
2023-05-05,35
2023-05-06,0
2023-05-07,0
2023-05-08,35
2023-05-09,25
2023-05-10,32
2023-05-11,46
2023-05-12,31
2023-05-13,0
2023-05-14,0
2023-05-15,42
2023-05-16,37
2023-05-17,18
2023-05-18,18
2023-05-19,27
2023-05-20,0
2023-05-21,0
2023-05-22,22
2023-05-23,25
2023-05-24,20
2023-05-25,23
