Time,cnn
2023-04-26,51
2023-04-27,47
2023-04-28,44
2023-04-29,36
2023-04-30,36
2023-05-01,44
2023-05-02,45
2023-05-03,48
2023-05-04,46
2023-05-05,41
2023-05-06,39
2023-05-07,45
2023-05-08,47
2023-05-09,51
2023-05-10,61
2023-05-11,96
2023-05-12,62
2023-05-13,41
2023-05-14,41
2023-05-15,45
2023-05-16,46
2023-05-17,43
2023-05-18,46
2023-05-19,42
2023-05-20,34
2023-05-21,35
2023-05-22,42
2023-05-23,42
2023-05-24,47
2023-05-25,45
2023-05-26,44
2023-05-27,35
2023-05-28,37
2023-05-29,37
2023-05-30,41
2023-05-31,42
2023-06-01,44
2023-06-02,43
2023-06-03,35
2023-06-04,38
2023-06-05,43
2023-06-06,44
2023-06-07,52
2023-06-08,50
2023-06-09,55
2023-06-10,42
2023-06-11,39
2023-06-12,46
2023-06-13,58
2023-06-14,48
2023-06-15,43
2023-06-16,42
2023-06-17,35
2023-06-18,35
2023-06-19,43
2023-06-20,56
2023-06-21,74
2023-06-22,100
2023-06-23,53
2023-06-24,61
2023-06-25,47
2023-06-26,49
2023-06-27,48
2023-06-28,45
2023-06-29,48
2023-06-30,47
2023-07-01,36
2023-07-02,38
2023-07-03,39
2023-07-04,40
2023-07-05,45
2023-07-06,41
2023-07-07,39
2023-07-08,35
2023-07-09,36
2023-07-10,41
2023-07-11,40
2023-07-12,40
2023-07-13,40
2023-07-14,42
2023-07-15,34
2023-07-16,36
2023-07-17,41
2023-07-18,43
2023-07-19,45
2023-07-20,43
2023-07-21,42
2023-07-22,34
2023-07-23,35
2023-07-24,43
2023-07-25,44
2023-07-26,47
2023-07-27,47
2023-07-28,43
2023-07-29,35
2023-07-30,36
2023-07-31,44
2023-08-01,47
2023-08-02,45
2023-08-03,50
2023-08-04,44
2023-08-05,37
2023-08-06,37
2023-08-07,46
2023-08-08,45
2023-08-09,47
2023-08-10,48
2023-08-11,45
2023-08-12,36
2023-08-13,36
2023-08-14,46
2023-08-15,52
2023-08-16,45
2023-08-17,46
2023-08-18,45
2023-08-19,37
2023-08-20,44
2023-08-21,52
2023-08-22,45
2023-08-23,54
2023-08-24,63
2023-08-25,54
2023-08-26,38
2023-08-27,40
2023-08-28,52
2023-08-29,51
2023-08-30,57
2023-08-31,46
2023-09-01,41
2023-09-02,34
2023-09-03,35
2023-09-04,36
2023-09-05,45
2023-09-06,44
2023-09-07,44
2023-09-08,42
2023-09-09,35
2023-09-10,34
2023-09-11,46
2023-09-12,47
2023-09-13,47
2023-09-14,46
2023-09-15,42
2023-09-16,31
2023-09-17,34
2023-09-18,43
2023-09-19,43
2023-09-20,41
2023-09-21,43
2023-09-22,40
2023-09-23,33
2023-09-24,34
2023-09-25,41
2023-09-26,42
2023-09-27,43
2023-09-28,46
2023-09-29,47
2023-09-30,44
2023-10-01,40
2023-10-02,47
2023-10-03,55
2023-10-04,52
2023-10-05,45
2023-10-06,45
2023-10-07,54
2023-10-08,60
2023-10-09,73
2023-10-10,71
2023-10-11,70
2023-10-12,65
2023-10-13,71
2023-10-14,57
2023-10-15,55
2023-10-16,60
2023-10-17,63
2023-10-18,68
2023-10-19,62
2023-10-20,64
2023-10-21,48
2023-10-22,43
2023-10-23,57
2023-10-24,59
2023-10-25,55
2023-10-26,89
2023-10-27,70
2023-10-28,52
2023-10-29,50
2023-10-30,51
2023-10-31,51
2023-11-01,49
2023-11-02,49
2023-11-03,49
2023-11-04,39
2023-11-05,38
2023-11-06,50
2023-11-07,48
2023-11-08,59
2023-11-09,48
2023-11-10,43
2023-11-11,37
2023-11-12,35
2023-11-13,45
2023-11-14,45
2023-11-15,46
2023-11-16,42
2023-11-17,42
2023-11-18,36
2023-11-19,35
2023-11-20,42
2023-11-21,42
2023-11-22,47
2023-11-23,37
2023-11-24,39
2023-11-25,34
2023-11-26,35
2023-11-27,39
2023-11-28,38
2023-11-29,43
2023-11-30,40
2023-12-01,42
2023-12-02,33
2023-12-03,32
2023-12-04,40
2023-12-05,38
2023-12-06,40
2023-12-07,41
2023-12-08,41
2023-12-09,31
2023-12-10,32
2023-12-11,40
2023-12-12,40
2023-12-13,41
2023-12-14,40
2023-12-15,40
2023-12-16,33
2023-12-17,32
2023-12-18,38
2023-12-19,39
2023-12-20,42
2023-12-21,40
2023-12-22,39
2023-12-23,33
2023-12-24,32
2023-12-25,35
2023-12-26,38
2023-12-27,38
2023-12-28,37
2023-12-29,38
2023-12-30,31
2023-12-31,32
2024-01-01,56
2024-01-02,45
2024-01-03,44
2024-01-04,54
2024-01-05,41
2024-01-06,34
2024-01-07,32
2024-01-08,41
2024-01-09,46
2024-01-10,46
2024-01-11,51
2024-01-12,45
2024-01-13,36
2024-01-14,34
2024-01-15,39
2024-01-16,50
2024-01-17,43
2024-01-18,42
2024-01-19,39
2024-01-20,33
