Time,cnn
2023-12-22,25
2023-12-23,21
2023-12-24,21
2023-12-25,22
2023-12-26,25
2023-12-27,25
2023-12-28,24
2023-12-29,24
2023-12-30,20
2023-12-31,21
2024-01-01,36
2024-01-02,29
2024-01-03,29
2024-01-04,35
2024-01-05,27
2024-01-06,22
2024-01-07,21
2024-01-08,27
2024-01-09,30
2024-01-10,30
2024-01-11,33
2024-01-12,29
2024-01-13,23
2024-01-14,22
2024-01-15,25
2024-01-16,32
2024-01-17,28
2024-01-18,28
2024-01-19,25
2024-01-20,22
2024-01-21,22
2024-01-22,26
2024-01-23,28
2024-01-24,34
2024-01-25,27
2024-01-26,27
2024-01-27,22
2024-01-28,20
2024-01-29,26
2024-01-30,27
2024-01-31,27
2024-02-01,25
2024-02-02,26
2024-02-03,21
2024-02-04,22
2024-02-05,27
2024-02-06,29
2024-02-07,25
2024-02-08,29
2024-02-09,32
2024-02-10,21
2024-02-11,21
2024-02-12,26
2024-02-13,25
2024-02-14,32
2024-02-15,33
2024-02-16,31
2024-02-17,22
2024-02-18,22
2024-02-19,25
2024-02-20,26
2024-02-21,26
2024-02-22,30
2024-02-23,26
2024-02-24,22
2024-02-25,23
2024-02-26,25
2024-02-27,26
2024-02-28,28
2024-02-29,25
2024-03-01,26
2024-03-02,19
2024-03-03,20
2024-03-04,27
2024-03-05,27
2024-03-06,30
2024-03-07,25
2024-03-08,31
2024-03-09,19
2024-03-10,19
2024-03-11,25
2024-03-12,25
2024-03-13,24
2024-03-14,26
2024-03-15,26
2024-03-16,21
2024-03-17,20
2024-03-18,26
2024-03-19,26
2024-03-20,25
2024-03-21,25
2024-03-22,30
2024-03-23,24
2024-03-24,22
2024-03-25,28
2024-03-26,39
2024-03-27,31
2024-03-28,27
2024-03-29,24
2024-03-30,20
2024-03-31,21
2024-04-01,25
2024-04-02,25
2024-04-03,25
2024-04-04,24
2024-04-05,28
2024-04-06,21
2024-04-07,21
2024-04-08,31
2024-04-09,24
2024-04-10,24
2024-04-11,28
2024-04-12,25
2024-04-13,29
2024-04-14,38
2024-04-15,34
2024-04-16,30
2024-04-17,28
2024-04-18,29
2024-04-19,38
2024-04-20,24
2024-04-21,22
2024-04-22,29
2024-04-23,29
2024-04-24,27
2024-04-25,30
2024-04-26,27
2024-04-27,23
2024-04-28,24
2024-04-29,30
2024-04-30,29
2024-05-01,27
2024-05-02,27
2024-05-03,26
2024-05-04,19
2024-05-05,20
2024-05-06,26
2024-05-07,28
2024-05-08,26
2024-05-09,26
2024-05-10,25
2024-05-11,20
2024-05-12,19
2024-05-13,28
2024-05-14,27
2024-05-15,26
2024-05-16,24
2024-05-17,28
2024-05-18,25
2024-05-19,28
2024-05-20,37
2024-05-21,29
2024-05-22,27
2024-05-23,25
2024-05-24,24
2024-05-25,19
2024-05-26,20
2024-05-27,20
2024-05-28,28
2024-05-29,32
2024-05-30,53
2024-05-31,39
2024-06-01,21
2024-06-02,22
2024-06-03,25
2024-06-04,26
2024-06-05,25
2024-06-06,24
2024-06-07,23
2024-06-08,20
2024-06-09,20
2024-06-10,24
2024-06-11,28
2024-06-12,24
2024-06-13,24
2024-06-14,22
2024-06-15,19
2024-06-16,19
2024-06-17,25
2024-06-18,24
2024-06-19,22
2024-06-20,25
2024-06-21,24
2024-06-22,20
2024-06-23,21
2024-06-24,26
2024-06-25,25
2024-06-26,27
2024-06-27,38
2024-06-28,100
2024-06-29,25
2024-06-30,23
2024-07-01,31
2024-07-02,27
2024-07-03,27
2024-07-04,25
2024-07-05,26
2024-07-06,24
2024-07-07,22
2024-07-08,27
2024-07-09,26
2024-07-10,25
2024-07-11,28
2024-07-12,34
2024-07-13,59
2024-07-14,91
2024-07-15,43
2024-07-16,35
2024-07-17,32
2024-07-18,35
2024-07-19,52
2024-07-20,30
2024-07-21,55
2024-07-22,44
2024-07-23,39
2024-07-24,36
2024-07-25,34
2024-07-26,32
2024-07-27,26
2024-07-28,27
2024-07-29,29
2024-07-30,30
2024-07-31,32
2024-08-01,31
2024-08-02,30
2024-08-03,26
2024-08-04,26
2024-08-05,36
2024-08-06,39
2024-08-07,32
2024-08-08,31
2024-08-09,32
2024-08-10,24
2024-08-11,24
2024-08-12,31
2024-08-13,30
2024-08-14,29
2024-08-15,29
2024-08-16,28
2024-08-17,25
2024-08-18,22
2024-08-19,31
2024-08-20,34
2024-08-21,30
2024-08-22,30
2024-08-23,34
2024-08-24,24
2024-08-25,25
2024-08-26,28
2024-08-27,27
2024-08-28,29
2024-08-29,34
2024-08-30,46
2024-08-31,22
2024-09-01,22
2024-09-02,23
2024-09-03,28
2024-09-04,35
2024-09-05,31
2024-09-06,28
2024-09-07,21
2024-09-08,21
2024-09-09,26
2024-09-10,28
2024-09-11,55
2024-09-12,30
2024-09-13,28
2024-09-14,21
2024-09-15,30
2024-09-16,34
