Time,georgia football
2023-04-26,1
2023-04-27,1
2023-04-28,3
2023-04-29,3
2023-04-30,2
2023-05-01,1
2023-05-02,1
2023-05-03,1
2023-05-04,1
2023-05-05,1
2023-05-06,1
2023-05-07,1
2023-05-08,1
2023-05-09,1
2023-05-10,2
2023-05-11,1
2023-05-12,1
2023-05-13,1
2023-05-14,1
2023-05-15,1
2023-05-16,2
2023-05-17,1
2023-05-18,1
2023-05-19,1
2023-05-20,1
2023-05-21,1
2023-05-22,1
2023-05-23,1
2023-05-24,1
2023-05-25,1
2023-05-26,1
2023-05-27,1
2023-05-28,1
2023-05-29,1
2023-05-30,1
2023-05-31,1
2023-06-01,1
2023-06-02,1
2023-06-03,1
2023-06-04,1
2023-06-05,1
2023-06-06,1
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-10,1
2023-06-11,1
2023-06-12,1
2023-06-13,1
2023-06-14,2
2023-06-15,3
2023-06-16,2
2023-06-17,2
2023-06-18,2
2023-06-19,2
2023-06-20,2
2023-06-21,2
2023-06-22,1
2023-06-23,1
2023-06-24,1
2023-06-25,1
2023-06-26,1
2023-06-27,1
2023-06-28,1
2023-06-29,2
2023-06-30,2
2023-07-01,1
2023-07-02,1
2023-07-03,1
2023-07-04,1
2023-07-05,2
2023-07-06,1
2023-07-07,2
2023-07-08,2
2023-07-09,2
2023-07-10,1
2023-07-11,1
2023-07-12,1
2023-07-13,2
2023-07-14,2
2023-07-15,2
2023-07-16,2
2023-07-17,2
2023-07-18,2
2023-07-19,2
2023-07-20,2
2023-07-21,2
2023-07-22,2
2023-07-23,2
2023-07-24,2
2023-07-25,2
2023-07-26,2
2023-07-27,2
2023-07-28,2
2023-07-29,2
2023-07-30,2
2023-07-31,2
2023-08-01,3
2023-08-02,2
2023-08-03,2
2023-08-04,2
2023-08-05,2
2023-08-06,2
2023-08-07,2
2023-08-08,2
2023-08-09,2
2023-08-10,2
2023-08-11,2
2023-08-12,3
2023-08-13,3
2023-08-14,3
2023-08-15,2
2023-08-16,2
2023-08-17,2
2023-08-18,3
2023-08-19,5
2023-08-20,3
2023-08-21,3
2023-08-22,3
2023-08-23,3
2023-08-24,3
2023-08-25,4
2023-08-26,7
2023-08-27,5
2023-08-28,4
2023-08-29,4
2023-08-30,4
2023-08-31,6
2023-09-01,12
2023-09-02,56
2023-09-03,39
2023-09-04,10
2023-09-05,8
2023-09-06,5
2023-09-07,4
2023-09-08,6
2023-09-09,46
2023-09-10,21
2023-09-11,7
2023-09-12,5
2023-09-13,4
2023-09-14,5
2023-09-15,6
2023-09-16,100
2023-09-17,37
2023-09-18,7
2023-09-19,5
2023-09-20,4
2023-09-21,6
2023-09-22,10
2023-09-23,38
2023-09-24,42
2023-09-25,7
2023-09-26,5
2023-09-27,4
2023-09-28,4
2023-09-29,6
2023-09-30,80
2023-10-01,30
2023-10-02,8
2023-10-03,5
2023-10-04,5
2023-10-05,5
2023-10-06,7
2023-10-07,45
2023-10-08,60
2023-10-09,7
2023-10-10,5
2023-10-11,4
2023-10-12,4
2023-10-13,6
2023-10-14,53
2023-10-15,14
2023-10-16,7
2023-10-17,4
2023-10-18,4
2023-10-19,4
2023-10-20,6
2023-10-21,31
2023-10-22,18
2023-10-23,6
2023-10-24,4
2023-10-25,4
2023-10-26,6
2023-10-27,10
2023-10-28,60
2023-10-29,21
2023-10-30,6
2023-10-31,5
2023-11-01,6
2023-11-02,5
2023-11-03,6
2023-11-04,80
2023-11-05,28
2023-11-06,7
2023-11-07,5
2023-11-08,5
2023-11-09,5
2023-11-10,8
2023-11-11,44
2023-11-12,77
2023-11-13,8
2023-11-14,6
2023-11-15,6
2023-11-16,5
2023-11-17,7
2023-11-18,65
2023-11-19,34
2023-11-20,7
2023-11-21,5
2023-11-22,5
2023-11-23,6
2023-11-24,8
2023-11-25,38
2023-11-26,88
2023-11-27,8
2023-11-28,6
2023-11-29,6
2023-11-30,6
2023-12-01,8
2023-12-02,83
2023-12-03,79
2023-12-04,13
2023-12-05,6
2023-12-06,4
2023-12-07,4
2023-12-08,4
2023-12-09,6
2023-12-10,4
2023-12-11,3
2023-12-12,4
2023-12-13,4
2023-12-14,5
2023-12-15,3
2023-12-16,7
2023-12-17,4
2023-12-18,3
2023-12-19,3
2023-12-20,3
2023-12-21,3
2023-12-22,5
2023-12-23,16
2023-12-24,5
2023-12-25,3
2023-12-26,3
2023-12-27,3
2023-12-28,4
2023-12-29,6
2023-12-30,59
2023-12-31,51
2024-01-01,10
2024-01-02,10
2024-01-03,3
2024-01-04,2
2024-01-05,2
2024-01-06,2
2024-01-07,2
2024-01-08,2
2024-01-09,4
2024-01-10,2
2024-01-11,2
2024-01-12,2
2024-01-13,3
2024-01-14,2
2024-01-15,2
2024-01-16,2
2024-01-17,2
2024-01-18,2
2024-01-19,2
2024-01-20,2
