Time,taylor swift
2023-04-26,18
2023-04-27,18
2023-04-28,21
2023-04-29,27
2023-04-30,29
2023-05-01,23
2023-05-02,20
2023-05-03,18
2023-05-04,22
2023-05-05,23
2023-05-06,48
2023-05-07,41
2023-05-08,39
2023-05-09,31
2023-05-10,24
2023-05-11,23
2023-05-12,29
2023-05-13,38
2023-05-14,37
2023-05-15,31
2023-05-16,26
2023-05-17,24
2023-05-18,23
2023-05-19,29
2023-05-20,35
2023-05-21,38
2023-05-22,28
2023-05-23,24
2023-05-24,24
2023-05-25,27
2023-05-26,36
2023-05-27,45
2023-05-28,38
2023-05-29,33
2023-05-30,26
2023-05-31,23
2023-06-01,23
2023-06-02,29
2023-06-03,35
2023-06-04,33
2023-06-05,32
2023-06-06,29
2023-06-07,21
2023-06-08,21
2023-06-09,25
2023-06-10,30
2023-06-11,27
2023-06-12,20
2023-06-13,19
2023-06-14,19
2023-06-15,20
2023-06-16,25
2023-06-17,31
2023-06-18,27
2023-06-19,18
2023-06-20,22
2023-06-21,20
2023-06-22,20
2023-06-23,24
2023-06-24,30
2023-06-25,28
2023-06-26,21
2023-06-27,22
2023-06-28,21
2023-06-29,21
2023-06-30,26
2023-07-01,31
2023-07-02,28
2023-07-03,20
2023-07-04,20
2023-07-05,21
2023-07-06,28
2023-07-07,63
2023-07-08,61
2023-07-09,48
2023-07-10,30
2023-07-11,26
2023-07-12,25
2023-07-13,24
2023-07-14,28
2023-07-15,37
2023-07-16,30
2023-07-17,22
2023-07-18,20
2023-07-19,20
2023-07-20,20
2023-07-21,21
2023-07-22,29
2023-07-23,31
2023-07-24,24
2023-07-25,19
2023-07-26,19
2023-07-27,20
2023-07-28,26
2023-07-29,34
2023-07-30,28
2023-07-31,20
2023-08-01,20
2023-08-02,26
2023-08-03,62
2023-08-04,54
2023-08-05,47
2023-08-06,40
2023-08-07,33
2023-08-08,42
2023-08-09,50
2023-08-10,65
2023-08-11,46
2023-08-12,34
2023-08-13,31
2023-08-14,22
2023-08-15,22
2023-08-16,20
2023-08-17,20
2023-08-18,21
2023-08-19,25
2023-08-20,23
2023-08-21,19
2023-08-22,18
2023-08-23,19
2023-08-24,17
2023-08-25,18
2023-08-26,20
2023-08-27,21
2023-08-28,16
2023-08-29,15
2023-08-30,14
2023-08-31,33
2023-09-01,29
2023-09-02,24
2023-09-03,23
2023-09-04,22
2023-09-05,17
2023-09-06,16
2023-09-07,16
2023-09-08,17
2023-09-09,18
2023-09-10,17
2023-09-11,14
2023-09-12,18
2023-09-13,40
2023-09-14,25
2023-09-15,25
2023-09-16,32
2023-09-17,35
2023-09-18,25
2023-09-19,86
2023-09-20,76
2023-09-21,33
2023-09-22,26
2023-09-23,24
2023-09-24,81
2023-09-25,100
2023-09-26,64
2023-09-27,46
2023-09-28,43
2023-09-29,37
2023-09-30,36
2023-10-01,48
2023-10-02,89
2023-10-03,40
2023-10-04,34
2023-10-05,30
2023-10-06,32
2023-10-07,31
2023-10-08,57
2023-10-09,31
2023-10-10,23
2023-10-11,24
2023-10-12,43
2023-10-13,69
2023-10-14,73
2023-10-15,82
2023-10-16,52
2023-10-17,39
2023-10-18,33
2023-10-19,33
2023-10-20,38
2023-10-21,45
2023-10-22,63
2023-10-23,48
2023-10-24,37
2023-10-25,32
2023-10-26,33
2023-10-27,70
2023-10-28,54
2023-10-29,51
2023-10-30,36
2023-10-31,32
2023-11-01,29
2023-11-02,28
2023-11-03,30
2023-11-04,34
2023-11-05,42
2023-11-06,28
2023-11-07,24
2023-11-08,24
2023-11-09,26
2023-11-10,35
2023-11-11,37
2023-11-12,61
2023-11-13,51
2023-11-14,41
2023-11-15,35
2023-11-16,33
2023-11-17,31
2023-11-18,57
2023-11-19,48
2023-11-20,41
2023-11-21,53
2023-11-22,37
2023-11-23,32
2023-11-24,30
2023-11-25,30
2023-11-26,34
2023-11-27,30
2023-11-28,26
2023-11-29,29
2023-11-30,29
2023-12-01,27
2023-12-02,28
2023-12-03,31
2023-12-04,37
2023-12-05,23
2023-12-06,39
2023-12-07,37
2023-12-08,31
2023-12-09,31
2023-12-10,39
2023-12-11,30
2023-12-12,30
2023-12-13,48
2023-12-14,42
2023-12-15,32
2023-12-16,33
2023-12-17,43
2023-12-18,32
2023-12-19,27
2023-12-20,25
2023-12-21,25
2023-12-22,23
2023-12-23,26
2023-12-24,25
2023-12-25,42
2023-12-26,32
2023-12-27,27
2023-12-28,24
2023-12-29,24
2023-12-30,26
2023-12-31,36
2024-01-01,38
2024-01-02,24
2024-01-03,21
2024-01-04,20
2024-01-05,20
2024-01-06,26
2024-01-07,30
2024-01-08,53
2024-01-09,28
2024-01-10,24
2024-01-11,22
2024-01-12,22
2024-01-13,26
2024-01-14,51
2024-01-15,27
2024-01-16,24
2024-01-17,22
2024-01-18,22
2024-01-19,21
2024-01-20,24
