Time,affluent
2022-01-01,6.0
2022-01-02,8.0
2022-01-03,15.0
2022-01-04,14.0
2022-01-05,15.0
2022-01-06,11.0
2022-01-07,14.0
2022-01-08,10.0
2022-01-09,13.0
2022-01-10,13.0
2022-01-11,19.0
2022-01-12,12.0
2022-01-13,19.0
2022-01-14,11.0
2022-01-15,14.0
2022-01-16,12.0
2022-01-17,9.0
2022-01-18,16.0
2022-01-19,18.0
2022-01-20,15.0
2022-01-21,14.0
2022-01-22,12.0
2022-01-23,11.0
2022-01-24,16.0
2022-01-25,18.0
2022-01-26,16.0
2022-01-27,13.0
2022-01-28,17.0
2022-01-29,12.0
2022-01-30,10.0
2022-01-31,15.0
2022-02-01,18.0
2022-02-02,21.0
2022-02-03,14.0
2022-02-04,16.0
2022-02-05,15.0
2022-02-06,10.0
2022-02-07,18.0
2022-02-08,20.0
2022-02-09,16.0
2022-02-10,14.0
2022-02-11,17.0
2022-02-12,12.0
2022-02-13,14.0
2022-02-14,16.0
2022-02-15,19.0
2022-02-16,19.0
2022-02-17,16.0
2022-02-18,19.0
2022-02-19,8.0
2022-02-20,13.0
2022-02-21,19.0
2022-02-22,16.0
2022-02-23,19.0
2022-02-24,14.0
2022-02-25,17.0
2022-02-26,15.0
2022-02-27,14.0
2022-02-28,16.0
2022-03-01,27.0
2022-03-02,16.0
2022-03-03,19.0
2022-03-04,18.0
2022-03-05,13.0
2022-03-06,13.0
2022-03-07,20.0
2022-03-08,13.0
2022-03-09,18.0
2022-03-10,13.0
2022-03-11,14.0
2022-03-12,13.0
2022-03-13,15.0
2022-03-14,17.0
2022-03-15,16.0
2022-03-16,14.0
2022-03-17,15.0
2022-03-18,18.0
2022-03-19,14.0
2022-03-20,11.0
2022-03-21,18.0
2022-03-22,14.0
2022-03-23,10.0
2022-03-24,20.0
2022-03-25,18.0
2022-03-26,12.0
2022-03-27,15.0
2022-03-28,20.0
2022-03-29,23.0
2022-03-30,20.0
2022-03-31,24.0
2022-04-01,19.0
2022-04-02,13.0
2022-04-03,18.0
2022-04-04,22.0
2022-04-05,24.0
2022-04-06,20.0
2022-04-07,21.0
2022-04-08,21.0
2022-04-09,14.0
2022-04-10,19.0
2022-04-11,24.0
2022-04-12,23.0
2022-04-13,22.0
2022-04-14,19.0
2022-04-15,15.0
2022-04-16,22.0
2022-04-17,19.0
2022-04-18,23.0
2022-04-19,21.0
2022-04-20,20.0
2022-04-21,24.0
2022-04-22,19.0
2022-04-23,15.0
2022-04-24,15.0
2022-04-25,22.0
2022-04-26,23.0
2022-04-27,18.0
2022-04-28,19.0
2022-04-29,21.0
2022-04-30,16.0
2022-05-01,12.0
2022-05-02,26.0
2022-05-03,22.0
2022-05-04,18.0
2022-05-05,20.0
2022-05-06,17.0
2022-05-07,13.0
2022-05-08,10.0
2022-05-09,18.0
2022-05-10,18.0
2022-05-11,22.0
2022-05-12,17.0
2022-05-13,12.0
2022-05-14,9.0
2022-05-15,13.0
2022-05-16,16.0
2022-05-17,17.0
2022-05-18,15.0
2022-05-19,17.0
2022-05-20,16.0
2022-05-21,10.0
2022-05-22,14.0
2022-05-23,17.0
2022-05-24,15.0
2022-05-25,13.0
2022-05-26,16.0
2022-05-27,11.0
2022-05-28,7.0
2022-05-29,15.0
2022-05-30,11.0
2022-05-31,15.0
2022-06-01,16.0
2022-06-02,13.0
2022-06-03,13.0
2022-06-04,5.0
2022-06-05,9.0
2022-06-06,9.0
2022-06-07,12.0
2022-06-08,12.0
