Time,domination
2023-11-22,35.24444444444445
2023-11-23,39.28888888888889
2023-11-24,42.75555555555556
2023-11-25,47.95555555555556
2023-11-26,43.91111111111112
2023-11-27,42.177777777777784
2023-11-28,46.22222222222223
2023-11-29,42.177777777777784
2023-11-30,47.95555555555556
2023-12-01,43.91111111111112
2023-12-02,46.22222222222223
2023-12-03,52.00000000000001
2023-12-04,46.22222222222223
2023-12-05,47.37777777777778
2023-12-06,42.177777777777784
2023-12-07,43.91111111111112
2023-12-08,48.53333333333334
2023-12-09,48.53333333333334
2023-12-10,47.37777777777778
2023-12-11,47.37777777777778
2023-12-12,47.37777777777778
2023-12-13,39.86666666666667
2023-12-14,48.53333333333334
2023-12-15,47.95555555555556
2023-12-16,45.06666666666667
2023-12-17,51.422222222222224
2023-12-18,47.95555555555556
2023-12-19,42.177777777777784
2023-12-20,39.86666666666667
2023-12-21,46.22222222222223
2023-12-22,41.17604617604618
2023-12-23,40.583261183261186
2023-12-24,44.42886002886003
2023-12-25,46.20721500721501
2023-12-26,38.8049062049062
2023-12-27,43.243290043290045
2023-12-28,44.13997113997114
2023-12-29,45.61443001443001
2023-12-30,44.73275613275614
2023-12-31,39.3976911976912
2024-01-01,37.61933621933622
2024-01-02,45.02164502164502
2024-01-03,42.05772005772006
2024-01-04,47.392784992784996
2024-01-05,42.36161616161617
2024-01-06,48.57835497835498
2024-01-07,57.166233766233766
2024-01-08,41.76883116883117
2024-01-09,45.02164502164502
2024-01-10,46.8
2024-01-11,42.05772005772006
2024-01-12,45.61443001443001
2024-01-13,45.02164502164502
2024-01-14,43.836075036075044
2024-01-15,46.8
2024-01-16,49.763924963924964
2024-01-17,45.02164502164502
2024-01-18,44.42886002886003
2024-01-19,44.73275613275614
2024-01-20,55.309090909090905
2024-01-21,50.44675324675325
2024-01-22,48.015584415584414
2024-01-23,57.74025974025974
2024-01-24,46.8
2024-01-25,53.48571428571428
2024-01-26,47.407792207792205
2024-01-27,51.66233766233766
2024-01-28,50.44675324675325
2024-01-29,48.015584415584414
2024-01-30,44.368831168831164
2024-01-31,43.153246753246755
2024-02-01,46.19220779220779
2024-02-02,44.368831168831164
2024-02-03,48.62337662337662
2024-02-04,43.76103896103896
2024-02-05,54.09350649350649
2024-02-06,46.19220779220779
2024-02-07,46.8
2024-02-08,48.015584415584414
2024-02-09,52.87792207792208
2024-02-10,54.09350649350649
2024-02-11,50.44675324675325
2024-02-12,41.93766233766234
2024-02-13,46.8
2024-02-14,46.19220779220779
2024-02-15,48.62337662337662
2024-02-16,39.506493506493506
2024-02-17,57.13246753246753
2024-02-18,60.77922077922078
2024-02-19,52.87792207792208
