Time,profitable
2022-01-01,57.0
2022-01-02,65.0
2022-01-03,66.0
2022-01-04,71.0
2022-01-05,66.0
2022-01-06,59.0
2022-01-07,65.0
2022-01-08,68.0
2022-01-09,71.0
2022-01-10,63.0
2022-01-11,72.0
2022-01-12,70.0
2022-01-13,80.0
2022-01-14,54.0
2022-01-15,59.0
2022-01-16,61.0
2022-01-17,71.0
2022-01-18,62.0
2022-01-19,70.0
2022-01-20,62.0
2022-01-21,67.0
2022-01-22,66.0
2022-01-23,67.0
2022-01-24,100.0
2022-01-25,74.0
2022-01-26,74.0
2022-01-27,73.0
2022-01-28,75.0
2022-01-29,68.0
2022-01-30,68.0
2022-01-31,72.0
2022-02-01,75.0
2022-02-02,69.0
2022-02-03,76.0
2022-02-04,62.0
2022-02-05,60.0
2022-02-06,75.0
2022-02-07,73.0
2022-02-08,78.0
2022-02-09,70.0
2022-02-10,61.0
2022-02-11,65.0
2022-02-12,62.0
2022-02-13,59.0
2022-02-14,64.0
2022-02-15,73.0
2022-02-16,78.0
2022-02-17,72.0
2022-02-18,71.0
2022-02-19,64.0
2022-02-20,66.0
2022-02-21,72.0
2022-02-22,76.0
2022-02-23,73.0
2022-02-24,67.0
2022-02-25,59.0
2022-02-26,56.0
2022-02-27,66.0
2022-02-28,73.0
2022-03-01,68.0
2022-03-02,65.0
2022-03-03,64.0
2022-03-04,65.0
2022-03-05,60.0
2022-03-06,67.0
2022-03-07,72.0
2022-03-08,63.0
2022-03-09,65.0
2022-03-10,67.0
2022-03-11,62.0
2022-03-12,64.0
2022-03-13,64.0
2022-03-14,65.0
2022-03-15,64.0
2022-03-16,65.0
2022-03-17,63.0
2022-03-18,66.0
2022-03-19,61.0
2022-03-20,69.0
2022-03-21,70.0
2022-03-22,67.0
2022-03-23,70.0
2022-03-24,64.0
2022-03-25,60.0
2022-03-26,66.0
2022-03-27,68.0
2022-03-28,76.0
2022-03-29,67.0
2022-03-30,68.0
2022-03-31,74.0
2022-04-01,67.0
2022-04-02,68.0
2022-04-03,78.0
2022-04-04,73.0
2022-04-05,71.0
2022-04-06,72.0
2022-04-07,70.0
2022-04-08,67.0
2022-04-09,61.0
2022-04-10,70.0
2022-04-11,71.0
2022-04-12,67.0
2022-04-13,67.0
2022-04-14,79.0
2022-04-15,65.0
2022-04-16,70.0
2022-04-17,68.0
2022-04-18,79.0
2022-04-19,82.0
2022-04-20,80.0
2022-04-21,82.0
2022-04-22,74.0
2022-04-23,59.0
2022-04-24,66.0
2022-04-25,85.0
2022-04-26,84.0
2022-04-27,83.0
2022-04-28,77.0
2022-04-29,62.0
2022-04-30,69.0
2022-05-01,68.0
2022-05-02,74.0
2022-05-03,67.0
2022-05-04,68.0
2022-05-05,64.0
2022-05-06,58.0
2022-05-07,61.0
2022-05-08,58.0
2022-05-09,67.0
2022-05-10,74.0
2022-05-11,72.0
2022-05-12,66.0
2022-05-13,59.0
2022-05-14,60.0
2022-05-15,62.0
2022-05-16,63.0
2022-05-17,61.0
2022-05-18,66.0
2022-05-19,56.0
2022-05-20,59.0
2022-05-21,54.0
2022-05-22,60.0
2022-05-23,60.0
2022-05-24,59.0
2022-05-25,54.0
2022-05-26,56.0
2022-05-27,57.0
2022-05-28,44.0
2022-05-29,57.0
2022-05-30,56.0
2022-05-31,61.0
2022-06-01,62.0
2022-06-02,54.0
2022-06-03,55.0
2022-06-04,58.0
2022-06-05,62.0
2022-06-06,54.0
2022-06-07,59.0
2022-06-08,60.0
2022-06-09,61.0
2022-06-10,56.0
2022-06-11,52.0
2022-06-12,57.0
2022-06-13,59.0
2022-06-14,61.0
2022-06-15,55.0
2022-06-16,57.0
2022-06-17,55.0
2022-06-18,54.0
2022-06-19,62.0
2022-06-20,60.0
2022-06-21,57.0
2022-06-22,62.0
2022-06-23,57.0
2022-06-24,48.0
2022-06-25,57.0
2022-06-26,59.0
2022-06-27,60.0
2022-06-28,54.0
2022-06-29,59.0
2022-06-30,50.0
2022-07-01,50.0
2022-07-02,52.0
2022-07-03,54.0
2022-07-04,63.0
2022-07-05,56.0
2022-07-06,59.0
2022-07-07,58.0
2022-07-08,55.0
2022-07-09,63.0
2022-07-10,59.0
2022-07-11,63.0
2022-07-12,57.0
2022-07-13,63.0
2022-07-14,58.0
2022-07-15,57.0
2022-07-16,60.0
2022-07-17,60.0
2022-07-18,63.0
2022-07-19,60.0
2022-07-20,59.0
2022-07-21,57.0
2022-07-22,56.0
2022-07-23,55.0
2022-07-24,59.0
2022-07-25,64.0
2022-07-26,60.0
2022-07-27,56.0
2022-07-28,64.0
2022-07-29,63.0
2022-07-30,54.0
2022-07-31,63.0
2022-08-01,63.0
2022-08-02,53.0
2022-08-03,58.0
2022-08-04,63.0
2022-08-05,61.0
2022-08-06,61.0
2022-08-07,67.0
2022-08-08,62.0
2022-08-09,59.0
2022-08-10,64.0
2022-08-11,65.0
2022-08-12,55.0
2022-08-13,51.0
2022-08-14,72.0
2022-08-15,62.0
2022-08-16,61.0
2022-08-17,59.0
2022-08-18,56.0
2022-08-19,55.0
2022-08-20,63.0
2022-08-21,59.0
2022-08-22,64.0
2022-08-23,65.0
2022-08-24,66.0
2022-08-25,64.0
2022-08-26,54.0
2022-08-27,50.0
2022-08-28,67.0
2022-08-29,67.32941176470588
2022-08-30,64.99411764705883
2022-08-31,64.5764705882353
2022-09-01,60.07058823529412
2022-09-02,64.5764705882353
2022-09-03,57.31764705882353
2022-09-04,58.31764705882353
2022-09-05,71.83529411764707
2022-09-06,66.91176470588235
2022-09-07,67.41176470588235
2022-09-08,62.82352941176471
2022-09-09,59.65294117647059
2022-09-10,55.56470588235294
2022-09-11,54.22941176470589
2022-09-12,71.91764705882353
2022-09-13,64.65882352941176
2022-09-14,71.0
2022-09-15,71.91764705882353
2022-09-16,69.58235294117648
2022-09-17,58.15294117647059
2022-09-18,67.32941176470588
2022-09-19,69.08235294117648
2022-09-20,70.16470588235293
2022-09-21,73.25294117647059
2022-09-22,75.58823529411765
2022-09-23,62.32352941176471
2022-09-24,50.976470588235294
2022-09-25,64.24117647058824
2022-09-26,65.0764705882353
2022-09-27,69.32941176470588
2022-09-28,63.48235294117647
2022-09-29,62.64705882352941
2022-09-30,60.976470588235294
2022-10-01,52.62352941176471
2022-10-02,63.48235294117647
2022-10-03,65.98823529411764
2022-10-04,71.0
2022-10-05,58.47058823529412
2022-10-06,63.48235294117647
2022-10-07,66.82352941176471
2022-10-08,56.800000000000004
2022-10-09,65.15294117647059
2022-10-10,69.32941176470588
2022-10-11,71.0
2022-10-12,68.49411764705883
2022-10-13,72.67058823529412
2022-10-14,59.305882352941175
2022-10-15,48.44705882352941
2022-10-16,64.31764705882352
2022-10-17,61.811764705882354
2022-10-18,75.17647058823529
2022-10-19,66.82352941176471
2022-10-20,71.0
2022-10-21,60.141176470588235
2022-10-22,55.964705882352945
2022-10-23,57.635294117647064
2022-10-24,71.0
2022-10-25,69.32941176470588
2022-10-26,65.98823529411764
2022-10-27,69.32941176470588
2022-10-28,64.31764705882352
2022-10-29,58.47058823529412
2022-10-30,63.48235294117647
2022-10-31,70.16470588235295
2022-11-01,73.50588235294119
2022-11-02,71.0
2022-11-03,72.67058823529412
2022-11-04,69.32941176470588
2022-11-05,63.48235294117647
2022-11-06,66.82352941176471
2022-11-07,70.16470588235295
2022-11-08,61.811764705882354
2022-11-09,66.82352941176471
2022-11-10,70.16470588235295
2022-11-11,67.65882352941176
2022-11-12,61.811764705882354
2022-11-13,66.82352941176471
2022-11-14,74.34117647058824
2022-11-15,73.50588235294119
2022-11-16,69.32941176470588
2022-11-17,65.98823529411764
2022-11-18,76.01176470588236
2022-11-19,54.294117647058826
2022-11-20,63.48235294117647
2022-11-21,60.976470588235294
2022-11-22,63.48235294117647
2022-11-23,58.47058823529412
2022-11-24,54.294117647058826
2022-11-25,55.964705882352945
2022-11-26,59.305882352941175
2022-11-27,65.15294117647059
2022-11-28,65.98823529411764
2022-11-29,68.49411764705883
2022-11-30,69.32941176470588
2022-12-01,76.01176470588236
2022-12-02,62.64705882352941
2022-12-03,59.305882352941175
2022-12-04,62.64705882352941
2022-12-05,71.0
2022-12-06,69.32941176470588
2022-12-07,75.17647058823529
2022-12-08,72.67058823529412
2022-12-09,63.48235294117647
2022-12-10,57.635294117647064
2022-12-11,65.98823529411764
2022-12-12,64.31764705882352
2022-12-13,66.82352941176471
2022-12-14,65.98823529411764
