Time,fellowship
2022-01-01,40.0
2022-01-02,73.0
2022-01-03,48.0
2022-01-04,59.0
2022-01-05,50.0
2022-01-06,45.0
2022-01-07,47.0
2022-01-08,41.0
2022-01-09,74.0
2022-01-10,50.0
2022-01-11,54.0
2022-01-12,50.0
2022-01-13,53.0
2022-01-14,40.0
2022-01-15,39.0
2022-01-16,65.0
2022-01-17,43.0
2022-01-18,44.0
2022-01-19,48.0
2022-01-20,47.0
2022-01-21,48.0
2022-01-22,43.0
2022-01-23,65.0
2022-01-24,61.0
2022-01-25,46.0
2022-01-26,49.0
2022-01-27,47.0
2022-01-28,50.0
2022-01-29,38.0
2022-01-30,71.0
2022-01-31,52.0
2022-02-01,51.0
2022-02-02,51.0
2022-02-03,49.0
2022-02-04,46.0
2022-02-05,40.0
2022-02-06,74.0
2022-02-07,54.0
2022-02-08,50.0
2022-02-09,51.0
2022-02-10,45.0
2022-02-11,49.0
2022-02-12,37.0
2022-02-13,65.0
2022-02-14,47.0
2022-02-15,55.0
2022-02-16,56.0
2022-02-17,54.0
2022-02-18,51.0
2022-02-19,45.0
2022-02-20,72.0
2022-02-21,48.0
2022-02-22,50.0
2022-02-23,52.0
2022-02-24,51.0
2022-02-25,48.0
2022-02-26,47.0
2022-02-27,74.0
2022-02-28,57.0
2022-03-01,54.0
2022-03-02,52.0
2022-03-03,51.0
2022-03-04,48.0
2022-03-05,45.0
2022-03-06,65.0
2022-03-07,54.0
2022-03-08,52.0
2022-03-09,49.0
2022-03-10,50.0
2022-03-11,47.0
2022-03-12,42.0
2022-03-13,65.0
2022-03-14,52.0
2022-03-15,51.0
2022-03-16,50.0
2022-03-17,49.0
2022-03-18,46.0
2022-03-19,45.0
2022-03-20,73.0
2022-03-21,52.0
2022-03-22,55.0
2022-03-23,54.0
2022-03-24,54.0
2022-03-25,48.0
2022-03-26,46.0
2022-03-27,69.0
2022-03-28,51.0
2022-03-29,52.0
2022-03-30,54.0
2022-03-31,54.0
2022-04-01,52.0
2022-04-02,41.0
2022-04-03,69.0
2022-04-04,55.0
2022-04-05,52.0
2022-04-06,51.0
2022-04-07,52.0
2022-04-08,51.0
2022-04-09,49.0
2022-04-10,76.0
2022-04-11,55.0
2022-04-12,52.0
2022-04-13,52.0
2022-04-14,57.0
2022-04-15,64.0
2022-04-16,58.0
2022-04-17,100.0
2022-04-18,58.0
2022-04-19,55.0
2022-04-20,52.0
2022-04-21,51.0
2022-04-22,46.0
2022-04-23,43.0
2022-04-24,68.0
2022-04-25,51.0
2022-04-26,59.0
2022-04-27,55.0
2022-04-28,53.0
2022-04-29,49.0
2022-04-30,50.0
2022-05-01,72.0
2022-05-02,51.0
2022-05-03,52.0
2022-05-04,51.0
2022-05-05,48.0
2022-05-06,43.0
2022-05-07,40.0
2022-05-08,57.0
2022-05-09,48.0
2022-05-10,47.0
2022-05-11,48.0
2022-05-12,47.0
2022-05-13,41.0
2022-05-14,38.0
2022-05-15,66.0
2022-05-16,48.0
2022-05-17,50.0
2022-05-18,43.0
2022-05-19,48.0
2022-05-20,44.0
2022-05-21,37.0
2022-05-22,63.0
2022-05-23,45.0
2022-05-24,47.0
2022-05-25,42.0
2022-05-26,47.0
2022-05-27,38.0
2022-05-28,37.0
2022-05-29,64.0
2022-05-30,36.0
2022-05-31,43.0
2022-06-01,48.0
2022-06-02,50.0
2022-06-03,41.0
2022-06-04,35.0
2022-06-05,65.0
2022-06-06,46.0
2022-06-07,46.0
2022-06-08,50.0
2022-06-09,46.0
2022-06-10,45.0
2022-06-11,40.0
2022-06-12,69.0
2022-06-13,51.0
2022-06-14,51.0
2022-06-15,48.0
2022-06-16,52.0
2022-06-17,44.0
2022-06-18,40.0
2022-06-19,64.0
2022-06-20,45.0
2022-06-21,45.0
2022-06-22,47.0
2022-06-23,49.0
2022-06-24,42.0
2022-06-25,42.0
2022-06-26,65.0
2022-06-27,52.0
2022-06-28,49.0
2022-06-29,52.0
2022-06-30,44.0
2022-07-01,45.0
2022-07-02,36.0
2022-07-03,65.0
2022-07-04,41.0
2022-07-05,46.0
2022-07-06,51.0
2022-07-07,52.0
2022-07-08,42.0
2022-07-09,39.0
2022-07-10,74.0
2022-07-11,54.0
2022-07-12,50.0
2022-07-13,53.0
2022-07-14,52.0
2022-07-15,48.0
2022-07-16,42.0
2022-07-17,71.0
2022-07-18,56.0
2022-07-19,59.0
2022-07-20,58.0
2022-07-21,53.0
2022-07-22,51.0
2022-07-23,44.0
2022-07-24,67.0
2022-07-25,55.0
2022-07-26,54.0
2022-07-27,53.0
2022-07-28,48.0
2022-07-29,50.0
2022-07-30,40.0
2022-07-31,72.0
2022-08-01,58.0
2022-08-02,59.0
2022-08-03,54.0
2022-08-04,52.0
2022-08-05,50.0
2022-08-06,43.0
2022-08-07,77.0
2022-08-08,58.0
2022-08-09,55.0
2022-08-10,53.0
2022-08-11,54.0
2022-08-12,47.0
2022-08-13,43.0
2022-08-14,80.0
2022-08-15,60.0
2022-08-16,58.0
2022-08-17,57.0
2022-08-18,55.0
2022-08-19,52.0
2022-08-20,47.0
2022-08-21,77.0
2022-08-22,56.0
2022-08-23,56.0
2022-08-24,57.0
2022-08-25,57.0
2022-08-26,51.0
2022-08-27,47.0
2022-08-28,77.0
2022-08-29,59.0
2022-08-30,60.026785714285715
2022-08-31,60.026785714285715
2022-09-01,56.94642857142857
2022-09-02,57.97321428571429
2022-09-03,48.73214285714286
2022-09-04,83.11607142857143
2022-09-05,59.0
2022-09-06,64.63392857142857
2022-09-07,63.10714285714286
2022-09-08,54.89285714285714
2022-09-09,53.86607142857143
2022-09-10,47.20535714285714
2022-09-11,75.92857142857143
2022-09-12,60.026785714285715
2022-09-13,59.0
2022-09-14,66.6875
2022-09-15,59.0
2022-09-16,51.8125
2022-09-17,49.25892857142857
2022-09-18,75.92857142857143
2022-09-19,60.026785714285715
2022-09-20,59.0
2022-09-21,59.0
2022-09-22,56.94642857142857
2022-09-23,53.86607142857143
2022-09-24,48.23214285714286
2022-09-25,72.84821428571428
2022-09-26,54.89285714285714
2022-09-27,52.67857142857143
2022-09-28,55.839285714285715
2022-09-29,54.785714285714285
2022-09-30,53.73214285714286
2022-10-01,46.35714285714286
2022-10-02,72.69642857142857
2022-10-03,55.839285714285715
2022-10-04,54.785714285714285
2022-10-05,57.94642857142858
2022-10-06,53.73214285714286
2022-10-07,54.785714285714285
2022-10-08,44.25
2022-10-09,70.58928571428572
2022-10-10,52.67857142857143
2022-10-11,52.67857142857143
2022-10-12,57.94642857142858
2022-10-13,52.67857142857143
2022-10-14,51.625
2022-10-15,48.464285714285715
2022-10-16,75.85714285714286
2022-10-17,55.839285714285715
2022-10-18,52.67857142857143
2022-10-19,59.0
2022-10-20,53.73214285714286
2022-10-21,52.67857142857143
2022-10-22,43.19642857142857
2022-10-23,66.375
2022-10-24,55.839285714285715
2022-10-25,50.57142857142857
2022-10-26,52.67857142857143
2022-10-27,55.839285714285715
2022-10-28,49.517857142857146
2022-10-29,46.35714285714286
2022-10-30,65.32142857142857
