Time,guide
2022-01-01,68.0
2022-01-02,75.0
2022-01-03,85.0
2022-01-04,94.0
2022-01-05,87.0
2022-01-06,73.0
2022-01-07,79.0
2022-01-08,79.0
2022-01-09,80.0
2022-01-10,81.0
2022-01-11,84.0
2022-01-12,84.0
2022-01-13,92.0
2022-01-14,68.0
2022-01-15,75.0
2022-01-16,68.0
2022-01-17,73.0
2022-01-18,74.0
2022-01-19,78.0
2022-01-20,78.0
2022-01-21,75.0
2022-01-22,74.0
2022-01-23,80.0
2022-01-24,100.0
2022-01-25,78.0
2022-01-26,76.0
2022-01-27,76.0
2022-01-28,82.0
2022-01-29,75.0
2022-01-30,76.0
2022-01-31,81.0
2022-02-01,77.0
2022-02-02,79.0
2022-02-03,82.0
2022-02-04,78.0
2022-02-05,77.0
2022-02-06,78.0
2022-02-07,82.0
2022-02-08,96.0
2022-02-09,85.0
2022-02-10,66.0
2022-02-11,81.0
2022-02-12,76.0
2022-02-13,82.0
2022-02-14,83.0
2022-02-15,91.0
2022-02-16,92.0
2022-02-17,90.0
2022-02-18,89.0
2022-02-19,83.0
2022-02-20,88.0
2022-02-21,91.0
2022-02-22,92.0
2022-02-23,94.0
2022-02-24,90.0
2022-02-25,92.0
2022-02-26,84.0
2022-02-27,89.0
2022-02-28,98.0
2022-03-01,96.0
2022-03-02,92.0
2022-03-03,90.0
2022-03-04,86.0
2022-03-05,85.0
2022-03-06,85.0
2022-03-07,100.0
2022-03-08,89.0
2022-03-09,90.0
2022-03-10,86.0
2022-03-11,84.0
2022-03-12,83.0
2022-03-13,84.0
2022-03-14,89.0
2022-03-15,91.0
2022-03-16,89.0
2022-03-17,85.0
2022-03-18,82.0
2022-03-19,77.0
2022-03-20,84.0
2022-03-21,87.0
2022-03-22,90.0
2022-03-23,91.0
2022-03-24,86.0
2022-03-25,85.0
2022-03-26,79.0
2022-03-27,84.0
2022-03-28,84.0
2022-03-29,89.0
2022-03-30,91.0
2022-03-31,86.0
2022-04-01,80.0
2022-04-02,81.0
2022-04-03,85.0
2022-04-04,87.0
2022-04-05,91.0
2022-04-06,88.0
2022-04-07,85.0
2022-04-08,81.0
2022-04-09,79.0
2022-04-10,82.0
2022-04-11,88.0
2022-04-12,84.0
2022-04-13,80.0
2022-04-14,81.0
2022-04-15,83.0
2022-04-16,79.0
2022-04-17,76.0
2022-04-18,94.0
2022-04-19,88.0
2022-04-20,85.0
2022-04-21,78.0
2022-04-22,79.0
2022-04-23,81.0
2022-04-24,79.0
2022-04-25,82.0
2022-04-26,91.0
2022-04-27,85.0
2022-04-28,84.0
2022-04-29,80.0
2022-04-30,76.0
2022-05-01,82.0
2022-05-02,87.0
2022-05-03,88.0
2022-05-04,85.0
2022-05-05,82.0
2022-05-06,76.0
2022-05-07,81.0
2022-05-08,76.0
2022-05-09,85.0
2022-05-10,86.0
2022-05-11,88.0
2022-05-12,82.0
2022-05-13,81.0
2022-05-14,80.0
2022-05-15,77.0
2022-05-16,84.0
2022-05-17,90.0
2022-05-18,83.0
2022-05-19,81.0
2022-05-20,76.0
2022-05-21,73.0
2022-05-22,76.0
2022-05-23,79.0
2022-05-24,87.0
2022-05-25,79.0
2022-05-26,77.0
2022-05-27,75.0
2022-05-28,71.0
2022-05-29,76.0
2022-05-30,78.0
2022-05-31,81.0
2022-06-01,80.0
2022-06-02,79.0
2022-06-03,77.0
2022-06-04,74.0
2022-06-05,79.0
2022-06-06,90.0
2022-06-07,96.0
2022-06-08,84.0
2022-06-09,81.0
2022-06-10,76.0
2022-06-11,72.0
2022-06-12,77.0
2022-06-13,83.0
2022-06-14,83.0
2022-06-15,83.0
2022-06-16,81.0
2022-06-17,78.0
2022-06-18,71.0
2022-06-19,75.0
2022-06-20,84.0
2022-06-21,83.0
2022-06-22,82.0
2022-06-23,82.0
2022-06-24,76.0
2022-06-25,73.0
2022-06-26,79.0
2022-06-27,86.0
2022-06-28,85.0
2022-06-29,83.0
2022-06-30,86.0
2022-07-01,76.0
2022-07-02,71.0
2022-07-03,72.0
2022-07-04,78.0
2022-07-05,80.0
2022-07-06,87.0
2022-07-07,89.0
2022-07-08,83.0
2022-07-09,79.0
2022-07-10,80.0
2022-07-11,88.0
2022-07-12,85.0
2022-07-13,84.0
2022-07-14,82.0
2022-07-15,81.0
2022-07-16,74.0
2022-07-17,78.0
2022-07-18,88.0
2022-07-19,89.0
2022-07-20,83.0
2022-07-21,81.0
2022-07-22,78.0
2022-07-23,71.0
2022-07-24,79.0
2022-07-25,86.0
2022-07-26,87.0
2022-07-27,85.0
2022-07-28,80.0
2022-07-29,77.0
2022-07-30,71.0
2022-07-31,77.0
2022-08-01,88.0
2022-08-02,90.0
2022-08-03,82.0
2022-08-04,78.0
2022-08-05,78.0
2022-08-06,74.0
