Time,reparation
2022-01-01,37.0
2022-01-02,26.0
2022-01-03,46.0
2022-01-04,52.0
2022-01-05,47.0
2022-01-06,31.0
2022-01-07,40.0
2022-01-08,38.0
2022-01-09,29.0
2022-01-10,44.0
2022-01-11,40.0
2022-01-12,43.0
2022-01-13,39.0
2022-01-14,30.0
2022-01-15,45.0
2022-01-16,35.0
2022-01-17,36.0
2022-01-18,51.0
2022-01-19,50.0
2022-01-20,37.0
2022-01-21,38.0
2022-01-22,26.0
2022-01-23,35.0
2022-01-24,45.0
2022-01-25,29.0
2022-01-26,33.0
2022-01-27,44.0
2022-01-28,51.0
2022-01-29,0.0
2022-01-30,26.0
2022-01-31,40.0
2022-02-01,48.0
2022-02-02,66.0
2022-02-03,68.0
2022-02-04,50.0
2022-02-05,35.0
2022-02-06,50.0
2022-02-07,61.0
2022-02-08,53.0
2022-02-09,54.0
2022-02-10,50.0
2022-02-11,47.0
2022-02-12,48.0
2022-02-13,43.0
2022-02-14,37.0
2022-02-15,37.0
2022-02-16,44.0
2022-02-17,51.0
2022-02-18,52.0
2022-02-19,39.0
2022-02-20,33.0
2022-02-21,54.0
2022-02-22,54.0
2022-02-23,36.0
2022-02-24,36.0
2022-02-25,50.0
2022-02-26,51.0
2022-02-27,37.0
2022-02-28,50.0
2022-03-01,50.0
2022-03-02,43.0
2022-03-03,44.0
2022-03-04,56.0
2022-03-05,35.0
2022-03-06,37.0
2022-03-07,40.0
2022-03-08,38.0
2022-03-09,60.0
2022-03-10,34.0
2022-03-11,50.0
2022-03-12,41.0
2022-03-13,31.0
2022-03-14,40.0
2022-03-15,36.0
2022-03-16,48.0
2022-03-17,52.0
2022-03-18,37.0
2022-03-19,35.0
2022-03-20,36.0
2022-03-21,44.0
2022-03-22,60.0
2022-03-23,48.0
2022-03-24,55.0
2022-03-25,57.0
2022-03-26,30.0
2022-03-27,30.0
2022-03-28,59.0
2022-03-29,64.0
2022-03-30,87.0
2022-03-31,100.0
2022-04-01,64.0
2022-04-02,68.0
2022-04-03,45.0
2022-04-04,67.0
2022-04-05,60.0
2022-04-06,60.0
2022-04-07,52.0
2022-04-08,61.0
2022-04-09,56.0
2022-04-10,36.0
2022-04-11,57.0
2022-04-12,51.0
2022-04-13,52.0
2022-04-14,52.0
2022-04-15,41.0
2022-04-16,40.0
2022-04-17,32.0
2022-04-18,47.0
2022-04-19,53.0
2022-04-20,48.0
2022-04-21,53.0
2022-04-22,51.0
2022-04-23,40.0
2022-04-24,51.0
2022-04-25,67.0
2022-04-26,71.0
2022-04-27,49.0
2022-04-28,48.0
2022-04-29,52.0
2022-04-30,47.0
2022-05-01,28.0
2022-05-02,61.0
2022-05-03,51.0
2022-05-04,36.0
2022-05-05,56.0
2022-05-06,42.0
2022-05-07,37.0
2022-05-08,27.0
2022-05-09,65.0
2022-05-10,48.0
2022-05-11,53.0
2022-05-12,49.0
2022-05-13,42.0
2022-05-14,29.0
2022-05-15,44.0
2022-05-16,50.0
2022-05-17,63.0
2022-05-18,28.0
2022-05-19,39.0
2022-05-20,48.0
2022-05-21,21.0
2022-05-22,40.0
2022-05-23,37.0
2022-05-24,41.0
2022-05-25,30.0
2022-05-26,41.0
2022-05-27,39.0
2022-05-28,24.0
2022-05-29,33.0
2022-05-30,21.0
2022-05-31,35.0
2022-06-01,58.0
2022-06-02,69.0
2022-06-03,41.0
2022-06-04,48.0
2022-06-05,35.0
2022-06-06,41.0
2022-06-07,18.0
2022-06-08,34.0
2022-06-09,33.0
2022-06-10,32.0
2022-06-11,44.0
2022-06-12,34.0
2022-06-13,42.0
2022-06-14,43.0
2022-06-15,35.0
2022-06-16,33.0
2022-06-17,34.0
2022-06-18,30.0
2022-06-19,57.0
2022-06-20,48.0
2022-06-21,46.0
2022-06-22,36.0
2022-06-23,25.0
2022-06-24,45.0
2022-06-25,39.0
2022-06-26,27.0
2022-06-27,27.0
2022-06-28,28.0
2022-06-29,41.0
2022-06-30,23.0
2022-07-01,25.0
2022-07-02,35.0
2022-07-03,26.0
2022-07-04,50.0
2022-07-05,37.0
2022-07-06,41.0
2022-07-07,23.0
2022-07-08,24.0
2022-07-09,33.0
2022-07-10,32.0
2022-07-11,30.0
2022-07-12,43.0
2022-07-13,36.0
2022-07-14,31.0
2022-07-15,38.0
2022-07-16,29.0
2022-07-17,21.0
2022-07-18,34.0
2022-07-19,26.0
2022-07-20,35.0
2022-07-21,29.0
2022-07-22,21.0
2022-07-23,23.0
2022-07-24,41.0
2022-07-25,35.0
2022-07-26,42.0
2022-07-27,33.0
2022-07-28,33.0
2022-07-29,24.0
2022-07-30,35.0
2022-07-31,44.0
2022-08-01,57.0
2022-08-02,35.0
2022-08-03,47.0
2022-08-04,42.0
2022-08-05,36.0
2022-08-06,38.0
2022-08-07,43.0
2022-08-08,28.0
2022-08-09,33.0
2022-08-10,34.0
2022-08-11,26.0
2022-08-12,31.0
2022-08-13,25.0
2022-08-14,35.0
2022-08-15,34.0
2022-08-16,33.0
2022-08-17,30.0
2022-08-18,31.0
2022-08-19,43.0
2022-08-20,37.0
2022-08-21,23.0
2022-08-22,28.0
2022-08-23,36.0
2022-08-24,39.0
2022-08-25,38.0
2022-08-26,41.0
2022-08-27,21.0
2022-08-28,19.0
2022-08-29,38.67391304347826
2022-08-30,44.8695652173913
2022-08-31,38.17391304347826
2022-09-01,49.0
2022-09-02,51.065217391304344
2022-09-03,38.67391304347826
2022-09-04,23.717391304347824
2022-09-05,23.717391304347824
2022-09-06,31.978260869565215
2022-09-07,36.60869565217391
2022-09-08,43.30434782608695
2022-09-09,53.63043478260869
2022-09-10,29.913043478260867
2022-09-11,48.5
2022-09-12,57.76086956521739
2022-09-13,51.065217391304344
2022-09-14,38.67391304347826
2022-09-15,36.10869565217391
2022-09-16,53.13043478260869
2022-09-17,29.413043478260867
2022-09-18,36.10869565217391
2022-09-19,35.60869565217391
2022-09-20,66.52173913043478
2022-09-21,74.28260869565217
2022-09-22,49.0
2022-09-23,44.3695652173913
2022-09-24,27.84782608695652
2022-09-25,36.10869565217391
2022-09-26,57.26086956521739
2022-09-27,53.260869565217384
2022-09-28,44.7391304347826
2022-09-29,40.47826086956521
2022-09-30,36.21739130434782
2022-10-01,27.69565217391304
2022-10-02,27.69565217391304
2022-10-03,34.086956521739125
2022-10-04,48.99999999999999
2022-10-05,38.347826086956516
2022-10-06,48.99999999999999
2022-10-07,36.21739130434782
2022-10-08,27.69565217391304
2022-10-09,48.99999999999999
2022-10-10,63.91304347826086
2022-10-11,63.91304347826086
2022-10-12,51.13043478260869
2022-10-13,44.7391304347826
2022-10-14,51.13043478260869
2022-10-15,29.826086956521735
2022-10-16,48.99999999999999
2022-10-17,44.7391304347826
2022-10-18,36.21739130434782
2022-10-19,46.8695652173913
2022-10-20,46.8695652173913
2022-10-21,42.60869565217391
2022-10-22,21.304347826086953
2022-10-23,31.95652173913043
2022-10-24,42.60869565217391
2022-10-25,38.347826086956516
2022-10-26,51.13043478260869
2022-10-27,44.7391304347826
2022-10-28,38.347826086956516
2022-10-29,34.086956521739125
2022-10-30,27.69565217391304
2022-10-31,48.99999999999999
2022-11-01,40.47826086956521
2022-11-02,40.47826086956521
2022-11-03,46.8695652173913
2022-11-04,38.347826086956516
2022-11-05,40.47826086956521
2022-11-06,34.086956521739125
2022-11-07,36.21739130434782
2022-11-08,36.21739130434782
2022-11-09,44.7391304347826
2022-11-10,40.47826086956521
2022-11-11,42.60869565217391
2022-11-12,27.69565217391304
2022-11-13,25.565217391304344
2022-11-14,38.347826086956516
2022-11-15,51.13043478260869
2022-11-16,44.7391304347826
2022-11-17,53.260869565217384
2022-11-18,34.086956521739125
2022-11-19,31.95652173913043
2022-11-20,25.565217391304344
2022-11-21,40.47826086956521
2022-11-22,44.7391304347826
2022-11-23,38.347826086956516
2022-11-24,29.826086956521735
2022-11-25,31.95652173913043
2022-11-26,0.0
2022-11-27,25.565217391304344
2022-11-28,36.21739130434782
2022-11-29,42.60869565217391
2022-11-30,38.347826086956516
2022-12-01,48.99999999999999
2022-12-02,61.782608695652165
2022-12-03,74.56521739130434
2022-12-04,66.04347826086956
2022-12-05,61.782608695652165
2022-12-06,66.04347826086956
2022-12-07,66.04347826086956
2022-12-08,61.782608695652165
2022-12-09,61.782608695652165
2022-12-10,70.30434782608694
2022-12-11,53.260869565217384
2022-12-12,44.7391304347826
2022-12-13,76.69565217391303
2022-12-14,46.8695652173913
2022-12-15,68.17391304347825
2022-12-16,89.4782608695652
2022-12-17,53.260869565217384
2022-12-18,51.13043478260869
2022-12-19,42.60869565217391
2022-12-20,40.47826086956521
2022-12-21,40.47826086956521
2022-12-22,40.47826086956521
2022-12-23,34.086956521739125
2022-12-24,23.43478260869565
2022-12-25,29.826086956521735
2022-12-26,27.69565217391304
2022-12-27,29.826086956521735
2022-12-28,38.347826086956516
2022-12-29,34.086956521739125
2022-12-30,25.565217391304344
2022-12-31,23.43478260869565
2023-01-01,29.826086956521735
2023-01-02,38.347826086956516
2023-01-03,34.086956521739125
2023-01-04,34.086956521739125
2023-01-05,40.47826086956521
2023-01-06,51.13043478260869
2023-01-07,42.60869565217391
2023-01-08,34.086956521739125
2023-01-09,40.47826086956521
2023-01-10,55.39130434782608
2023-01-11,46.8695652173913
2023-01-12,42.60869565217391
2023-01-13,46.8695652173913
2023-01-14,34.086956521739125
2023-01-15,34.086956521739125
2023-01-16,55.39130434782608
2023-01-17,95.86956521739128
2023-01-18,87.3478260869565
2023-01-19,72.43478260869564
2023-01-20,70.30434782608694
2023-01-21,36.21739130434782
2023-01-22,42.60869565217391
2023-01-23,48.99999999999999
