Time,gamble
2022-01-01,14.0
2022-01-02,16.0
2022-01-03,16.0
2022-01-04,20.0
2022-01-05,19.0
2022-01-06,17.0
2022-01-07,18.0
2022-01-08,20.0
2022-01-09,16.0
2022-01-10,17.0
2022-01-11,17.0
2022-01-12,16.0
2022-01-13,23.0
2022-01-14,15.0
2022-01-15,16.0
2022-01-16,15.0
2022-01-17,16.0
2022-01-18,16.0
2022-01-19,18.0
2022-01-20,19.0
2022-01-21,17.0
2022-01-22,22.0
2022-01-23,21.0
2022-01-24,22.0
2022-01-25,16.0
2022-01-26,15.0
2022-01-27,16.0
2022-01-28,18.0
2022-01-29,15.0
2022-01-30,14.0
2022-01-31,15.0
2022-02-01,17.0
2022-02-02,17.0
2022-02-03,17.0
2022-02-04,17.0
2022-02-05,18.0
2022-02-06,15.0
2022-02-07,17.0
2022-02-08,19.0
2022-02-09,18.0
2022-02-10,14.0
2022-02-11,18.0
2022-02-12,17.0
2022-02-13,17.0
2022-02-14,16.0
2022-02-15,16.0
2022-02-16,18.0
2022-02-17,22.0
2022-02-18,27.0
2022-02-19,100.0
2022-02-20,88.0
2022-02-21,28.0
2022-02-22,22.0
2022-02-23,20.0
2022-02-24,19.0
2022-02-25,17.0
2022-02-26,17.0
2022-02-27,18.0
2022-02-28,17.0
2022-03-01,18.0
2022-03-02,18.0
2022-03-03,20.0
2022-03-04,20.0
2022-03-05,17.0
2022-03-06,16.0
2022-03-07,18.0
2022-03-08,19.0
2022-03-09,18.0
2022-03-10,18.0
2022-03-11,16.0
2022-03-12,16.0
2022-03-13,16.0
2022-03-14,17.0
2022-03-15,18.0
2022-03-16,17.0
2022-03-17,19.0
2022-03-18,17.0
2022-03-19,15.0
2022-03-20,17.0
2022-03-21,17.0
2022-03-22,17.0
2022-03-23,18.0
2022-03-24,18.0
2022-03-25,15.0
2022-03-26,17.0
2022-03-27,16.0
2022-03-28,15.0
2022-03-29,15.0
2022-03-30,16.0
2022-03-31,17.0
2022-04-01,17.0
2022-04-02,15.0
2022-04-03,16.0
2022-04-04,17.0
2022-04-05,16.0
2022-04-06,17.0
2022-04-07,19.0
2022-04-08,17.0
2022-04-09,17.0
2022-04-10,16.0
2022-04-11,15.0
2022-04-12,17.0
2022-04-13,17.0
2022-04-14,19.0
2022-04-15,18.0
2022-04-16,18.0
2022-04-17,18.0
2022-04-18,19.0
2022-04-19,17.0
2022-04-20,17.0
2022-04-21,18.0
2022-04-22,16.0
2022-04-23,18.0
2022-04-24,15.0
2022-04-25,18.0
2022-04-26,16.0
2022-04-27,20.0
2022-04-28,25.0
2022-04-29,23.0
2022-04-30,20.0
2022-05-01,17.0
2022-05-02,19.0
2022-05-03,23.0
