Time,compensation
2022-01-01,37.0
2022-01-02,40.0
2022-01-03,70.0
2022-01-04,88.0
2022-01-05,87.0
2022-01-06,73.0
2022-01-07,83.0
2022-01-08,49.0
2022-01-09,42.0
2022-01-10,72.0
2022-01-11,82.0
2022-01-12,79.0
2022-01-13,91.0
2022-01-14,61.0
2022-01-15,48.0
2022-01-16,39.0
2022-01-17,51.0
2022-01-18,67.0
2022-01-19,83.0
2022-01-20,80.0
2022-01-21,73.0
2022-01-22,53.0
2022-01-23,46.0
2022-01-24,100.0
2022-01-25,83.0
2022-01-26,84.0
2022-01-27,77.0
2022-01-28,76.0
2022-01-29,46.0
2022-01-30,42.0
2022-01-31,80.0
2022-02-01,87.0
2022-02-02,86.0
2022-02-03,84.0
2022-02-04,77.0
2022-02-05,50.0
2022-02-06,48.0
2022-02-07,84.0
2022-02-08,88.0
2022-02-09,86.0
2022-02-10,74.0
2022-02-11,72.0
2022-02-12,45.0
2022-02-13,39.0
2022-02-14,70.0
2022-02-15,81.0
2022-02-16,84.0
2022-02-17,84.0
2022-02-18,77.0
2022-02-19,52.0
2022-02-20,42.0
2022-02-21,67.0
2022-02-22,81.0
2022-02-23,83.0
2022-02-24,82.0
2022-02-25,74.0
2022-02-26,47.0
2022-02-27,42.0
2022-02-28,77.0
2022-03-01,80.0
2022-03-02,78.0
2022-03-03,82.0
2022-03-04,71.0
2022-03-05,42.0
2022-03-06,43.0
2022-03-07,76.0
2022-03-08,77.0
2022-03-09,82.0
2022-03-10,81.0
2022-03-11,72.0
2022-03-12,44.0
2022-03-13,45.0
2022-03-14,74.0
2022-03-15,78.0
2022-03-16,76.0
2022-03-17,75.0
2022-03-18,71.0
2022-03-19,43.0
2022-03-20,44.0
2022-03-21,75.0
2022-03-22,80.0
2022-03-23,81.0
2022-03-24,77.0
2022-03-25,69.0
2022-03-26,42.0
2022-03-27,42.0
2022-03-28,75.0
2022-03-29,78.0
2022-03-30,79.0
2022-03-31,78.0
2022-04-01,76.0
2022-04-02,51.0
2022-04-03,49.0
2022-04-04,75.0
2022-04-05,86.0
2022-04-06,85.0
2022-04-07,77.0
2022-04-08,76.0
2022-04-09,46.0
2022-04-10,45.0
2022-04-11,75.0
2022-04-12,75.0
2022-04-13,74.0
2022-04-14,82.0
2022-04-15,66.0
2022-04-16,43.0
2022-04-17,43.0
2022-04-18,81.0
2022-04-19,90.0
2022-04-20,81.0
2022-04-21,81.0
2022-04-22,67.0
2022-04-23,44.0
2022-04-24,44.0
2022-04-25,72.0
2022-04-26,86.0
2022-04-27,79.0
2022-04-28,79.0
2022-04-29,71.0
2022-04-30,47.0
2022-05-01,41.0
2022-05-02,74.0
2022-05-03,79.0
2022-05-04,76.0
2022-05-05,76.0
2022-05-06,66.0
2022-05-07,40.0
2022-05-08,35.0
2022-05-09,70.0
2022-05-10,76.0
2022-05-11,72.0
2022-05-12,69.0
2022-05-13,61.0
2022-05-14,36.0
2022-05-15,33.0
2022-05-16,68.0
2022-05-17,73.0
2022-05-18,71.0
2022-05-19,68.0
2022-05-20,62.0
2022-05-21,37.0
2022-05-22,35.0
2022-05-23,72.0
2022-05-24,71.0
2022-05-25,70.0
2022-05-26,69.0
2022-05-27,58.0
2022-05-28,34.0
2022-05-29,34.0
2022-05-30,33.0
2022-05-31,64.0
2022-06-01,72.0
2022-06-02,73.0
2022-06-03,65.0
2022-06-04,35.0
2022-06-05,34.0
2022-06-06,68.0
2022-06-07,73.0
2022-06-08,73.0
2022-06-09,72.0
2022-06-10,64.0
2022-06-11,36.0
2022-06-12,37.0
2022-06-13,70.0
2022-06-14,73.0
2022-06-15,73.0
2022-06-16,75.0
2022-06-17,63.0
2022-06-18,38.0
2022-06-19,38.0
2022-06-20,66.0
2022-06-21,74.0
2022-06-22,74.0
2022-06-23,78.0
2022-06-24,63.0
2022-06-25,42.0
2022-06-26,35.0
2022-06-27,76.0
2022-06-28,77.0
2022-06-29,75.0
2022-06-30,73.0
2022-07-01,64.0
2022-07-02,42.0
2022-07-03,38.0
2022-07-04,36.0
2022-07-05,61.0
2022-07-06,75.0
2022-07-07,72.0
2022-07-08,64.0
2022-07-09,36.0
2022-07-10,37.0
2022-07-11,68.0
2022-07-12,71.0
2022-07-13,73.0
2022-07-14,74.0
2022-07-15,63.0
2022-07-16,43.0
2022-07-17,36.0
2022-07-18,74.0
2022-07-19,78.0
2022-07-20,75.0
2022-07-21,79.0
2022-07-22,67.0
2022-07-23,44.0
2022-07-24,43.0
2022-07-25,77.0
2022-07-26,78.0
2022-07-27,72.0
2022-07-28,77.0
2022-07-29,68.0
2022-07-30,44.0
2022-07-31,38.0
2022-08-01,69.0
2022-08-02,73.0
2022-08-03,73.0
2022-08-04,74.0
2022-08-05,70.0
2022-08-06,47.0
2022-08-07,41.0
2022-08-08,74.0
2022-08-09,74.0
2022-08-10,72.0
2022-08-11,77.0
2022-08-12,65.0
2022-08-13,41.0
2022-08-14,38.0
2022-08-15,74.0
2022-08-16,73.0
2022-08-17,74.0
2022-08-18,75.0
2022-08-19,63.0
2022-08-20,43.0
2022-08-21,41.0
2022-08-22,70.0
2022-08-23,77.0
2022-08-24,78.0
2022-08-25,70.0
2022-08-26,61.0
2022-08-27,41.0
2022-08-28,35.0
2022-08-29,68.82738095238096
2022-08-30,79.0
2022-08-31,72.70833333333334
2022-09-01,72.20833333333334
2022-09-02,63.00595238095238
2022-09-03,35.86904761904762
2022-09-04,31.98809523809524
2022-09-05,37.80952380952381
2022-09-06,64.94642857142858
2022-09-07,68.32738095238096
2022-09-08,64.44642857142858
2022-09-09,66.88690476190476
2022-09-10,40.2202380952381
2022-09-11,37.80952380952381
2022-09-12,70.26785714285714
2022-09-13,79.0
2022-09-14,74.14880952380952
2022-09-15,72.20833333333334
2022-09-16,63.97619047619048
2022-09-17,43.13095238095238
2022-09-18,35.86904761904762
2022-09-19,72.70833333333334
2022-09-20,78.5
2022-09-21,72.20833333333334
2022-09-22,76.08928571428572
2022-09-23,67.85714285714286
2022-09-24,40.2202380952381
2022-09-25,36.339285714285715
2022-09-26,71.73809523809524
2022-09-27,71.47619047619048
2022-09-28,70.53571428571429
2022-09-29,70.53571428571429
2022-09-30,65.83333333333334
2022-10-01,42.32142857142858
2022-10-02,39.50000000000001
2022-10-03,69.5952380952381
2022-10-04,73.35714285714286
2022-10-05,71.47619047619048
2022-10-06,75.23809523809524
2022-10-07,65.83333333333334
2022-10-08,42.32142857142858
2022-10-09,32.91666666666667
2022-10-10,68.65476190476191
2022-10-11,73.35714285714286
2022-10-12,74.29761904761905
2022-10-13,81.82142857142858
2022-10-14,67.71428571428572
2022-10-15,42.32142857142858
2022-10-16,38.55952380952381
2022-10-17,69.5952380952381
2022-10-18,77.11904761904762
2022-10-19,75.23809523809524
2022-10-20,76.17857142857143
2022-10-21,67.71428571428572
2022-10-22,42.32142857142858
2022-10-23,34.79761904761905
2022-10-24,74.29761904761905
2022-10-25,78.05952380952382
2022-10-26,78.05952380952382
2022-10-27,79.00000000000001
2022-10-28,66.77380952380953
2022-10-29,40.4404761904762
2022-10-30,35.73809523809524
2022-10-31,73.35714285714286
2022-11-01,74.29761904761905
2022-11-02,73.35714285714286
2022-11-03,73.35714285714286
2022-11-04,67.71428571428572
2022-11-05,42.32142857142858
2022-11-06,37.61904761904762
2022-11-07,71.47619047619048
2022-11-08,69.5952380952381
2022-11-09,67.71428571428572
2022-11-10,65.83333333333334
2022-11-11,58.30952380952382
2022-11-12,35.73809523809524
2022-11-13,34.79761904761905
2022-11-14,71.47619047619048
2022-11-15,74.29761904761905
2022-11-16,73.35714285714286
2022-11-17,73.35714285714286
2022-11-18,66.77380952380953
2022-11-19,42.32142857142858
2022-11-20,36.67857142857143
2022-11-21,67.71428571428572
2022-11-22,68.65476190476191
2022-11-23,48.90476190476191
2022-11-24,26.333333333333336
2022-11-25,30.0952380952381
2022-11-26,31.03571428571429
2022-11-27,34.79761904761905
2022-11-28,67.71428571428572
2022-11-29,73.35714285714286
2022-11-30,74.29761904761905
2022-12-01,75.23809523809524
2022-12-02,64.89285714285715
2022-12-03,39.50000000000001
2022-12-04,34.79761904761905
2022-12-05,70.53571428571429
2022-12-06,73.35714285714286
2022-12-07,74.29761904761905
2022-12-08,74.29761904761905
2022-12-09,64.89285714285715
2022-12-10,40.4404761904762
2022-12-11,39.50000000000001
2022-12-12,68.65476190476191
2022-12-13,71.47619047619048
2022-12-14,67.71428571428572
2022-12-15,66.77380952380953
2022-12-16,62.07142857142858
2022-12-17,43.261904761904766
2022-12-18,31.03571428571429
2022-12-19,62.07142857142858
2022-12-20,66.77380952380953
2022-12-21,62.07142857142858
2022-12-22,65.83333333333334
2022-12-23,48.90476190476191
2022-12-24,43.261904761904766
2022-12-25,32.91666666666667
2022-12-26,42.32142857142858
2022-12-27,68.65476190476191
2022-12-28,70.53571428571429
2022-12-29,61.13095238095239
2022-12-30,51.72619047619048
2022-12-31,39.50000000000001
2023-01-01,29.15476190476191
2023-01-02,43.261904761904766
2023-01-03,68.65476190476191
2023-01-04,77.11904761904762
2023-01-05,69.5952380952381
2023-01-06,75.23809523809524
2023-01-07,44.202380952380956
2023-01-08,34.79761904761905
2023-01-09,68.65476190476191
2023-01-10,77.11904761904762
2023-01-11,81.82142857142858
2023-01-12,79.00000000000001
2023-01-13,67.71428571428572
2023-01-14,44.202380952380956
2023-01-15,33.85714285714286
2023-01-16,51.72619047619048
2023-01-17,75.23809523809524
2023-01-18,75.23809523809524
2023-01-19,79.00000000000001
2023-01-20,74.29761904761905
2023-01-21,47.023809523809526
2023-01-22,39.50000000000001
2023-01-23,75.23809523809524
2023-01-24,84.64285714285715
2023-01-25,82.76190476190477
2023-01-26,85.58333333333334
2023-01-27,74.29761904761905
2023-01-28,46.083333333333336
2023-01-29,44.202380952380956
2023-01-30,81.82142857142858
2023-01-31,85.58333333333334
2023-02-01,83.70238095238096
2023-02-02,79.9404761904762
2023-02-03,72.41666666666667
2023-02-04,47.96428571428572
2023-02-05,41.38095238095239
2023-02-06,79.00000000000001
2023-02-07,82.76190476190477
2023-02-08,78.05952380952382
2023-02-09,73.35714285714286
2023-02-10,73.35714285714286
2023-02-11,45.142857142857146
2023-02-12,35.73809523809524
2023-02-13,64.89285714285715
2023-02-14,76.17857142857143
2023-02-15,75.23809523809524
2023-02-16,76.17857142857143
2023-02-17,75.23809523809524
2023-02-18,46.083333333333336
