Time,bankrupt
2022-01-01,26.0
2022-01-02,23.0
2022-01-03,29.0
2022-01-04,34.0
2022-01-05,31.0
2022-01-06,31.0
2022-01-07,27.0
2022-01-08,26.0
2022-01-09,27.0
2022-01-10,26.0
2022-01-11,31.0
2022-01-12,25.0
2022-01-13,44.0
2022-01-14,30.0
2022-01-15,27.0
2022-01-16,26.0
2022-01-17,26.0
2022-01-18,27.0
2022-01-19,29.0
2022-01-20,31.0
2022-01-21,30.0
2022-01-22,35.0
2022-01-23,30.0
2022-01-24,44.0
2022-01-25,39.0
2022-01-26,26.0
2022-01-27,35.0
2022-01-28,37.0
2022-01-29,24.0
2022-01-30,26.0
2022-01-31,27.0
2022-02-01,29.0
2022-02-02,26.0
2022-02-03,34.0
2022-02-04,29.0
2022-02-05,28.0
2022-02-06,25.0
2022-02-07,33.0
2022-02-08,32.0
2022-02-09,28.0
2022-02-10,28.0
2022-02-11,28.0
2022-02-12,18.0
2022-02-13,27.0
2022-02-14,35.0
2022-02-15,43.0
2022-02-16,43.0
2022-02-17,37.0
2022-02-18,34.0
2022-02-19,32.0
2022-02-20,31.0
2022-02-21,33.0
2022-02-22,35.0
2022-02-23,36.0
2022-02-24,45.0
2022-02-25,45.0
2022-02-26,45.0
2022-02-27,51.0
2022-02-28,53.0
2022-03-01,45.0
2022-03-02,50.0
2022-03-03,38.0
2022-03-04,36.0
2022-03-05,35.0
2022-03-06,31.0
2022-03-07,32.0
2022-03-08,35.0
2022-03-09,29.0
2022-03-10,39.0
2022-03-11,36.0
2022-03-12,28.0
2022-03-13,69.0
2022-03-14,50.0
2022-03-15,40.0
2022-03-16,31.0
2022-03-17,29.0
2022-03-18,31.0
2022-03-19,28.0
2022-03-20,23.0
2022-03-21,29.0
2022-03-22,36.0
2022-03-23,30.0
2022-03-24,40.0
2022-03-25,36.0
2022-03-26,27.0
2022-03-27,41.0
2022-03-28,37.0
2022-03-29,36.0
2022-03-30,38.0
2022-03-31,35.0
2022-04-01,41.0
2022-04-02,32.0
2022-04-03,31.0
2022-04-04,35.0
2022-04-05,32.0
2022-04-06,32.0
2022-04-07,36.0
2022-04-08,32.0
2022-04-09,26.0
2022-04-10,34.0
2022-04-11,33.0
2022-04-12,35.0
2022-04-13,34.0
2022-04-14,36.0
2022-04-15,35.0
2022-04-16,33.0
2022-04-17,32.0
2022-04-18,41.0
2022-04-19,40.0
2022-04-20,40.0
2022-04-21,41.0
2022-04-22,36.0
2022-04-23,34.0
2022-04-24,30.0
2022-04-25,37.0
2022-04-26,37.0
2022-04-27,33.0
2022-04-28,32.0
2022-04-29,34.0
2022-04-30,31.0
2022-05-01,34.0
2022-05-02,34.0
2022-05-03,32.0
2022-05-04,35.0
2022-05-05,31.0
2022-05-06,34.0
2022-05-07,34.0
2022-05-08,42.0
2022-05-09,38.0
2022-05-10,38.0
2022-05-11,75.0
2022-05-12,100.0
2022-05-13,54.0
2022-05-14,38.0
2022-05-15,34.0
2022-05-16,39.0
2022-05-17,44.0
2022-05-18,43.0
2022-05-19,37.0
2022-05-20,35.0
2022-05-21,39.0
2022-05-22,35.0
2022-05-23,33.0
2022-05-24,36.0
2022-05-25,42.0
2022-05-26,34.0
2022-05-27,32.0
2022-05-28,25.0
2022-05-29,30.0
2022-05-30,25.0
2022-05-31,31.0
2022-06-01,42.0
2022-06-02,41.0
2022-06-03,31.0
2022-06-04,36.0
2022-06-05,25.0
2022-06-06,34.0
2022-06-07,37.0
2022-06-08,35.0
2022-06-09,31.0
2022-06-10,29.0
2022-06-11,32.0
2022-06-12,33.0
2022-06-13,53.0
2022-06-14,54.0
2022-06-15,56.0
2022-06-16,74.0
2022-06-17,62.0
2022-06-18,41.0
2022-06-19,44.0
2022-06-20,43.0
2022-06-21,36.0
2022-06-22,39.0
2022-06-23,45.0
2022-06-24,42.0
2022-06-25,37.0
2022-06-26,30.0
2022-06-27,40.0
2022-06-28,37.0
2022-06-29,39.0
2022-06-30,41.0
2022-07-01,39.0
2022-07-02,47.0
2022-07-03,38.0
2022-07-04,31.0
2022-07-05,35.0
2022-07-06,54.0
2022-07-07,46.0
2022-07-08,41.0
2022-07-09,49.0
2022-07-10,37.0
2022-07-11,39.0
2022-07-12,41.0
2022-07-13,41.0
2022-07-14,52.0
2022-07-15,42.0
2022-07-16,38.0
2022-07-17,37.0
2022-07-18,36.0
2022-07-19,43.0
2022-07-20,33.0
2022-07-21,31.0
2022-07-22,36.0
2022-07-23,36.0
2022-07-24,31.0
2022-07-25,38.0
2022-07-26,37.0
2022-07-27,40.0
2022-07-28,35.0
2022-07-29,34.0
2022-07-30,36.0
2022-07-31,53.0
2022-08-01,41.0
2022-08-02,38.0
2022-08-03,44.0
2022-08-04,43.0
2022-08-05,45.0
2022-08-06,40.0
2022-08-07,38.0
2022-08-08,33.0
2022-08-09,37.0
2022-08-10,34.0
2022-08-11,31.0
2022-08-12,27.0
2022-08-13,23.0
2022-08-14,33.0
2022-08-15,32.0
2022-08-16,32.0
2022-08-17,31.0
2022-08-18,36.0
2022-08-19,41.0
2022-08-20,34.0
2022-08-21,34.0
2022-08-22,36.0
2022-08-23,42.0
2022-08-24,40.0
2022-08-25,42.0
2022-08-26,40.0
2022-08-27,25.0
2022-08-28,37.0
2022-08-29,38.875
2022-08-30,37.25
2022-08-31,36.125
2022-09-01,55.0
2022-09-02,48.875
2022-09-03,35.0
2022-09-04,36.125
2022-09-05,37.25
2022-09-06,37.25
2022-09-07,33.375
2022-09-08,31.125
2022-09-09,31.125
2022-09-10,27.75
2022-09-11,27.75
2022-09-12,32.75
2022-09-13,35.0
2022-09-14,35.0
2022-09-15,33.375
2022-09-16,30.5
2022-09-17,21.625
2022-09-18,32.25
2022-09-19,32.75
2022-09-20,35.0
2022-09-21,40.0
2022-09-22,37.25
2022-09-23,35.0
2022-09-24,25.0
2022-09-25,31.625
2022-09-26,35.0
2022-09-27,32.5
2022-09-28,37.5
2022-09-29,35.0
2022-09-30,35.0
2022-10-01,32.5
2022-10-02,25.0
2022-10-03,41.25
2022-10-04,33.75
2022-10-05,38.75
2022-10-06,38.75
2022-10-07,36.25
2022-10-08,27.5
2022-10-09,33.75
2022-10-10,35.0
2022-10-11,41.25
2022-10-12,46.25
2022-10-13,41.25
2022-10-14,46.25
2022-10-15,33.75
2022-10-16,32.5
2022-10-17,38.75
2022-10-18,37.5
2022-10-19,38.75
2022-10-20,35.0
2022-10-21,37.5
2022-10-22,35.0
2022-10-23,30.0
2022-10-24,42.5
2022-10-25,41.25
2022-10-26,35.0
2022-10-27,43.75
2022-10-28,38.75
2022-10-29,27.5
2022-10-30,23.75
2022-10-31,36.25
2022-11-01,37.5
2022-11-02,36.25
2022-11-03,37.5
2022-11-04,37.5
2022-11-05,32.5
2022-11-06,33.75
2022-11-07,42.5
2022-11-08,51.25
2022-11-09,56.25
2022-11-10,58.75
2022-11-11,93.75
2022-11-12,85.0
2022-11-13,72.5
2022-11-14,72.5
2022-11-15,65.0
2022-11-16,77.5
2022-11-17,78.75
2022-11-18,67.5
2022-11-19,43.75
2022-11-20,40.0
2022-11-21,47.5
2022-11-22,51.25
2022-11-23,45.0
2022-11-24,38.75
2022-11-25,31.25
2022-11-26,32.5
2022-11-27,37.5
2022-11-28,47.5
2022-11-29,46.25
2022-11-30,41.25
2022-12-01,48.75
2022-12-02,40.0
2022-12-03,36.25
2022-12-04,36.25
2022-12-05,41.25
2022-12-06,52.5
2022-12-07,52.5
2022-12-08,52.5
2022-12-09,50.0
2022-12-10,45.0
2022-12-11,47.5
2022-12-12,47.5
2022-12-13,47.5
2022-12-14,43.75
2022-12-15,50.0
2022-12-16,43.75
2022-12-17,36.25
2022-12-18,32.5
2022-12-19,43.75
2022-12-20,43.75
2022-12-21,50.0
2022-12-22,51.25
2022-12-23,41.25
2022-12-24,32.5
2022-12-25,28.75
2022-12-26,35.0
2022-12-27,41.25
2022-12-28,53.75
2022-12-29,43.75
2022-12-30,50.0
2022-12-31,36.25
2023-01-01,28.75
2023-01-02,35.0
2023-01-03,37.5
2023-01-04,45.0
2023-01-05,46.25
2023-01-06,46.25
2023-01-07,38.75
2023-01-08,36.25
