Time,reward
2022-01-01,66.0
2022-01-02,73.0
2022-01-03,72.0
2022-01-04,82.0
2022-01-05,77.0
2022-01-06,63.0
2022-01-07,75.0
2022-01-08,72.0
2022-01-09,68.0
2022-01-10,62.0
2022-01-11,79.0
2022-01-12,70.0
2022-01-13,80.0
2022-01-14,57.0
2022-01-15,75.0
2022-01-16,70.0
2022-01-17,70.0
2022-01-18,62.0
2022-01-19,74.0
2022-01-20,74.0
2022-01-21,73.0
2022-01-22,75.0
2022-01-23,74.0
2022-01-24,100.0
2022-01-25,69.0
2022-01-26,64.0
2022-01-27,65.0
2022-01-28,73.0
2022-01-29,70.0
2022-01-30,71.0
2022-01-31,76.0
2022-02-01,84.0
2022-02-02,70.0
2022-02-03,72.0
2022-02-04,79.0
2022-02-05,81.0
2022-02-06,74.0
2022-02-07,82.0
2022-02-08,80.0
2022-02-09,78.0
2022-02-10,67.0
2022-02-11,80.0
2022-02-12,79.0
2022-02-13,73.0
2022-02-14,75.0
2022-02-15,78.0
2022-02-16,83.0
2022-02-17,84.0
2022-02-18,81.0
2022-02-19,86.0
2022-02-20,85.0
2022-02-21,91.0
2022-02-22,79.0
2022-02-23,80.0
2022-02-24,78.0
2022-02-25,81.0
2022-02-26,81.0
2022-02-27,78.0
2022-02-28,87.0
2022-03-01,88.0
2022-03-02,87.0
2022-03-03,87.0
2022-03-04,89.0
2022-03-05,86.0
2022-03-06,84.0
2022-03-07,86.0
2022-03-08,80.0
2022-03-09,78.0
2022-03-10,81.0
2022-03-11,82.0
2022-03-12,78.0
2022-03-13,80.0
2022-03-14,86.0
2022-03-15,76.0
2022-03-16,76.0
2022-03-17,78.0
2022-03-18,76.0
2022-03-19,76.0
2022-03-20,76.0
2022-03-21,74.0
2022-03-22,75.0
2022-03-23,76.0
2022-03-24,75.0
2022-03-25,69.0
2022-03-26,71.0
2022-03-27,81.0
2022-03-28,80.0
2022-03-29,79.0
2022-03-30,79.0
2022-03-31,81.0
2022-04-01,90.0
2022-04-02,76.0
2022-04-03,75.0
2022-04-04,82.0
2022-04-05,78.0
2022-04-06,83.0
2022-04-07,79.0
2022-04-08,80.0
2022-04-09,76.0
2022-04-10,76.0
2022-04-11,79.0
2022-04-12,78.0
2022-04-13,74.0
2022-04-14,81.0
2022-04-15,75.0
2022-04-16,81.0
2022-04-17,77.0
2022-04-18,85.0
2022-04-19,79.0
2022-04-20,77.0
2022-04-21,82.0
2022-04-22,76.0
2022-04-23,76.0
2022-04-24,76.0
2022-04-25,74.0
2022-04-26,80.0
2022-04-27,78.0
2022-04-28,83.0
2022-04-29,70.0
