Time,unemployed
2022-01-01,39.0
2022-01-02,43.0
2022-01-03,62.0
2022-01-04,69.0
2022-01-05,83.0
2022-01-06,59.0
2022-01-07,57.0
2022-01-08,52.0
2022-01-09,46.0
2022-01-10,75.0
2022-01-11,76.0
2022-01-12,62.0
2022-01-13,72.0
2022-01-14,59.0
2022-01-15,54.0
2022-01-16,37.0
2022-01-17,52.0
2022-01-18,57.0
2022-01-19,70.0
2022-01-20,71.0
2022-01-21,66.0
2022-01-22,48.0
2022-01-23,61.0
2022-01-24,67.0
2022-01-25,75.0
2022-01-26,69.0
2022-01-27,71.0
2022-01-28,71.0
2022-01-29,48.0
2022-01-30,58.0
2022-01-31,79.0
2022-02-01,71.0
2022-02-02,85.0
2022-02-03,71.0
2022-02-04,74.0
2022-02-05,46.0
2022-02-06,46.0
2022-02-07,79.0
2022-02-08,81.0
2022-02-09,73.0
2022-02-10,54.0
2022-02-11,64.0
2022-02-12,52.0
2022-02-13,47.0
2022-02-14,69.0
2022-02-15,84.0
2022-02-16,76.0
2022-02-17,85.0
2022-02-18,76.0
2022-02-19,58.0
2022-02-20,58.0
2022-02-21,66.0
2022-02-22,83.0
2022-02-23,81.0
2022-02-24,83.0
2022-02-25,71.0
2022-02-26,58.0
2022-02-27,63.0
2022-02-28,94.0
2022-03-01,73.0
2022-03-02,73.0
2022-03-03,78.0
2022-03-04,85.0
2022-03-05,62.0
2022-03-06,63.0
2022-03-07,87.0
2022-03-08,77.0
2022-03-09,90.0
2022-03-10,78.0
2022-03-11,74.0
2022-03-12,59.0
2022-03-13,52.0
2022-03-14,74.0
2022-03-15,85.0
2022-03-16,88.0
2022-03-17,72.0
2022-03-18,61.0
2022-03-19,58.0
2022-03-20,47.0
2022-03-21,72.0
2022-03-22,86.0
2022-03-23,75.0
2022-03-24,79.0
2022-03-25,89.0
2022-03-26,55.0
2022-03-27,60.0
2022-03-28,89.0
2022-03-29,91.0
2022-03-30,86.0
2022-03-31,95.0
2022-04-01,82.0
2022-04-02,58.0
2022-04-03,58.0
2022-04-04,95.0
2022-04-05,91.0
2022-04-06,87.0
2022-04-07,82.0
2022-04-08,74.0
2022-04-09,59.0
2022-04-10,69.0
2022-04-11,89.0
2022-04-12,90.0
2022-04-13,81.0
2022-04-14,89.0
2022-04-15,76.0
2022-04-16,58.0
2022-04-17,54.0
2022-04-18,100.0
2022-04-19,87.0
2022-04-20,80.0
2022-04-21,74.0
2022-04-22,77.0
2022-04-23,50.0
2022-04-24,58.0
2022-04-25,93.0
2022-04-26,85.0
2022-04-27,83.0
2022-04-28,74.0
2022-04-29,55.0
2022-04-30,54.0
2022-05-01,54.0
2022-05-02,76.0
2022-05-03,80.0
2022-05-04,85.0
2022-05-05,77.0
2022-05-06,68.0
2022-05-07,51.0
2022-05-08,30.0
2022-05-09,77.0
2022-05-10,77.0
2022-05-11,70.0
2022-05-12,70.0
2022-05-13,62.0
2022-05-14,38.0
2022-05-15,42.0
2022-05-16,63.0
2022-05-17,63.0
2022-05-18,63.0
2022-05-19,67.0
2022-05-20,59.0
2022-05-21,35.0
2022-05-22,42.0
2022-05-23,56.0
2022-05-24,52.0
2022-05-25,59.0
2022-05-26,56.0
2022-05-27,51.0
2022-05-28,37.0
2022-05-29,32.0
2022-05-30,44.0
2022-05-31,54.0
2022-06-01,58.0
2022-06-02,53.0
2022-06-03,58.0
2022-06-04,37.0
2022-06-05,44.0
2022-06-06,58.0
2022-06-07,53.0
2022-06-08,60.0
2022-06-09,53.0
2022-06-10,52.0
2022-06-11,33.0
2022-06-12,37.0
2022-06-13,50.0
2022-06-14,46.0
2022-06-15,60.0
2022-06-16,54.0
2022-06-17,54.0
2022-06-18,40.0
2022-06-19,40.0
2022-06-20,59.0
2022-06-21,62.0
2022-06-22,54.0
2022-06-23,55.0
2022-06-24,55.0
2022-06-25,41.0
2022-06-26,38.0
2022-06-27,58.0
2022-06-28,48.0
2022-06-29,49.0
2022-06-30,47.0
2022-07-01,52.0
2022-07-02,41.0
2022-07-03,40.0
2022-07-04,38.0
2022-07-05,58.0
2022-07-06,54.0
2022-07-07,56.0
2022-07-08,54.0
2022-07-09,41.0
2022-07-10,47.0
2022-07-11,55.0
2022-07-12,49.0
2022-07-13,48.0
2022-07-14,53.0
2022-07-15,49.0
2022-07-16,37.0
2022-07-17,41.0
2022-07-18,57.0
2022-07-19,54.0
2022-07-20,61.0
2022-07-21,52.0
2022-07-22,39.0
2022-07-23,44.0
2022-07-24,36.0
2022-07-25,60.0
2022-07-26,50.0
2022-07-27,47.0
2022-07-28,47.0
2022-07-29,48.0
2022-07-30,31.0
2022-07-31,39.0
2022-08-01,47.0
2022-08-02,57.0
2022-08-03,54.0
2022-08-04,50.0
2022-08-05,44.0
2022-08-06,43.0
2022-08-07,38.0
2022-08-08,50.0
2022-08-09,47.0
2022-08-10,55.0
2022-08-11,50.0
2022-08-12,40.0
2022-08-13,41.0
2022-08-14,26.0
2022-08-15,50.0
2022-08-16,48.0
2022-08-17,53.0
2022-08-18,47.0
2022-08-19,54.0
2022-08-20,39.0
2022-08-21,37.0
2022-08-22,46.0
2022-08-23,58.0
2022-08-24,68.0
2022-08-25,51.0
2022-08-26,48.0
2022-08-27,37.0
2022-08-28,40.0
2022-08-29,61.0
2022-08-30,66.0
2022-08-31,51.0
2022-09-01,46.5
2022-09-02,52.0
2022-09-03,45.0
2022-09-04,46.5
2022-09-05,43.5
2022-09-06,54.0
2022-09-07,68.0
2022-09-08,59.0
2022-09-09,60.0
2022-09-10,46.0
2022-09-11,46.5
2022-09-12,57.0
2022-09-13,62.0
2022-09-14,54.5
2022-09-15,63.5
2022-09-16,58.0
2022-09-17,39.5
2022-09-18,41.0
2022-09-19,70.0
2022-09-20,60.0
2022-09-21,75.0
2022-09-22,65.0
2022-09-23,68.0
2022-09-24,35.0
2022-09-25,55.5
2022-09-26,66.0
2022-09-27,63.0
2022-09-28,61.0
2022-09-29,67.0
2022-09-30,69.0
2022-10-01,41.0
2022-10-02,49.0
2022-10-03,81.0
2022-10-04,80.0
2022-10-05,71.0
2022-10-06,78.0
2022-10-07,69.0
2022-10-08,43.0
2022-10-09,56.0
2022-10-10,73.0
2022-10-11,64.0
2022-10-12,71.0
2022-10-13,61.0
2022-10-14,61.0
2022-10-15,42.0
2022-10-16,52.0
2022-10-17,72.0
2022-10-18,69.0
2022-10-19,76.0
2022-10-20,78.0
2022-10-21,60.0
2022-10-22,40.0
2022-10-23,55.0
2022-10-24,67.0
2022-10-25,78.0
2022-10-26,76.0
2022-10-27,78.0
2022-10-28,79.0
2022-10-29,59.0
2022-10-30,55.0
2022-10-31,72.0
2022-11-01,86.0
2022-11-02,76.0
2022-11-03,72.0
2022-11-04,75.0
2022-11-05,51.0
2022-11-06,49.0
2022-11-07,81.0
2022-11-08,67.0
2022-11-09,66.0
2022-11-10,73.0
2022-11-11,59.0
2022-11-12,48.0
2022-11-13,40.0
2022-11-14,80.0
2022-11-15,85.0
2022-11-16,74.0
2022-11-17,77.0
2022-11-18,73.0
2022-11-19,40.0
2022-11-20,48.0
2022-11-21,59.0
2022-11-22,61.0
2022-11-23,47.0
2022-11-24,32.0
2022-11-25,38.0
2022-11-26,36.0
2022-11-27,38.0
2022-11-28,68.0
2022-11-29,68.0
2022-11-30,79.0
2022-12-01,79.0
2022-12-02,81.0
2022-12-03,39.0
2022-12-04,49.0
2022-12-05,79.0
2022-12-06,76.0
2022-12-07,93.0
2022-12-08,77.0
2022-12-09,87.0
2022-12-10,51.0
2022-12-11,48.0
2022-12-12,77.0
2022-12-13,80.0
2022-12-14,77.0
2022-12-15,73.0
2022-12-16,64.0
2022-12-17,40.0
2022-12-18,35.0
2022-12-19,52.0
2022-12-20,61.0
2022-12-21,53.0
2022-12-22,43.0
2022-12-23,39.0
2022-12-24,32.0
2022-12-25,29.0
2022-12-26,39.0
2022-12-27,54.0
2022-12-28,47.0
2022-12-29,47.0
2022-12-30,43.0
2022-12-31,39.0
2023-01-01,22.0
2023-01-02,50.0
2023-01-03,57.0
2023-01-04,68.0
2023-01-05,64.0
2023-01-06,73.0
2023-01-07,45.0
