Time,breaking news
2022-08-29,60
2022-08-30,63
2022-08-31,59
2022-09-01,60
2022-09-02,59
2022-09-03,58
2022-09-04,59
2022-09-05,63
2022-09-06,61
2022-09-07,56
2022-09-08,100
2022-09-09,63
2022-09-10,58
2022-09-11,57
2022-09-12,61
2022-09-13,59
2022-09-14,62
2022-09-15,58
2022-09-16,57
2022-09-17,54
2022-09-18,55
2022-09-19,58
2022-09-20,59
2022-09-21,61
2022-09-22,59
2022-09-23,58
2022-09-24,58
2022-09-25,66
2022-09-26,58
2022-09-27,63
2022-09-28,67
2022-09-29,63
2022-09-30,61
2022-10-01,51
2022-10-02,51
2022-10-03,51
2022-10-04,57
2022-10-05,54
2022-10-06,60
2022-10-07,64
2022-10-08,55
2022-10-09,57
2022-10-10,62
2022-10-11,56
2022-10-12,58
2022-10-13,59
2022-10-14,61
2022-10-15,52
2022-10-16,54
2022-10-17,57
2022-10-18,55
2022-10-19,56
2022-10-20,62
2022-10-21,56
2022-10-22,55
2022-10-23,52
2022-10-24,59
2022-10-25,62
2022-10-26,58
2022-10-27,56
2022-10-28,63
2022-10-29,55
2022-10-30,54
2022-10-31,58
2022-11-01,63
2022-11-02,60
2022-11-03,57
2022-11-04,57
2022-11-05,52
2022-11-06,51
2022-11-07,56
2022-11-08,62
2022-11-09,76
2022-11-10,63
2022-11-11,57
2022-11-12,58
2022-11-13,61
2022-11-14,59
2022-11-15,70
2022-11-16,63
2022-11-17,62
2022-11-18,58
2022-11-19,55
2022-11-20,55
2022-11-21,56
2022-11-22,63
2022-11-23,61
2022-11-24,50
2022-11-25,52
2022-11-26,50
2022-11-27,54
2022-11-28,51
2022-11-29,54
2022-11-30,59
2022-12-01,56
2022-12-02,57
2022-12-03,53
2022-12-04,50
2022-12-05,52
2022-12-06,60
2022-12-07,60
2022-12-08,60
2022-12-09,58
2022-12-10,52
2022-12-11,53
2022-12-12,55
2022-12-13,57
2022-12-14,53
2022-12-15,55
2022-12-16,55
2022-12-17,51
2022-12-18,49
2022-12-19,56
2022-12-20,58
2022-12-21,61
2022-12-22,57
2022-12-23,60
2022-12-24,54
2022-12-25,56
2022-12-26,59
2022-12-27,59
2022-12-28,57
2022-12-29,58
2022-12-30,62
2022-12-31,59
2023-01-01,67
2023-01-02,60
2023-01-03,81
2023-01-04,65
2023-01-05,74
2023-01-06,72
2023-01-07,61
2023-01-08,57
2023-01-09,56
2023-01-10,59
2023-01-11,63
2023-01-12,61
2023-01-13,61
2023-01-14,55
2023-01-15,52
2023-01-16,57
2023-01-17,60
2023-01-18,58
2023-01-19,58
2023-01-20,53
2023-01-21,51
2023-01-22,61
2023-01-23,59
2023-01-24,58
2023-01-25,71
2023-01-26,57
2023-01-27,62
2023-01-28,62
2023-01-29,61
2023-01-30,54
2023-01-31,60
2023-02-01,56
2023-02-02,56
2023-02-03,58
2023-02-04,65
2023-02-05,58
2023-02-06,61
2023-02-07,59
2023-02-08,58
2023-02-09,62
2023-02-10,61
2023-02-11,65
2023-02-12,70
2023-02-13,66
2023-02-14,69
2023-02-15,69
2023-02-16,69
2023-02-17,62
2023-02-18,57
2023-02-19,58
2023-02-20,63
2023-02-21,58
2023-02-22,60
2023-02-23,59
2023-02-24,57
2023-02-25,57
2023-02-26,54
2023-02-27,55
2023-02-28,57
2023-03-01,58
2023-03-02,58
2023-03-03,56
2023-03-04,54
2023-03-05,56
2023-03-06,55
2023-03-07,55
2023-03-08,56
2023-03-09,59
2023-03-10,59
2023-03-11,55
2023-03-12,54
2023-03-13,62
2023-03-14,59
2023-03-15,57
2023-03-16,61
2023-03-17,57
2023-03-18,57
2023-03-19,59
2023-03-20,58
2023-03-21,68
2023-03-22,68
2023-03-23,66
2023-03-24,63
2023-03-25,58
2023-03-26,59
2023-03-27,81
2023-03-28,65
2023-03-29,71
2023-03-30,71
2023-03-31,68
2023-04-01,64
2023-04-02,66
2023-04-03,64
2023-04-04,77
2023-04-05,64
2023-04-06,64
2023-04-07,66
2023-04-08,58
2023-04-09,58
2023-04-10,67
2023-04-11,66
2023-04-12,62
2023-04-13,64
2023-04-14,67
2023-04-15,57
2023-04-16,60
2023-04-17,57
2023-04-18,60
2023-04-19,60
2023-04-20,59
2023-04-21,61
2023-04-22,58
2023-04-23,63
2023-04-24,65
2023-04-25,55
2023-04-26,58
2023-04-27,64
2023-04-28,57
2023-04-29,55
2023-04-30,58
2023-05-01,60
2023-05-02,61
2023-05-03,62
2023-05-04,62
2023-05-05,57
2023-05-06,58
2023-05-07,65
2023-05-08,58
2023-05-09,70
2023-05-10,66
2023-05-11,62
2023-05-12,58
2023-05-13,59
2023-05-14,57
2023-05-15,68
2023-05-16,60
2023-05-17,63
2023-05-18,60
2023-05-19,59
2023-05-20,54
2023-05-21,57
2023-05-22,58
2023-05-23,59
2023-05-24,66
2023-05-25,60
