Time,breaking news
2023-12-22,37
2023-12-23,33
2023-12-24,33
2023-12-25,35
2023-12-26,38
2023-12-27,36
2023-12-28,34
2023-12-29,38
2023-12-30,33
2023-12-31,35
2024-01-01,40
2024-01-02,38
2024-01-03,36
2024-01-04,39
2024-01-05,37
2024-01-06,33
2024-01-07,33
2024-01-08,35
2024-01-09,39
2024-01-10,42
2024-01-11,49
2024-01-12,38
2024-01-13,34
2024-01-14,33
2024-01-15,36
2024-01-16,39
2024-01-17,36
2024-01-18,36
2024-01-19,34
2024-01-20,32
2024-01-21,34
2024-01-22,35
2024-01-23,39
2024-01-24,40
2024-01-25,36
2024-01-26,34
2024-01-27,29
2024-01-28,29
2024-01-29,31
2024-01-30,33
2024-01-31,33
2024-02-01,32
2024-02-02,31
2024-02-03,29
2024-02-04,27
2024-02-05,31
2024-02-06,34
2024-02-07,32
2024-02-08,33
2024-02-09,36
2024-02-10,30
2024-02-11,30
2024-02-12,31
2024-02-13,31
2024-02-14,42
2024-02-15,38
2024-02-16,37
2024-02-17,28
2024-02-18,32
2024-02-19,31
2024-02-20,31
2024-02-21,31
2024-02-22,35
2024-02-23,31
2024-02-24,30
2024-02-25,29
2024-02-26,32
2024-02-27,30
2024-02-28,31
2024-02-29,32
2024-03-01,30
2024-03-02,27
2024-03-03,27
2024-03-04,31
2024-03-05,34
2024-03-06,33
2024-03-07,30
2024-03-08,31
2024-03-09,25
2024-03-10,26
2024-03-11,33
2024-03-12,32
2024-03-13,32
2024-03-14,31
2024-03-15,33
2024-03-16,30
2024-03-17,28
2024-03-18,31
2024-03-19,32
2024-03-20,31
2024-03-21,31
2024-03-22,36
2024-03-23,30
2024-03-24,29
2024-03-25,35
2024-03-26,43
2024-03-27,34
2024-03-28,33
2024-03-29,31
2024-03-30,27
2024-03-31,29
2024-04-01,34
2024-04-02,32
2024-04-03,32
2024-04-04,31
2024-04-05,43
2024-04-06,30
2024-04-07,29
2024-04-08,35
2024-04-09,30
2024-04-10,33
2024-04-11,32
2024-04-12,31
2024-04-13,41
2024-04-14,50
2024-04-15,36
2024-04-16,33
2024-04-17,33
2024-04-18,35
2024-04-19,45
2024-04-20,31
2024-04-21,30
2024-04-22,33
2024-04-23,33
2024-04-24,35
2024-04-25,34
2024-04-26,31
2024-04-27,28
2024-04-28,28
2024-04-29,35
2024-04-30,35
2024-05-01,32
2024-05-02,32
2024-05-03,30
2024-05-04,25
2024-05-05,28
2024-05-06,32
2024-05-07,31
2024-05-08,30
2024-05-09,30
2024-05-10,29
2024-05-11,26
2024-05-12,26
2024-05-13,29
2024-05-14,29
2024-05-15,32
2024-05-16,30
2024-05-17,31
2024-05-18,27
2024-05-19,29
2024-05-20,35
2024-05-21,31
2024-05-22,30
2024-05-23,31
2024-05-24,29
2024-05-25,27
2024-05-26,30
2024-05-27,29
2024-05-28,31
2024-05-29,34
2024-05-30,50
2024-05-31,46
2024-06-01,28
2024-06-02,28
2024-06-03,30
2024-06-04,31
2024-06-05,30
2024-06-06,30
2024-06-07,29
2024-06-08,27
2024-06-09,29
2024-06-10,31
2024-06-11,33
2024-06-12,31
2024-06-13,31
2024-06-14,31
2024-06-15,28
2024-06-16,27
2024-06-17,30
2024-06-18,31
2024-06-19,32
2024-06-20,30
2024-06-21,31
2024-06-22,28
2024-06-23,29
2024-06-24,32
2024-06-25,31
2024-06-26,33
2024-06-27,32
2024-06-28,38
2024-06-29,27
2024-06-30,30
2024-07-01,36
2024-07-02,32
2024-07-03,32
2024-07-04,33
2024-07-05,33
2024-07-06,32
2024-07-07,31
2024-07-08,30
2024-07-09,33
2024-07-10,32
2024-07-11,34
2024-07-12,35
2024-07-13,100
2024-07-14,96
2024-07-15,45
2024-07-16,45
2024-07-17,38
2024-07-18,43
2024-07-19,51
2024-07-20,46
2024-07-21,67
2024-07-22,44
2024-07-23,46
2024-07-24,41
2024-07-25,39
2024-07-26,37
2024-07-27,34
2024-07-28,33
2024-07-29,36
2024-07-30,37
2024-07-31,37
2024-08-01,38
2024-08-02,35
2024-08-03,33
2024-08-04,37
2024-08-05,42
2024-08-06,46
2024-08-07,38
2024-08-08,38
2024-08-09,43
2024-08-10,45
2024-08-11,36
2024-08-12,38
2024-08-13,36
2024-08-14,38
2024-08-15,38
2024-08-16,34
2024-08-17,31
2024-08-18,34
2024-08-19,37
2024-08-20,38
2024-08-21,36
2024-08-22,35
2024-08-23,35
2024-08-24,30
2024-08-25,34
2024-08-26,34
2024-08-27,34
2024-08-28,34
2024-08-29,32
2024-08-30,33
2024-08-31,28
2024-09-01,32
2024-09-02,32
2024-09-03,33
2024-09-04,39
2024-09-05,35
2024-09-06,34
2024-09-07,30
2024-09-08,33
2024-09-09,31
2024-09-10,34
2024-09-11,39
2024-09-12,39
2024-09-13,34
2024-09-14,31
2024-09-15,45
2024-09-16,40
