Time,sentient
2023-04-26,32
2023-04-27,32
2023-04-28,32
2023-04-29,32
2023-04-30,61
2023-05-01,100
2023-05-02,68
2023-05-03,37
2023-05-04,36
2023-05-05,34
2023-05-06,34
2023-05-07,30
2023-05-08,30
2023-05-09,33
2023-05-10,31
2023-05-11,29
2023-05-12,32
2023-05-13,32
2023-05-14,36
2023-05-15,32
2023-05-16,31
2023-05-17,32
2023-05-18,34
2023-05-19,25
2023-05-20,30
2023-05-21,28
2023-05-22,26
2023-05-23,23
2023-05-24,29
2023-05-25,27
2023-05-26,28
2023-05-27,32
2023-05-28,29
2023-05-29,34
2023-05-30,31
2023-05-31,31
2023-06-01,30
2023-06-02,34
2023-06-03,34
2023-06-04,27
2023-06-05,29
2023-06-06,22
2023-06-07,28
2023-06-08,27
2023-06-09,27
2023-06-10,21
2023-06-11,33
2023-06-12,23
2023-06-13,24
2023-06-14,29
2023-06-15,24
2023-06-16,28
2023-06-17,27
2023-06-18,32
2023-06-19,26
2023-06-20,26
2023-06-21,24
2023-06-22,27
2023-06-23,33
2023-06-24,22
2023-06-25,28
2023-06-26,23
2023-06-27,27
2023-06-28,26
2023-06-29,21
2023-06-30,26
2023-07-01,23
2023-07-02,24
2023-07-03,26
2023-07-04,29
2023-07-05,22
2023-07-06,23
2023-07-07,21
2023-07-08,27
2023-07-09,36
2023-07-10,32
2023-07-11,23
2023-07-12,27
2023-07-13,23
2023-07-14,27
2023-07-15,25
2023-07-16,33
2023-07-17,29
2023-07-18,27
2023-07-19,28
2023-07-20,27
2023-07-21,25
2023-07-22,24
2023-07-23,24
2023-07-24,31
2023-07-25,30
2023-07-26,27
2023-07-27,25
2023-07-28,23
2023-07-29,20
2023-07-30,29
2023-07-31,25
2023-08-01,28
2023-08-02,25
2023-08-03,24
2023-08-04,24
2023-08-05,24
2023-08-06,32
2023-08-07,25
2023-08-08,27
2023-08-09,27
2023-08-10,31
2023-08-11,31
2023-08-12,33
2023-08-13,36
2023-08-14,25
2023-08-15,29
2023-08-16,38
2023-08-17,30
2023-08-18,28
2023-08-19,31
2023-08-20,36
2023-08-21,28
2023-08-22,29
2023-08-23,26
2023-08-24,32
2023-08-25,28
2023-08-26,28
2023-08-27,30
2023-08-28,29
2023-08-29,26
2023-08-30,27
2023-08-31,26
2023-09-01,33
2023-09-02,28
2023-09-03,37
2023-09-04,37
2023-09-05,31
2023-09-06,31
2023-09-07,32
2023-09-08,29
2023-09-09,32
2023-09-10,37
2023-09-11,33
2023-09-12,31
2023-09-13,35
2023-09-14,30
2023-09-15,28
2023-09-16,28
2023-09-17,33
2023-09-18,30
2023-09-19,27
2023-09-20,26
2023-09-21,31
2023-09-22,33
2023-09-23,29
2023-09-24,29
2023-09-25,32
2023-09-26,26
2023-09-27,29
2023-09-28,30
2023-09-29,30
2023-09-30,26
2023-10-01,32
2023-10-02,28
2023-10-03,29
2023-10-04,30
2023-10-05,25
2023-10-06,25
2023-10-07,25
2023-10-08,27
2023-10-09,32
2023-10-10,25
2023-10-11,24
2023-10-12,30
2023-10-13,25
2023-10-14,26
2023-10-15,30
2023-10-16,24
2023-10-17,26
2023-10-18,24
2023-10-19,25
2023-10-20,29
2023-10-21,21
2023-10-22,28
2023-10-23,31
2023-10-24,23
2023-10-25,21
2023-10-26,30
2023-10-27,25
2023-10-28,22
2023-10-29,29
2023-10-30,21
2023-10-31,23
2023-11-01,26
2023-11-02,26
2023-11-03,23
2023-11-04,27
2023-11-05,21
2023-11-06,20
2023-11-07,30
2023-11-08,27
2023-11-09,24
2023-11-10,27
2023-11-11,22
2023-11-12,29
2023-11-13,25
2023-11-14,22
2023-11-15,20
2023-11-16,26
2023-11-17,24
2023-11-18,24
2023-11-19,27
2023-11-20,29
2023-11-21,25
2023-11-22,26
2023-11-23,35
2023-11-24,24
2023-11-25,26
2023-11-26,31
2023-11-27,21
2023-11-28,24
2023-11-29,26
2023-11-30,26
2023-12-01,25
2023-12-02,24
2023-12-03,21
2023-12-04,24
2023-12-05,22
2023-12-06,28
2023-12-07,23
2023-12-08,28
2023-12-09,27
2023-12-10,21
2023-12-11,28
2023-12-12,24
2023-12-13,26
2023-12-14,25
2023-12-15,25
2023-12-16,29
2023-12-17,23
2023-12-18,26
2023-12-19,23
2023-12-20,21
2023-12-21,22
2023-12-22,26
2023-12-23,24
2023-12-24,23
2023-12-25,22
2023-12-26,28
2023-12-27,22
2023-12-28,24
2023-12-29,24
2023-12-30,31
2023-12-31,32
2024-01-01,32
2024-01-02,22
2024-01-03,25
2024-01-04,31
2024-01-05,26
2024-01-06,36
2024-01-07,30
2024-01-08,23
2024-01-09,29
2024-01-10,26
2024-01-11,28
2024-01-12,27
2024-01-13,28
2024-01-14,25
2024-01-15,29
2024-01-16,25
2024-01-17,31
2024-01-18,25
2024-01-19,26
2024-01-20,28
