Time,sentient
2023-12-22,43
2023-12-23,41
2023-12-24,38
2023-12-25,38
2023-12-26,47
2023-12-27,38
2023-12-28,40
2023-12-29,41
2023-12-30,52
2023-12-31,55
2024-01-01,55
2024-01-02,37
2024-01-03,42
2024-01-04,53
2024-01-05,43
2024-01-06,61
2024-01-07,50
2024-01-08,38
2024-01-09,48
2024-01-10,44
2024-01-11,48
2024-01-12,45
2024-01-13,48
2024-01-14,42
2024-01-15,48
2024-01-16,42
2024-01-17,53
2024-01-18,43
2024-01-19,45
2024-01-20,47
2024-01-21,41
2024-01-22,49
2024-01-23,49
2024-01-24,52
2024-01-25,39
2024-01-26,44
2024-01-27,47
2024-01-28,51
2024-01-29,49
2024-01-30,52
2024-01-31,46
2024-02-01,44
2024-02-02,44
2024-02-03,39
2024-02-04,58
2024-02-05,50
2024-02-06,47
2024-02-07,43
2024-02-08,47
2024-02-09,41
2024-02-10,43
2024-02-11,73
2024-02-12,36
2024-02-13,38
2024-02-14,42
2024-02-15,37
2024-02-16,42
2024-02-17,48
2024-02-18,54
2024-02-19,46
2024-02-20,44
2024-02-21,40
2024-02-22,46
2024-02-23,48
2024-02-24,40
2024-02-25,49
2024-02-26,47
2024-02-27,33
2024-02-28,46
2024-02-29,49
2024-03-01,41
2024-03-02,38
2024-03-03,56
2024-03-04,44
2024-03-05,49
2024-03-06,40
2024-03-07,51
2024-03-08,41
2024-03-09,49
2024-03-10,45
2024-03-11,42
2024-03-12,47
2024-03-13,50
2024-03-14,48
2024-03-15,37
2024-03-16,41
2024-03-17,51
2024-03-18,43
2024-03-19,44
2024-03-20,49
2024-03-21,42
2024-03-22,46
2024-03-23,42
2024-03-24,39
2024-03-25,46
2024-03-26,35
2024-03-27,55
2024-03-28,46
2024-03-29,49
2024-03-30,49
2024-03-31,63
2024-04-01,40
2024-04-02,43
2024-04-03,40
2024-04-04,35
2024-04-05,38
2024-04-06,38
2024-04-07,39
2024-04-08,46
2024-04-09,51
2024-04-10,39
2024-04-11,50
2024-04-12,45
2024-04-13,42
2024-04-14,41
2024-04-15,46
2024-04-16,51
2024-04-17,49
2024-04-18,44
2024-04-19,78
2024-04-20,100
2024-04-21,73
2024-04-22,49
2024-04-23,48
2024-04-24,44
2024-04-25,54
2024-04-26,53
2024-04-27,45
2024-04-28,40
2024-04-29,44
2024-04-30,42
2024-05-01,46
2024-05-02,49
2024-05-03,45
2024-05-04,38
2024-05-05,46
2024-05-06,52
2024-05-07,43
2024-05-08,49
2024-05-09,41
2024-05-10,34
2024-05-11,48
2024-05-12,50
2024-05-13,42
2024-05-14,43
2024-05-15,44
2024-05-16,41
2024-05-17,38
2024-05-18,49
2024-05-19,46
2024-05-20,45
2024-05-21,43
2024-05-22,44
2024-05-23,47
2024-05-24,51
2024-05-25,43
2024-05-26,48
2024-05-27,48
2024-05-28,43
2024-05-29,38
2024-05-30,44
2024-05-31,36
2024-06-01,42
2024-06-02,50
2024-06-03,38
2024-06-04,42
2024-06-05,40
2024-06-06,42
2024-06-07,40
2024-06-08,51
2024-06-09,34
2024-06-10,48
2024-06-11,51
2024-06-12,45
2024-06-13,45
2024-06-14,44
2024-06-15,48
2024-06-16,44
2024-06-17,41
2024-06-18,39
2024-06-19,36
2024-06-20,37
2024-06-21,45
2024-06-22,42
2024-06-23,37
2024-06-24,40
2024-06-25,38
2024-06-26,35
2024-06-27,41
2024-06-28,42
2024-06-29,44
2024-06-30,38
2024-07-01,39
2024-07-02,46
2024-07-03,52
2024-07-04,48
2024-07-05,49
2024-07-06,44
2024-07-07,38
2024-07-08,36
2024-07-09,33
2024-07-10,42
2024-07-11,32
2024-07-12,35
2024-07-13,51
2024-07-14,44
2024-07-15,41
2024-07-16,38
2024-07-17,41
2024-07-18,43
2024-07-19,47
2024-07-20,55
2024-07-21,63
2024-07-22,49
2024-07-23,38
2024-07-24,33
2024-07-25,37
2024-07-26,47
2024-07-27,52
2024-07-28,48
2024-07-29,35
2024-07-30,40
2024-07-31,47
2024-08-01,43
2024-08-02,30
2024-08-03,43
2024-08-04,43
2024-08-05,36
2024-08-06,35
2024-08-07,42
2024-08-08,47
2024-08-09,44
2024-08-10,45
2024-08-11,47
2024-08-12,39
2024-08-13,42
2024-08-14,44
2024-08-15,43
2024-08-16,37
2024-08-17,40
2024-08-18,45
2024-08-19,43
2024-08-20,37
2024-08-21,43
2024-08-22,35
2024-08-23,34
2024-08-24,55
2024-08-25,52
2024-08-26,35
2024-08-27,42
2024-08-28,44
2024-08-29,44
2024-08-30,46
2024-08-31,41
2024-09-01,45
2024-09-02,45
2024-09-03,32
2024-09-04,43
2024-09-05,42
2024-09-06,36
2024-09-07,46
2024-09-08,33
2024-09-09,44
2024-09-10,43
2024-09-11,37
2024-09-12,43
2024-09-13,34
2024-09-14,47
2024-09-15,41
2024-09-16,36
