Time,noaa
2023-04-26,11
2023-04-27,11
2023-04-28,11
2023-04-29,10
2023-04-30,10
2023-05-01,10
2023-05-02,10
2023-05-03,10
2023-05-04,11
2023-05-05,10
2023-05-06,10
2023-05-07,11
2023-05-08,12
2023-05-09,11
2023-05-10,12
2023-05-11,12
2023-05-12,13
2023-05-13,12
2023-05-14,10
2023-05-15,11
2023-05-16,11
2023-05-17,10
2023-05-18,11
2023-05-19,12
2023-05-20,10
2023-05-21,10
2023-05-22,10
2023-05-23,10
2023-05-24,11
2023-05-25,10
2023-05-26,10
2023-05-27,10
2023-05-28,10
2023-05-29,9
2023-05-30,10
2023-05-31,13
2023-06-01,16
2023-06-02,17
2023-06-03,14
2023-06-04,12
2023-06-05,11
2023-06-06,12
2023-06-07,14
2023-06-08,13
2023-06-09,12
2023-06-10,12
2023-06-11,12
2023-06-12,13
2023-06-13,12
2023-06-14,14
2023-06-15,14
2023-06-16,17
2023-06-17,15
2023-06-18,16
2023-06-19,24
2023-06-20,23
2023-06-21,19
2023-06-22,19
2023-06-23,19
2023-06-24,17
2023-06-25,18
2023-06-26,16
2023-06-27,15
2023-06-28,14
2023-06-29,15
2023-06-30,14
2023-07-01,15
2023-07-02,14
2023-07-03,13
2023-07-04,15
2023-07-05,14
2023-07-06,12
2023-07-07,13
2023-07-08,13
2023-07-09,13
2023-07-10,14
2023-07-11,13
2023-07-12,14
2023-07-13,17
2023-07-14,18
2023-07-15,16
2023-07-16,16
2023-07-17,15
2023-07-18,15
2023-07-19,15
2023-07-20,14
2023-07-21,13
2023-07-22,13
2023-07-23,13
2023-07-24,14
2023-07-25,15
2023-07-26,17
2023-07-27,16
2023-07-28,16
2023-07-29,17
2023-07-30,12
2023-07-31,12
2023-08-01,11
2023-08-02,12
2023-08-03,13
2023-08-04,13
2023-08-05,14
2023-08-06,15
2023-08-07,20
2023-08-08,15
2023-08-09,13
2023-08-10,15
2023-08-11,14
2023-08-12,15
2023-08-13,15
2023-08-14,17
2023-08-15,15
2023-08-16,16
2023-08-17,20
2023-08-18,26
2023-08-19,31
2023-08-20,40
2023-08-21,29
2023-08-22,22
2023-08-23,18
2023-08-24,19
2023-08-25,24
2023-08-26,28
2023-08-27,46
2023-08-28,88
2023-08-29,100
2023-08-30,72
2023-08-31,22
2023-09-01,17
2023-09-02,15
2023-09-03,17
2023-09-04,18
2023-09-05,22
2023-09-06,30
2023-09-07,35
2023-09-08,36
2023-09-09,27
2023-09-10,23
2023-09-11,23
2023-09-12,20
2023-09-13,20
2023-09-14,19
2023-09-15,19
2023-09-16,17
2023-09-17,13
2023-09-18,15
2023-09-19,15
2023-09-20,15
2023-09-21,18
2023-09-22,23
2023-09-23,22
2023-09-24,15
2023-09-25,15
2023-09-26,14
2023-09-27,15
2023-09-28,14
2023-09-29,14
2023-09-30,11
2023-10-01,10
2023-10-02,11
2023-10-03,12
2023-10-04,12
2023-10-05,11
2023-10-06,12
2023-10-07,10
2023-10-08,9
2023-10-09,11
2023-10-10,12
2023-10-11,13
2023-10-12,13
2023-10-13,12
2023-10-14,11
2023-10-15,8
2023-10-16,10
2023-10-17,10
2023-10-18,11
2023-10-19,12
2023-10-20,13
2023-10-21,11
2023-10-22,10
2023-10-23,13
2023-10-24,13
2023-10-25,15
2023-10-26,12
2023-10-27,12
2023-10-28,11
2023-10-29,10
2023-10-30,11
2023-10-31,10
2023-11-01,9
2023-11-02,9
2023-11-03,8
2023-11-04,8
2023-11-05,7
2023-11-06,9
2023-11-07,9
2023-11-08,9
2023-11-09,9
2023-11-10,8
2023-11-11,8
2023-11-12,8
2023-11-13,9
2023-11-14,9
2023-11-15,11
2023-11-16,12
2023-11-17,10
2023-11-18,10
2023-11-19,8
2023-11-20,11
2023-11-21,10
2023-11-22,9
2023-11-23,7
2023-11-24,8
2023-11-25,9
2023-11-26,9
2023-11-27,9
2023-11-28,9
2023-11-29,9
2023-11-30,11
2023-12-01,12
2023-12-02,9
2023-12-03,9
2023-12-04,9
2023-12-05,9
2023-12-06,9
2023-12-07,9
2023-12-08,9
2023-12-09,11
2023-12-10,13
2023-12-11,10
2023-12-12,7
2023-12-13,8
2023-12-14,9
2023-12-15,10
2023-12-16,9
2023-12-17,12
2023-12-18,14
2023-12-19,10
2023-12-20,9
2023-12-21,9
2023-12-22,9
2023-12-23,9
2023-12-24,9
2023-12-25,9
2023-12-26,10
2023-12-27,10
2023-12-28,9
2023-12-29,8
2023-12-30,8
2023-12-31,7
2024-01-01,8
2024-01-02,12
2024-01-03,16
2024-01-04,17
2024-01-05,20
2024-01-06,21
2024-01-07,20
2024-01-08,24
2024-01-09,28
2024-01-10,23
2024-01-11,26
2024-01-12,28
2024-01-13,23
2024-01-14,20
2024-01-15,22
2024-01-16,20
2024-01-17,20
2024-01-18,24
2024-01-19,18
2024-01-20,11
