Time,bank of america
2025-04-15,89
2025-04-16,78
2025-04-17,73
2025-04-18,78
2025-04-19,55
2025-04-20,38
2025-04-21,73
2025-04-22,72
2025-04-23,67
2025-04-24,67
2025-04-25,71
2025-04-26,53
2025-04-27,41
2025-04-28,73
2025-04-29,71
2025-04-30,74
2025-05-01,82
2025-05-02,90
2025-05-03,72
2025-05-04,46
2025-05-05,74
2025-05-06,72
2025-05-07,71
2025-05-08,66
2025-05-09,76
2025-05-10,61
2025-05-11,38
2025-05-12,75
2025-05-13,76
2025-05-14,71
2025-05-15,74
2025-05-16,75
2025-05-17,59
2025-05-18,42
2025-05-19,76
2025-05-20,78
2025-05-21,74
2025-05-22,70
2025-05-23,75
2025-05-24,60
2025-05-25,39
2025-05-26,43
2025-05-27,79
2025-05-28,81
2025-05-29,77
2025-05-30,88
2025-05-31,74
2025-06-01,52
2025-06-02,87
2025-06-03,86
2025-06-04,78
2025-06-05,75
2025-06-06,86
2025-06-07,66
2025-06-08,43
2025-06-09,78
2025-06-10,77
2025-06-11,74
2025-06-12,73
2025-06-13,77
2025-06-14,61
2025-06-15,42
2025-06-16,83
2025-06-17,72
2025-06-18,76
2025-06-19,67
2025-06-20,82
2025-06-21,56
2025-06-22,43
2025-06-23,77
2025-06-24,81
2025-06-25,73
2025-06-26,77
2025-06-27,83
2025-06-28,66
2025-06-29,45
2025-06-30,82
2025-07-01,93
2025-07-02,87
2025-07-03,88
2025-07-04,51
2025-07-05,57
2025-07-06,44
2025-07-07,89
2025-07-08,77
2025-07-09,77
2025-07-10,78
2025-07-11,84
2025-07-12,63
2025-07-13,41
2025-07-14,84
2025-07-15,88
2025-07-16,83
2025-07-17,81
2025-07-18,83
2025-07-19,68
2025-07-20,48
2025-07-21,85
2025-07-22,76
2025-07-23,78
2025-07-24,78
2025-07-25,82
2025-07-26,60
2025-07-27,41
2025-07-28,79
2025-07-29,78
2025-07-30,79
2025-07-31,84
2025-08-01,100
2025-08-02,73
2025-08-03,49
2025-08-04,85
2025-08-05,82
2025-08-06,78
2025-08-07,79
2025-08-08,85
2025-08-09,60
2025-08-10,46
2025-08-11,81
2025-08-12,75
2025-08-13,77
2025-08-14,78
2025-08-15,85
2025-08-16,60
2025-08-17,47
2025-08-18,84
2025-08-19,73
2025-08-20,76
2025-08-21,74
2025-08-22,81
2025-08-23,62
2025-08-24,40
2025-08-25,76
2025-08-26,71
2025-08-27,74
2025-08-28,71
2025-08-29,83
2025-08-30,65
2025-08-31,40
2025-09-01,57
2025-09-02,83
2025-09-03,82
2025-09-04,75
2025-09-05,81
2025-09-06,65
2025-09-07,42
2025-09-08,79
2025-09-09,76
2025-09-10,70
2025-09-11,65
2025-09-12,74
2025-09-13,62
2025-09-14,38
2025-09-15,77
2025-09-16,73
2025-09-17,71
2025-09-18,68
2025-09-19,76
2025-09-20,59
2025-09-21,39
2025-09-22,70
2025-09-23,72
2025-09-24,71
2025-09-25,68
2025-09-26,74
2025-09-27,64
2025-09-28,41
2025-09-29,75
2025-09-30,84
2025-10-01,88
2025-10-02,83
2025-10-03,82
2025-10-04,64
2025-10-05,45
2025-10-06,77
2025-10-07,75
2025-10-08,78
2025-10-09,75
2025-10-10,77
2025-10-11,59
2025-10-12,45
2025-10-13,73
2025-10-14,78
2025-10-15,80
2025-10-16,76
2025-10-17,79
2025-10-18,56
2025-10-19,38
2025-10-20,72
2025-10-21,74
2025-10-22,72
2025-10-23,69
2025-10-24,76
2025-10-25,66
2025-10-26,41
2025-10-27,67
2025-10-28,68
2025-10-29,68
2025-10-30,69
2025-10-31,83
2025-11-01,72
2025-11-02,47
2025-11-03,85
2025-11-04,84
2025-11-05,76
2025-11-06,75
2025-11-07,82
2025-11-08,88
2025-11-09,44
2025-11-10,73
2025-11-11,80
2025-11-12,74
2025-11-13,73
2025-11-14,81
2025-11-15,61
2025-11-16,42
2025-11-17,74
2025-11-18,70
2025-11-19,74
2025-11-20,68
2025-11-21,73
2025-11-22,52
2025-11-23,37
2025-11-24,69
2025-11-25,69
2025-11-26,72
2025-11-27,40
2025-11-28,65
2025-11-29,56
2025-11-30,43
2025-12-01,81
2025-12-02,82
2025-12-03,76
2025-12-04,75
2025-12-05,78
2025-12-06,69
2025-12-07,41
2025-12-08,71
2025-12-09,75
2025-12-10,72
2025-12-11,75
2025-12-12,78
2025-12-13,65
2025-12-14,39
2025-12-15,73
2025-12-16,74
2025-12-17,73
2025-12-18,72
2025-12-19,80
2025-12-20,61
2025-12-21,45
2025-12-22,78
2025-12-23,74
2025-12-24,78
2025-12-25,33
2025-12-26,70
2025-12-27,58
2025-12-28,42
2025-12-29,78
2025-12-30,82
2025-12-31,83
2026-01-01,51
2026-01-02,85
2026-01-03,75
2026-01-04,44
2026-01-05,79
2026-01-06,77
2026-01-07,74
2026-01-08,70
2026-01-09,75
