Time,bank of america
2023-04-26,73
2023-04-27,68
2023-04-28,80
2023-04-29,69
2023-04-30,49
2023-05-01,92
2023-05-02,89
2023-05-03,83
2023-05-04,78
2023-05-05,78
2023-05-06,65
2023-05-07,45
2023-05-08,77
2023-05-09,76
2023-05-10,71
2023-05-11,75
2023-05-12,80
2023-05-13,65
2023-05-14,39
2023-05-15,80
2023-05-16,80
2023-05-17,76
2023-05-18,73
2023-05-19,83
2023-05-20,69
2023-05-21,43
2023-05-22,77
2023-05-23,75
2023-05-24,73
2023-05-25,74
2023-05-26,82
2023-05-27,64
2023-05-28,38
2023-05-29,48
2023-05-30,80
2023-05-31,84
2023-06-01,91
2023-06-02,95
2023-06-03,73
2023-06-04,56
2023-06-05,84
2023-06-06,81
2023-06-07,78
2023-06-08,75
2023-06-09,86
2023-06-10,66
2023-06-11,44
2023-06-12,82
2023-06-13,74
2023-06-14,78
2023-06-15,78
2023-06-16,83
2023-06-17,66
2023-06-18,43
2023-06-19,74
2023-06-20,85
2023-06-21,82
2023-06-22,73
2023-06-23,82
2023-06-24,66
2023-06-25,46
2023-06-26,77
2023-06-27,79
2023-06-28,76
2023-06-29,81
2023-06-30,95
2023-07-01,83
2023-07-02,60
2023-07-03,100
2023-07-04,53
2023-07-05,86
2023-07-06,84
2023-07-07,89
2023-07-08,71
2023-07-09,43
2023-07-10,83
2023-07-11,99
2023-07-12,91
2023-07-13,85
2023-07-14,93
2023-07-15,75
2023-07-16,48
2023-07-17,87
2023-07-18,78
2023-07-19,77
2023-07-20,72
2023-07-21,79
2023-07-22,63
2023-07-23,43
2023-07-24,79
2023-07-25,75
2023-07-26,70
2023-07-27,70
2023-07-28,80
2023-07-29,68
2023-07-30,43
2023-07-31,85
2023-08-01,91
2023-08-02,74
2023-08-03,84
2023-08-04,83
2023-08-05,67
2023-08-06,47
2023-08-07,78
2023-08-08,78
2023-08-09,76
2023-08-10,75
2023-08-11,81
2023-08-12,61
2023-08-13,42
2023-08-14,76
2023-08-15,78
2023-08-16,76
2023-08-17,73
2023-08-18,84
2023-08-19,66
2023-08-20,42
2023-08-21,75
2023-08-22,75
2023-08-23,73
2023-08-24,68
2023-08-25,73
2023-08-26,59
2023-08-27,41
2023-08-28,72
2023-08-29,70
2023-08-30,72
2023-08-31,74
2023-09-01,90
2023-09-02,70
2023-09-03,45
2023-09-04,51
2023-09-05,82
2023-09-06,72
2023-09-07,71
2023-09-08,75
2023-09-09,61
2023-09-10,39
2023-09-11,71
2023-09-12,69
2023-09-13,68
2023-09-14,69
2023-09-15,76
2023-09-16,63
2023-09-17,38
2023-09-18,69
2023-09-19,69
2023-09-20,69
2023-09-21,67
2023-09-22,73
2023-09-23,57
2023-09-24,40
2023-09-25,69
2023-09-26,65
2023-09-27,69
2023-09-28,65
2023-09-29,79
2023-09-30,66
2023-10-01,50
2023-10-02,77
2023-10-03,77
2023-10-04,74
2023-10-05,72
2023-10-06,79
2023-10-07,63
2023-10-08,43
2023-10-09,71
2023-10-10,69
2023-10-11,71
2023-10-12,72
2023-10-13,77
2023-10-14,64
2023-10-15,50
2023-10-16,72
2023-10-17,73
2023-10-18,69
2023-10-19,68
2023-10-20,71
2023-10-21,56
2023-10-22,37
2023-10-23,67
2023-10-24,63
2023-10-25,60
2023-10-26,63
2023-10-27,68
2023-10-28,55
2023-10-29,35
2023-10-30,65
2023-10-31,68
2023-11-01,75
2023-11-02,72
2023-11-03,78
2023-11-04,66
2023-11-05,43
2023-11-06,72
2023-11-07,72
2023-11-08,69
2023-11-09,68
2023-11-10,81
2023-11-11,60
2023-11-12,34
2023-11-13,67
2023-11-14,66
2023-11-15,67
2023-11-16,65
2023-11-17,68
2023-11-18,59
2023-11-19,38
2023-11-20,66
2023-11-21,67
2023-11-22,66
2023-11-23,35
2023-11-24,67
2023-11-25,53
2023-11-26,37
2023-11-27,66
2023-11-28,68
2023-11-29,64
2023-11-30,66
2023-12-01,83
2023-12-02,69
2023-12-03,46
2023-12-04,72
2023-12-05,68
2023-12-06,67
2023-12-07,66
2023-12-08,74
2023-12-09,60
2023-12-10,42
2023-12-11,69
2023-12-12,69
2023-12-13,68
2023-12-14,64
2023-12-15,78
2023-12-16,60
2023-12-17,40
2023-12-18,68
2023-12-19,67
2023-12-20,71
2023-12-21,73
2023-12-22,75
2023-12-23,64
2023-12-24,34
2023-12-25,29
2023-12-26,71
2023-12-27,75
2023-12-28,72
2023-12-29,84
2023-12-30,64
2023-12-31,37
2024-01-01,45
2024-01-02,80
2024-01-03,83
2024-01-04,76
2024-01-05,78
2024-01-06,64
2024-01-07,42
2024-01-08,65
2024-01-09,66
2024-01-10,67
2024-01-11,66
2024-01-12,74
2024-01-13,59
2024-01-14,39
2024-01-15,54
2024-01-16,64
2024-01-17,71
2024-01-18,68
2024-01-19,70
2024-01-20,60
