Time,bank of america
2022-08-29,62
2022-08-30,63
2022-08-31,68
2022-09-01,98
2022-09-02,91
2022-09-03,68
2022-09-04,42
2022-09-05,48
2022-09-06,74
2022-09-07,70
2022-09-08,62
2022-09-09,67
2022-09-10,56
2022-09-11,37
2022-09-12,62
2022-09-13,63
2022-09-14,67
2022-09-15,62
2022-09-16,68
2022-09-17,53
2022-09-18,39
2022-09-19,63
2022-09-20,62
2022-09-21,62
2022-09-22,56
2022-09-23,66
2022-09-24,52
2022-09-25,35
2022-09-26,58
2022-09-27,60
2022-09-28,57
2022-09-29,55
2022-09-30,71
2022-10-01,64
2022-10-02,39
2022-10-03,68
2022-10-04,66
2022-10-05,59
2022-10-06,59
2022-10-07,70
2022-10-08,55
2022-10-09,40
2022-10-10,60
2022-10-11,65
2022-10-12,61
2022-10-13,58
2022-10-14,67
2022-10-15,53
2022-10-16,34
2022-10-17,63
2022-10-18,63
2022-10-19,58
2022-10-20,59
2022-10-21,63
2022-10-22,50
2022-10-23,35
2022-10-24,60
2022-10-25,57
2022-10-26,55
2022-10-27,57
2022-10-28,63
2022-10-29,53
2022-10-30,33
2022-10-31,62
2022-11-01,65
2022-11-02,62
2022-11-03,61
2022-11-04,65
2022-11-05,54
2022-11-06,34
2022-11-07,56
2022-11-08,60
2022-11-09,52
2022-11-10,61
2022-11-11,61
2022-11-12,52
2022-11-13,33
2022-11-14,61
2022-11-15,59
2022-11-16,60
2022-11-17,55
2022-11-18,66
2022-11-19,49
2022-11-20,33
2022-11-21,55
2022-11-22,57
2022-11-23,61
2022-11-24,29
2022-11-25,53
2022-11-26,43
2022-11-27,35
2022-11-28,57
2022-11-29,55
2022-11-30,55
2022-12-01,64
2022-12-02,68
2022-12-03,55
2022-12-04,36
2022-12-05,60
2022-12-06,56
2022-12-07,56
2022-12-08,55
2022-12-09,58
2022-12-10,50
2022-12-11,34
2022-12-12,58
2022-12-13,54
2022-12-14,57
2022-12-15,55
2022-12-16,64
2022-12-17,52
2022-12-18,32
2022-12-19,59
2022-12-20,61
2022-12-21,61
2022-12-22,57
2022-12-23,62
2022-12-24,46
2022-12-25,23
2022-12-26,53
2022-12-27,64
2022-12-28,65
2022-12-29,64
2022-12-30,74
2022-12-31,55
2023-01-01,33
2023-01-02,62
2023-01-03,66
2023-01-04,64
2023-01-05,64
2023-01-06,66
2023-01-07,54
2023-01-08,36
2023-01-09,58
2023-01-10,59
2023-01-11,58
2023-01-12,56
2023-01-13,66
2023-01-14,55
2023-01-15,35
2023-01-16,51
2023-01-17,59
2023-01-18,100
2023-01-19,91
2023-01-20,71
2023-01-21,56
2023-01-22,37
2023-01-23,60
2023-01-24,58
2023-01-25,60
2023-01-26,57
2023-01-27,59
2023-01-28,54
2023-01-29,36
2023-01-30,57
2023-01-31,63
2023-02-01,64
2023-02-02,64
2023-02-03,70
2023-02-04,58
2023-02-05,39
2023-02-06,62
2023-02-07,60
2023-02-08,56
2023-02-09,56
2023-02-10,64
2023-02-11,54
2023-02-12,35
2023-02-13,54
2023-02-14,58
2023-02-15,59
2023-02-16,62
2023-02-17,65
2023-02-18,55
2023-02-19,34
2023-02-20,52
2023-02-21,61
2023-02-22,59
2023-02-23,57
2023-02-24,61
2023-02-25,55
2023-02-26,40
2023-02-27,60
2023-02-28,63
2023-03-01,68
2023-03-02,65
2023-03-03,66
2023-03-04,57
2023-03-05,39
2023-03-06,63
2023-03-07,59
2023-03-08,58
2023-03-09,58
2023-03-10,68
2023-03-11,60
2023-03-12,43
2023-03-13,73
2023-03-14,69
2023-03-15,69
2023-03-16,64
2023-03-17,67
2023-03-18,53
2023-03-19,38
2023-03-20,62
2023-03-21,61
2023-03-22,59
2023-03-23,57
2023-03-24,64
2023-03-25,52
2023-03-26,36
2023-03-27,59
2023-03-28,60
2023-03-29,56
2023-03-30,57
2023-03-31,67
2023-04-01,61
2023-04-02,39
2023-04-03,66
2023-04-04,63
2023-04-05,57
2023-04-06,60
2023-04-07,67
2023-04-08,51
2023-04-09,31
2023-04-10,65
2023-04-11,61
2023-04-12,60
2023-04-13,59
2023-04-14,66
2023-04-15,57
2023-04-16,42
2023-04-17,67
2023-04-18,66
2023-04-19,60
2023-04-20,56
2023-04-21,71
2023-04-22,48
2023-04-23,33
2023-04-24,56
2023-04-25,55
2023-04-26,56
2023-04-27,52
2023-04-28,62
2023-04-29,54
2023-04-30,38
2023-05-01,71
2023-05-02,69
2023-05-03,64
2023-05-04,61
2023-05-05,61
2023-05-06,50
2023-05-07,35
2023-05-08,59
2023-05-09,59
2023-05-10,55
2023-05-11,58
2023-05-12,62
2023-05-13,50
2023-05-14,30
2023-05-15,62
2023-05-16,62
2023-05-17,59
2023-05-18,56
2023-05-19,64
2023-05-20,54
2023-05-21,34
2023-05-22,59
2023-05-23,58
2023-05-24,57
2023-05-25,57
