Time,american airlines
2023-12-22,45
2023-12-23,40
2023-12-24,32
2023-12-25,31
2023-12-26,50
2023-12-27,52
2023-12-28,53
2023-12-29,51
2023-12-30,43
2023-12-31,36
2024-01-01,41
2024-01-02,55
2024-01-03,58
2024-01-04,53
2024-01-05,51
2024-01-06,53
2024-01-07,58
2024-01-08,57
2024-01-09,61
2024-01-10,60
2024-01-11,55
2024-01-12,60
2024-01-13,51
2024-01-14,50
2024-01-15,61
2024-01-16,61
2024-01-17,58
2024-01-18,53
2024-01-19,53
2024-01-20,47
2024-01-21,48
2024-01-22,50
2024-01-23,51
2024-01-24,53
2024-01-25,52
2024-01-26,49
2024-01-27,44
2024-01-28,46
2024-01-29,56
2024-01-30,52
2024-01-31,52
2024-02-01,52
2024-02-02,51
2024-02-03,43
2024-02-04,50
2024-02-05,51
2024-02-06,50
2024-02-07,50
2024-02-08,51
2024-02-09,51
2024-02-10,42
2024-02-11,42
2024-02-12,44
2024-02-13,52
2024-02-14,51
2024-02-15,49
2024-02-16,50
2024-02-17,45
2024-02-18,50
2024-02-19,56
2024-02-20,56
2024-02-21,58
2024-02-22,54
2024-02-23,56
2024-02-24,45
2024-02-25,50
2024-02-26,54
2024-02-27,53
2024-02-28,56
2024-02-29,50
2024-03-01,50
2024-03-02,51
2024-03-03,51
2024-03-04,57
2024-03-05,55
2024-03-06,55
2024-03-07,57
2024-03-08,58
2024-03-09,55
2024-03-10,56
2024-03-11,54
2024-03-12,57
2024-03-13,55
2024-03-14,56
2024-03-15,53
2024-03-16,52
2024-03-17,54
2024-03-18,53
2024-03-19,55
2024-03-20,54
2024-03-21,50
2024-03-22,50
2024-03-23,56
2024-03-24,56
2024-03-25,54
2024-03-26,45
2024-03-27,52
2024-03-28,50
2024-03-29,47
2024-03-30,44
2024-03-31,51
2024-04-01,61
2024-04-02,60
2024-04-03,57
2024-04-04,53
2024-04-05,47
2024-04-06,42
2024-04-07,45
2024-04-08,45
2024-04-09,51
2024-04-10,50
2024-04-11,53
2024-04-12,51
2024-04-13,42
2024-04-14,43
2024-04-15,55
2024-04-16,66
2024-04-17,70
2024-04-18,54
2024-04-19,47
2024-04-20,50
2024-04-21,57
2024-04-22,52
2024-04-23,52
2024-04-24,52
2024-04-25,54
2024-04-26,51
2024-04-27,45
2024-04-28,47
2024-04-29,51
2024-04-30,53
2024-05-01,50
2024-05-02,52
2024-05-03,50
2024-05-04,43
2024-05-05,49
2024-05-06,52
2024-05-07,54
2024-05-08,54
2024-05-09,56
2024-05-10,53
2024-05-11,47
2024-05-12,47
2024-05-13,55
2024-05-14,57
2024-05-15,57
2024-05-16,59
2024-05-17,53
2024-05-18,49
2024-05-19,52
2024-05-20,52
2024-05-21,55
2024-05-22,57
2024-05-23,61
2024-05-24,58
2024-05-25,51
2024-05-26,55
2024-05-27,61
2024-05-28,68
2024-05-29,78
2024-05-30,74
2024-05-31,76
2024-06-01,58
2024-06-02,60
2024-06-03,63
2024-06-04,59
2024-06-05,60
2024-06-06,59
2024-06-07,52
2024-06-08,45
2024-06-09,53
2024-06-10,59
2024-06-11,61
2024-06-12,63
2024-06-13,62
2024-06-14,63
2024-06-15,65
2024-06-16,61
2024-06-17,63
2024-06-18,58
2024-06-19,56
2024-06-20,53
2024-06-21,56
2024-06-22,57
2024-06-23,60
2024-06-24,61
2024-06-25,63
2024-06-26,57
2024-06-27,55
2024-06-28,50
2024-06-29,49
2024-06-30,55
2024-07-01,62
2024-07-02,59
2024-07-03,53
2024-07-04,44
2024-07-05,47
2024-07-06,46
2024-07-07,54
2024-07-08,62
2024-07-09,59
2024-07-10,57
2024-07-11,58
2024-07-12,56
2024-07-13,45
2024-07-14,51
2024-07-15,51
2024-07-16,58
2024-07-17,61
2024-07-18,58
2024-07-19,100
2024-07-20,67
2024-07-21,64
2024-07-22,69
2024-07-23,69
2024-07-24,63
2024-07-25,59
2024-07-26,52
2024-07-27,46
2024-07-28,46
2024-07-29,55
2024-07-30,52
2024-07-31,55
2024-08-01,55
2024-08-02,53
2024-08-03,56
2024-08-04,70
2024-08-05,66
2024-08-06,63
2024-08-07,63
2024-08-08,57
2024-08-09,56
2024-08-10,51
2024-08-11,49
2024-08-12,55
2024-08-13,52
2024-08-14,55
2024-08-15,54
2024-08-16,51
2024-08-17,44
2024-08-18,48
2024-08-19,58
2024-08-20,57
2024-08-21,50
2024-08-22,51
2024-08-23,51
2024-08-24,42
2024-08-25,47
2024-08-26,53
2024-08-27,49
2024-08-28,51
2024-08-29,49
2024-08-30,51
2024-08-31,43
2024-09-01,38
2024-09-02,51
2024-09-03,49
2024-09-04,50
2024-09-05,48
2024-09-06,47
2024-09-07,39
2024-09-08,40
2024-09-09,49
2024-09-10,47
2024-09-11,46
2024-09-12,50
2024-09-13,47
2024-09-14,37
2024-09-15,38
2024-09-16,47
