Time,microsoft
2023-12-22,12
2023-12-23,8
2023-12-24,7
2023-12-25,11
2023-12-26,13
2023-12-27,13
2023-12-28,13
2023-12-29,12
2023-12-30,9
2023-12-31,8
2024-01-01,8
2024-01-02,15
2024-01-03,16
2024-01-04,16
2024-01-05,14
2024-01-06,10
2024-01-07,9
2024-01-08,16
2024-01-09,16
2024-01-10,18
2024-01-11,17
2024-01-12,16
2024-01-13,10
2024-01-14,9
2024-01-15,12
2024-01-16,17
2024-01-17,18
2024-01-18,17
2024-01-19,16
2024-01-20,11
2024-01-21,9
2024-01-22,16
2024-01-23,18
2024-01-24,18
2024-01-25,19
2024-01-26,22
2024-01-27,12
2024-01-28,10
2024-01-29,18
2024-01-30,20
2024-01-31,20
2024-02-01,18
2024-02-02,16
2024-02-03,11
2024-02-04,10
2024-02-05,17
2024-02-06,17
2024-02-07,18
2024-02-08,17
2024-02-09,17
2024-02-10,11
2024-02-11,10
2024-02-12,17
2024-02-13,19
2024-02-14,18
2024-02-15,18
2024-02-16,17
2024-02-17,11
2024-02-18,10
2024-02-19,14
2024-02-20,17
2024-02-21,17
2024-02-22,17
2024-02-23,16
2024-02-24,11
2024-02-25,11
2024-02-26,18
2024-02-27,17
2024-02-28,16
2024-02-29,17
2024-03-01,16
2024-03-02,11
2024-03-03,10
2024-03-04,17
2024-03-05,17
2024-03-06,17
2024-03-07,16
2024-03-08,15
2024-03-09,10
2024-03-10,9
2024-03-11,16
2024-03-12,17
2024-03-13,16
2024-03-14,17
2024-03-15,14
2024-03-16,9
2024-03-17,9
2024-03-18,17
2024-03-19,17
2024-03-20,17
2024-03-21,16
2024-03-22,14
2024-03-23,10
2024-03-24,10
2024-03-25,15
2024-03-26,16
2024-03-27,16
2024-03-28,17
2024-03-29,13
2024-03-30,9
2024-03-31,8
2024-04-01,17
2024-04-02,17
2024-04-03,17
2024-04-04,15
2024-04-05,14
2024-04-06,9
2024-04-07,8
2024-04-08,14
2024-04-09,16
2024-04-10,17
2024-04-11,15
2024-04-12,15
2024-04-13,9
2024-04-14,9
2024-04-15,16
2024-04-16,16
2024-04-17,16
2024-04-18,15
2024-04-19,14
2024-04-20,9
2024-04-21,9
2024-04-22,16
2024-04-23,16
2024-04-24,16
2024-04-25,17
2024-04-26,15
2024-04-27,10
2024-04-28,9
2024-04-29,15
2024-04-30,15
2024-05-01,15
2024-05-02,16
2024-05-03,15
2024-05-04,9
2024-05-05,9
2024-05-06,15
2024-05-07,17
2024-05-08,16
2024-05-09,15
2024-05-10,14
2024-05-11,9
2024-05-12,7
2024-05-13,15
2024-05-14,16
2024-05-15,16
2024-05-16,15
2024-05-17,14
2024-05-18,9
2024-05-19,8
2024-05-20,17
2024-05-21,18
2024-05-22,17
2024-05-23,17
2024-05-24,14
2024-05-25,10
2024-05-26,7
2024-05-27,10
2024-05-28,15
2024-05-29,16
2024-05-30,16
2024-05-31,14
2024-06-01,10
2024-06-02,8
2024-06-03,16
2024-06-04,17
2024-06-05,18
2024-06-06,16
2024-06-07,15
2024-06-08,10
2024-06-09,9
2024-06-10,16
2024-06-11,17
2024-06-12,16
2024-06-13,16
2024-06-14,13
2024-06-15,9
2024-06-16,8
2024-06-17,16
2024-06-18,16
2024-06-19,14
2024-06-20,15
2024-06-21,14
2024-06-22,9
2024-06-23,8
2024-06-24,16
2024-06-25,16
2024-06-26,16
2024-06-27,16
2024-06-28,15
2024-06-29,9
2024-06-30,8
2024-07-01,16
2024-07-02,20
2024-07-03,15
2024-07-04,9
2024-07-05,12
2024-07-06,9
2024-07-07,8
2024-07-08,15
2024-07-09,16
2024-07-10,17
2024-07-11,15
2024-07-12,14
2024-07-13,9
2024-07-14,7
2024-07-15,15
2024-07-16,18
2024-07-17,17
2024-07-18,17
2024-07-19,100
2024-07-20,25
2024-07-21,14
2024-07-22,21
2024-07-23,19
2024-07-24,18
2024-07-25,17
2024-07-26,14
2024-07-27,10
2024-07-28,9
2024-07-29,16
2024-07-30,19
2024-07-31,17
2024-08-01,17
2024-08-02,15
2024-08-03,9
2024-08-04,9
2024-08-05,16
2024-08-06,17
2024-08-07,18
2024-08-08,16
2024-08-09,15
2024-08-10,12
2024-08-11,9
2024-08-12,16
2024-08-13,17
2024-08-14,18
2024-08-15,17
2024-08-16,15
2024-08-17,10
2024-08-18,9
2024-08-19,17
2024-08-20,18
2024-08-21,18
2024-08-22,17
2024-08-23,16
2024-08-24,10
2024-08-25,10
2024-08-26,19
2024-08-27,19
2024-08-28,19
2024-08-29,19
2024-08-30,15
2024-08-31,9
2024-09-01,9
2024-09-02,11
2024-09-03,18
2024-09-04,20
2024-09-05,17
2024-09-06,15
2024-09-07,10
2024-09-08,10
2024-09-09,17
2024-09-10,19
2024-09-11,18
2024-09-12,21
2024-09-13,15
2024-09-14,10
2024-09-15,9
2024-09-16,18
