Time,olivia dunne
2023-04-26,13
2023-04-27,39
2023-04-28,68
2023-04-29,88
2023-04-30,70
2023-05-01,18
2023-05-02,29
2023-05-03,100
2023-05-04,18
2023-05-05,18
2023-05-06,15
2023-05-07,15
2023-05-08,11
2023-05-09,14
2023-05-10,13
2023-05-11,12
2023-05-12,11
2023-05-13,9
2023-05-14,8
2023-05-15,15
2023-05-16,18
2023-05-17,16
2023-05-18,24
2023-05-19,21
2023-05-20,16
2023-05-21,13
2023-05-22,10
2023-05-23,8
2023-05-24,12
2023-05-25,15
2023-05-26,17
2023-05-27,34
2023-05-28,16
2023-05-29,33
2023-05-30,19
2023-05-31,17
2023-06-01,32
2023-06-02,17
2023-06-03,13
2023-06-04,11
2023-06-05,8
2023-06-06,9
2023-06-07,13
2023-06-08,49
2023-06-09,25
2023-06-10,22
2023-06-11,16
2023-06-12,14
2023-06-13,46
2023-06-14,12
2023-06-15,13
2023-06-16,10
2023-06-17,8
2023-06-18,11
2023-06-19,18
2023-06-20,32
2023-06-21,22
2023-06-22,12
2023-06-23,16
2023-06-24,15
2023-06-25,24
2023-06-26,41
2023-06-27,32
2023-06-28,22
2023-06-29,15
2023-06-30,24
2023-07-01,19
2023-07-02,24
2023-07-03,49
2023-07-04,38
2023-07-05,53
2023-07-06,55
2023-07-07,49
2023-07-08,15
2023-07-09,12
2023-07-10,16
2023-07-11,16
2023-07-12,18
2023-07-13,26
2023-07-14,39
2023-07-15,29
2023-07-16,9
2023-07-17,11
2023-07-18,8
2023-07-19,8
2023-07-20,12
2023-07-21,9
2023-07-22,7
2023-07-23,16
2023-07-24,11
2023-07-25,18
2023-07-26,43
2023-07-27,27
2023-07-28,54
2023-07-29,52
2023-07-30,39
2023-07-31,27
2023-08-01,15
2023-08-02,13
2023-08-03,12
2023-08-04,11
2023-08-05,9
2023-08-06,11
2023-08-07,10
2023-08-08,12
2023-08-09,9
2023-08-10,9
2023-08-11,12
2023-08-12,14
2023-08-13,17
2023-08-14,14
2023-08-15,10
2023-08-16,15
2023-08-17,16
2023-08-18,14
2023-08-19,27
2023-08-20,22
2023-08-21,15
2023-08-22,14
2023-08-23,10
2023-08-24,9
2023-08-25,11
2023-08-26,14
2023-08-27,15
2023-08-28,10
2023-08-29,9
2023-08-30,9
2023-08-31,9
2023-09-01,8
2023-09-02,9
2023-09-03,11
2023-09-04,12
2023-09-05,11
2023-09-06,12
2023-09-07,12
2023-09-08,11
2023-09-09,9
2023-09-10,10
2023-09-11,11
2023-09-12,10
2023-09-13,13
2023-09-14,11
2023-09-15,9
2023-09-16,12
2023-09-17,10
2023-09-18,10
2023-09-19,8
2023-09-20,9
2023-09-21,9
2023-09-22,6
2023-09-23,9
2023-09-24,27
2023-09-25,23
2023-09-26,16
2023-09-27,9
2023-09-28,8
2023-09-29,6
2023-09-30,9
2023-10-01,10
2023-10-02,9
2023-10-03,6
2023-10-04,6
2023-10-05,5
2023-10-06,7
2023-10-07,7
2023-10-08,6
2023-10-09,7
2023-10-10,5
2023-10-11,6
2023-10-12,6
2023-10-13,6
2023-10-14,5
2023-10-15,7
2023-10-16,8
2023-10-17,7
2023-10-18,8
2023-10-19,11
2023-10-20,7
2023-10-21,9
2023-10-22,8
2023-10-23,5
2023-10-24,6
2023-10-25,7
2023-10-26,5
2023-10-27,6
2023-10-28,5
2023-10-29,5
2023-10-30,4
2023-10-31,3
2023-11-01,5
2023-11-02,8
2023-11-03,10
2023-11-04,11
2023-11-05,8
2023-11-06,6
2023-11-07,11
2023-11-08,6
2023-11-09,5
2023-11-10,6
2023-11-11,7
2023-11-12,9
2023-11-13,6
2023-11-14,5
2023-11-15,5
2023-11-16,6
2023-11-17,5
2023-11-18,5
2023-11-19,5
2023-11-20,6
2023-11-21,7
2023-11-22,10
2023-11-23,6
2023-11-24,6
2023-11-25,7
2023-11-26,6
2023-11-27,5
2023-11-28,10
2023-11-29,30
2023-11-30,12
2023-12-01,6
2023-12-02,7
2023-12-03,8
2023-12-04,5
2023-12-05,5
2023-12-06,5
2023-12-07,6
2023-12-08,5
2023-12-09,8
2023-12-10,7
2023-12-11,5
2023-12-12,4
2023-12-13,5
2023-12-14,3
2023-12-15,5
2023-12-16,6
2023-12-17,7
2023-12-18,6
2023-12-19,6
2023-12-20,7
2023-12-21,10
2023-12-22,8
2023-12-23,6
2023-12-24,8
2023-12-25,8
2023-12-26,8
2023-12-27,7
2023-12-28,8
2023-12-29,8
2023-12-30,12
2023-12-31,12
2024-01-01,12
2024-01-02,9
2024-01-03,7
2024-01-04,7
2024-01-05,8
2024-01-06,12
2024-01-07,9
2024-01-08,11
2024-01-09,7
2024-01-10,9
2024-01-11,10
2024-01-12,7
2024-01-13,15
2024-01-14,12
2024-01-15,8
2024-01-16,6
2024-01-17,6
2024-01-18,8
2024-01-19,7
2024-01-20,10
