Time,olivia dunne
2024-08-18,66
2024-08-19,36
2024-08-20,32
2024-08-21,42
2024-08-22,42
2024-08-23,43
2024-08-24,54
2024-08-25,47
2024-08-26,37
2024-08-27,42
2024-08-28,100
2024-08-29,66
2024-08-30,36
2024-08-31,49
2024-09-01,64
2024-09-02,54
2024-09-03,22
2024-09-04,38
2024-09-05,27
2024-09-06,29
2024-09-07,35
2024-09-08,38
2024-09-09,30
2024-09-10,51
2024-09-11,46
2024-09-12,37
2024-09-13,54
2024-09-14,65
2024-09-15,52
2024-09-16,52
2024-09-17,57
2024-09-18,45
2024-09-19,41
2024-09-20,34
2024-09-21,47
2024-09-22,73
2024-09-23,48
2024-09-24,33
2024-09-25,43
2024-09-26,100
2024-09-27,90
2024-09-28,93
2024-09-29,79
2024-09-30,48
2024-10-01,51
2024-10-02,58
2024-10-03,39
2024-10-04,50
2024-10-05,72
2024-10-06,55
2024-10-07,38
2024-10-08,27
2024-10-09,28
2024-10-10,23
2024-10-11,23
2024-10-12,34
2024-10-13,30
2024-10-14,45
2024-10-15,29
2024-10-16,21
2024-10-17,22
2024-10-18,25
2024-10-19,20
2024-10-20,24
2024-10-21,25
2024-10-22,28
2024-10-23,25
2024-10-24,25
2024-10-25,21
2024-10-26,34
2024-10-27,43
2024-10-28,32
2024-10-29,23
2024-10-30,51
2024-10-31,33
2024-11-01,54
2024-11-02,46
2024-11-03,32
2024-11-04,19
2024-11-05,21
2024-11-06,19
2024-11-07,23
2024-11-08,22
2024-11-09,99
2024-11-10,72
2024-11-11,46
2024-11-12,29
2024-11-13,23
2024-11-14,12
2024-11-15,47
2024-11-16,73
2024-11-17,61
2024-11-18,38
2024-11-19,54
2024-11-20,84
2024-11-21,27
2024-11-22,21
2024-11-23,39
2024-11-24,47
2024-11-25,23
2024-11-26,27
2024-11-27,31
2024-11-28,25
2024-11-29,36
2024-11-30,41
2024-12-01,53
2024-12-02,45
2024-12-03,30
2024-12-04,48
2024-12-05,77
2024-12-06,43
2024-12-07,41
2024-12-08,41
2024-12-09,20
2024-12-10,35
2024-12-11,34
2024-12-12,31
2024-12-13,29
2024-12-14,47
2024-12-15,39
2024-12-16,20
2024-12-17,33
2024-12-18,32
2024-12-19,23
2024-12-20,36
2024-12-21,40
2024-12-22,30
2024-12-23,36
2024-12-24,31
2024-12-25,33
2024-12-26,37
2024-12-27,34
2024-12-28,31
2024-12-29,30
2024-12-30,35
2024-12-31,33
2025-01-01,34
2025-01-02,41
2025-01-03,51
2025-01-04,63
2025-01-05,63
2025-01-06,39
2025-01-07,30
2025-01-08,25
2025-01-09,31
2025-01-10,34
2025-01-11,73
2025-01-12,38
2025-01-13,21
2025-01-14,21
2025-01-15,13
2025-01-16,24
2025-01-17,25
2025-01-18,65
2025-01-19,27
2025-01-20,29
2025-01-21,25
2025-01-22,29
2025-01-23,30
2025-01-24,37
2025-01-25,46
2025-01-26,41
2025-01-27,35
2025-01-28,53
2025-01-29,38
2025-01-30,29
2025-01-31,24
2025-02-01,26
2025-02-02,29
2025-02-03,61
2025-02-04,23
2025-02-05,14
2025-02-06,29
2025-02-07,26
2025-02-08,34
2025-02-09,39
2025-02-10,23
2025-02-11,17
2025-02-12,28
2025-02-13,27
2025-02-14,19
2025-02-15,48
2025-02-16,31
2025-02-17,28
2025-02-18,26
2025-02-19,25
2025-02-20,22
2025-02-21,28
2025-02-22,41
2025-02-23,27
2025-02-24,21
2025-02-25,28
2025-02-26,21
2025-02-27,22
2025-02-28,22
2025-03-01,32
2025-03-02,35
2025-03-03,27
2025-03-04,33
2025-03-05,31
2025-03-06,12
2025-03-07,37
2025-03-08,33
2025-03-09,61
2025-03-10,23
2025-03-11,23
2025-03-12,20
2025-03-13,22
2025-03-14,15
2025-03-15,29
2025-03-16,31
2025-03-17,19
2025-03-18,24
2025-03-19,21
2025-03-20,14
2025-03-21,26
2025-03-22,26
2025-03-23,28
2025-03-24,16
2025-03-25,31
2025-03-26,30
2025-03-27,20
2025-03-28,24
2025-03-29,32
2025-03-30,35
2025-03-31,36
2025-04-01,39
2025-04-02,17
2025-04-03,27
2025-04-04,35
2025-04-05,23
2025-04-06,37
2025-04-07,30
2025-04-08,43
2025-04-09,29
2025-04-10,23
2025-04-11,34
2025-04-12,25
2025-04-13,13
2025-04-14,20
2025-04-15,22
2025-04-16,30
2025-04-17,22
2025-04-18,51
2025-04-19,65
2025-04-20,33
2025-04-21,26
2025-04-22,24
2025-04-23,28
2025-04-24,16
2025-04-25,25
2025-04-26,24
2025-04-27,17
2025-04-28,30
2025-04-29,18
2025-04-30,15
2025-05-01,16
2025-05-02,22
2025-05-03,33
2025-05-04,42
2025-05-05,57
2025-05-06,39
2025-05-07,24
2025-05-08,18
2025-05-09,20
2025-05-10,19
2025-05-11,19
2025-05-12,28
2025-05-13,60
2025-05-14,63
