Time,google sheets
2025-04-15,83
2025-04-16,86
2025-04-17,78
2025-04-18,70
2025-04-19,34
2025-04-20,36
2025-04-21,78
2025-04-22,86
2025-04-23,82
2025-04-24,82
2025-04-25,71
2025-04-26,41
2025-04-27,42
2025-04-28,84
2025-04-29,77
2025-04-30,81
2025-05-01,80
2025-05-02,75
2025-05-03,41
2025-05-04,46
2025-05-05,78
2025-05-06,76
2025-05-07,81
2025-05-08,77
2025-05-09,71
2025-05-10,39
2025-05-11,38
2025-05-12,79
2025-05-13,76
2025-05-14,82
2025-05-15,80
2025-05-16,76
2025-05-17,40
2025-05-18,40
2025-05-19,77
2025-05-20,82
2025-05-21,83
2025-05-22,77
2025-05-23,71
2025-05-24,38
2025-05-25,36
2025-05-26,44
2025-05-27,79
2025-05-28,80
2025-05-29,87
2025-05-30,73
2025-05-31,42
2025-06-01,42
2025-06-02,97
2025-06-03,91
2025-06-04,83
2025-06-05,79
2025-06-06,71
2025-06-07,37
2025-06-08,43
2025-06-09,77
2025-06-10,82
2025-06-11,79
2025-06-12,76
2025-06-13,69
2025-06-14,37
2025-06-15,35
2025-06-16,79
2025-06-17,76
2025-06-18,75
2025-06-19,58
2025-06-20,61
2025-06-21,37
2025-06-22,37
2025-06-23,69
2025-06-24,79
2025-06-25,71
2025-06-26,72
2025-06-27,67
2025-06-28,39
2025-06-29,40
2025-06-30,75
2025-07-01,87
2025-07-02,71
2025-07-03,66
2025-07-04,35
2025-07-05,34
2025-07-06,42
2025-07-07,76
2025-07-08,80
2025-07-09,81
2025-07-10,73
2025-07-11,71
2025-07-12,42
2025-07-13,41
2025-07-14,82
2025-07-15,91
2025-07-16,76
2025-07-17,79
2025-07-18,65
2025-07-19,46
2025-07-20,49
2025-07-21,79
2025-07-22,78
2025-07-23,76
2025-07-24,79
2025-07-25,73
2025-07-26,45
2025-07-27,47
2025-07-28,76
2025-07-29,85
2025-07-30,89
2025-07-31,89
2025-08-01,83
2025-08-02,43
2025-08-03,45
2025-08-04,85
2025-08-05,85
2025-08-06,84
2025-08-07,83
2025-08-08,80
2025-08-09,49
2025-08-10,49
2025-08-11,79
2025-08-12,80
2025-08-13,92
2025-08-14,85
2025-08-15,76
2025-08-16,45
2025-08-17,49
2025-08-18,84
2025-08-19,89
2025-08-20,88
2025-08-21,88
2025-08-22,81
2025-08-23,45
2025-08-24,54
2025-08-25,96
2025-08-26,98
2025-08-27,100
2025-08-28,88
2025-08-29,81
2025-08-30,44
2025-08-31,44
2025-09-01,63
2025-09-02,96
2025-09-03,98
2025-09-04,93
2025-09-05,82
2025-09-06,48
2025-09-07,52
2025-09-08,94
2025-09-09,87
2025-09-10,85
2025-09-11,86
2025-09-12,82
2025-09-13,41
2025-09-14,44
2025-09-15,90
2025-09-16,92
2025-09-17,95
2025-09-18,89
2025-09-19,87
2025-09-20,45
2025-09-21,46
2025-09-22,89
2025-09-23,92
2025-09-24,94
2025-09-25,86
2025-09-26,80
2025-09-27,43
2025-09-28,48
2025-09-29,86
2025-09-30,91
2025-10-01,92
2025-10-02,90
2025-10-03,80
2025-10-04,41
2025-10-05,47
2025-10-06,82
2025-10-07,93
2025-10-08,90
2025-10-09,79
2025-10-10,72
2025-10-11,40
2025-10-12,42
2025-10-13,81
2025-10-14,86
2025-10-15,85
2025-10-16,88
2025-10-17,75
2025-10-18,40
2025-10-19,45
2025-10-20,86
2025-10-21,90
2025-10-22,86
2025-10-23,86
2025-10-24,86
2025-10-25,39
2025-10-26,44
2025-10-27,80
2025-10-28,80
2025-10-29,88
2025-10-30,87
2025-10-31,77
2025-11-01,47
2025-11-02,51
2025-11-03,93
2025-11-04,90
2025-11-05,88
2025-11-06,89
2025-11-07,82
2025-11-08,47
2025-11-09,48
2025-11-10,91
2025-11-11,91
2025-11-12,98
2025-11-13,90
2025-11-14,79
2025-11-15,49
2025-11-16,50
2025-11-17,86
2025-11-18,70
2025-11-19,70
2025-11-20,66
2025-11-21,62
2025-11-22,37
2025-11-23,39
2025-11-24,59
2025-11-25,57
2025-11-26,47
2025-11-27,32
2025-11-28,34
2025-11-29,36
2025-11-30,44
2025-12-01,75
2025-12-02,73
2025-12-03,69
2025-12-04,67
2025-12-05,65
2025-12-06,42
2025-12-07,43
2025-12-08,68
2025-12-09,68
2025-12-10,70
2025-12-11,61
2025-12-12,61
2025-12-13,40
2025-12-14,38
2025-12-15,61
2025-12-16,63
2025-12-17,60
2025-12-18,62
2025-12-19,50
2025-12-20,33
2025-12-21,33
2025-12-22,48
2025-12-23,42
2025-12-24,30
2025-12-25,20
2025-12-26,33
2025-12-27,32
2025-12-28,35
2025-12-29,50
2025-12-30,50
2025-12-31,48
2026-01-01,43
2026-01-02,59
2026-01-03,48
2026-01-04,48
2026-01-05,68
2026-01-06,72
2026-01-07,68
2026-01-08,67
2026-01-09,67
