Time,google sheets
2022-01-01,28
2022-01-02,36
2022-01-03,55
2022-01-04,66
2022-01-05,59
2022-01-06,48
2022-01-07,53
2022-01-08,37
2022-01-09,33
2022-01-10,57
2022-01-11,57
2022-01-12,61
2022-01-13,64
2022-01-14,46
2022-01-15,36
2022-01-16,29
2022-01-17,44
2022-01-18,51
2022-01-19,54
2022-01-20,54
2022-01-21,50
2022-01-22,34
2022-01-23,36
2022-01-24,69
2022-01-25,56
2022-01-26,53
2022-01-27,54
2022-01-28,53
2022-01-29,39
2022-01-30,37
2022-01-31,59
2022-02-01,68
2022-02-02,60
2022-02-03,59
2022-02-04,54
2022-02-05,37
2022-02-06,36
2022-02-07,62
2022-02-08,66
2022-02-09,59
2022-02-10,53
2022-02-11,56
2022-02-12,35
2022-02-13,35
2022-02-14,50
2022-02-15,63
2022-02-16,63
2022-02-17,59
2022-02-18,53
2022-02-19,38
2022-02-20,35
2022-02-21,54
2022-02-22,59
2022-02-23,56
2022-02-24,53
2022-02-25,52
2022-02-26,40
2022-02-27,40
2022-02-28,61
2022-03-01,63
2022-03-02,57
2022-03-03,54
2022-03-04,52
2022-03-05,38
2022-03-06,38
2022-03-07,57
2022-03-08,61
2022-03-09,57
2022-03-10,57
2022-03-11,51
2022-03-12,35
2022-03-13,37
2022-03-14,53
2022-03-15,59
2022-03-16,55
2022-03-17,59
2022-03-18,49
2022-03-19,34
2022-03-20,37
2022-03-21,54
2022-03-22,55
2022-03-23,56
2022-03-24,53
2022-03-25,70
2022-03-26,42
2022-03-27,46
2022-03-28,89
2022-03-29,95
2022-03-30,56
2022-03-31,88
2022-04-01,77
2022-04-02,43
2022-04-03,46
2022-04-04,96
2022-04-05,97
2022-04-06,95
2022-04-07,85
2022-04-08,79
2022-04-09,44
2022-04-10,46
2022-04-11,85
2022-04-12,87
2022-04-13,88
2022-04-14,80
2022-04-15,64
2022-04-16,40
2022-04-17,38
2022-04-18,82
2022-04-19,92
2022-04-20,87
2022-04-21,84
2022-04-22,72
2022-04-23,39
2022-04-24,43
2022-04-25,88
2022-04-26,89
2022-04-27,93
2022-04-28,80
2022-04-29,70
2022-04-30,42
2022-05-01,44
2022-05-02,90
2022-05-03,86
2022-05-04,85
2022-05-05,78
2022-05-06,70
2022-05-07,38
2022-05-08,34
2022-05-09,78
2022-05-10,79
2022-05-11,80
2022-05-12,78
2022-05-13,72
2022-05-14,33
2022-05-15,36
2022-05-16,67
2022-05-17,73
2022-05-18,79
2022-05-19,76
2022-05-20,62
2022-05-21,35
2022-05-22,35
2022-05-23,75
2022-05-24,77
2022-05-25,72
2022-05-26,73
2022-05-27,61
2022-05-28,28
2022-05-29,29
2022-05-30,38
2022-05-31,68
2022-06-01,72
2022-06-02,84
2022-06-03,66
2022-06-04,33
2022-06-05,36
2022-06-06,69
2022-06-07,74
2022-06-08,72
2022-06-09,70
2022-06-10,63
2022-06-11,33
2022-06-12,34
2022-06-13,71
2022-06-14,71
2022-06-15,67
2022-06-16,68
2022-06-17,56
2022-06-18,33
2022-06-19,29
2022-06-20,58
2022-06-21,76
2022-06-22,74
2022-06-23,66
2022-06-24,62
2022-06-25,31
2022-06-26,34
2022-06-27,71
2022-06-28,67
2022-06-29,70
2022-06-30,67
2022-07-01,57
2022-07-02,29
2022-07-03,27
2022-07-04,33
2022-07-05,70
2022-07-06,64
2022-07-07,68
2022-07-08,62
2022-07-09,33
2022-07-10,35
2022-07-11,78
2022-07-12,72
2022-07-13,70
2022-07-14,66
2022-07-15,63
2022-07-16,32
2022-07-17,34
2022-07-18,73
2022-07-19,75
2022-07-20,70
2022-07-21,72
2022-07-22,64
2022-07-23,31
2022-07-24,34
2022-07-25,70
2022-07-26,74
2022-07-27,72
2022-07-28,70
2022-07-29,72
2022-07-30,34
2022-07-31,37
2022-08-01,75
2022-08-02,77
2022-08-03,76
2022-08-04,70
2022-08-05,69
2022-08-06,36
2022-08-07,39
2022-08-08,77
2022-08-09,81
2022-08-10,76
2022-08-11,73
2022-08-12,67
2022-08-13,37
2022-08-14,40
2022-08-15,74
2022-08-16,82
2022-08-17,82
2022-08-18,80
2022-08-19,71
2022-08-20,39
2022-08-21,43
2022-08-22,83
2022-08-23,89
2022-08-24,97
2022-08-25,87
2022-08-26,77
2022-08-27,43
2022-08-28,50
2022-08-29,93
2022-08-30,98
2022-08-31,99
2022-09-01,88
2022-09-02,74
2022-09-03,41
2022-09-04,39
2022-09-05,52
2022-09-06,98
2022-09-07,96
2022-09-08,88
2022-09-09,81
2022-09-10,42
2022-09-11,46
2022-09-12,94
2022-09-13,93
2022-09-14,98
2022-09-15,94
2022-09-16,84
2022-09-17,40
2022-09-18,43
2022-09-19,93
2022-09-20,100
2022-09-21,90
2022-09-22,90
2022-09-23,74
2022-09-24,39
2022-09-25,40
2022-09-26,87
2022-09-27,89
