Time,google sheets
2025-12-11,74
2025-12-12,74
2025-12-13,49
2025-12-14,47
2025-12-15,74
2025-12-16,78
2025-12-17,74
2025-12-18,76
2025-12-19,61
2025-12-20,40
2025-12-21,40
2025-12-22,59
2025-12-23,51
2025-12-24,37
2025-12-25,25
2025-12-26,41
2025-12-27,39
2025-12-28,43
2025-12-29,61
2025-12-30,61
2025-12-31,59
2026-01-01,52
2026-01-02,72
2026-01-03,59
2026-01-04,59
2026-01-05,84
2026-01-06,88
2026-01-07,83
2026-01-08,82
2026-01-09,82
2026-01-10,59
2026-01-11,57
2026-01-12,88
2026-01-13,86
2026-01-14,78
2026-01-15,85
2026-01-16,77
2026-01-17,53
2026-01-18,53
2026-01-19,70
2026-01-20,84
2026-01-21,88
2026-01-22,83
2026-01-23,73
2026-01-24,55
2026-01-25,56
2026-01-26,89
2026-01-27,78
2026-01-28,81
2026-01-29,85
2026-01-30,82
2026-01-31,63
2026-02-01,67
2026-02-02,88
2026-02-03,92
2026-02-04,84
2026-02-05,87
2026-02-06,81
2026-02-07,57
2026-02-08,57
2026-02-09,77
2026-02-10,88
2026-02-11,88
2026-02-12,80
2026-02-13,85
2026-02-14,56
2026-02-15,61
2026-02-16,85
2026-02-17,89
2026-02-18,83
2026-02-19,82
2026-02-20,74
2026-02-21,57
2026-02-22,56
2026-02-23,90
2026-02-24,89
2026-02-25,91
2026-02-26,93
2026-02-27,88
2026-02-28,57
2026-03-01,63
2026-03-02,95
2026-03-03,96
2026-03-04,95
2026-03-05,97
2026-03-06,91
2026-03-07,62
2026-03-08,66
2026-03-09,92
2026-03-10,90
2026-03-11,95
2026-03-12,86
2026-03-13,86
2026-03-14,63
2026-03-15,65
2026-03-16,91
2026-03-17,88
2026-03-18,94
2026-03-19,95
2026-03-20,82
2026-03-21,55
2026-03-22,63
2026-03-23,88
2026-03-24,86
2026-03-25,84
2026-03-26,86
2026-03-27,85
2026-03-28,64
2026-03-29,69
2026-03-30,91
2026-03-31,100
2026-04-01,91
2026-04-02,85
2026-04-03,74
2026-04-04,53
2026-04-05,53
2026-04-06,87
2026-04-07,86
2026-04-08,89
2026-04-09,88
2026-04-10,77
2026-04-11,56
2026-04-12,59
2026-04-13,89
2026-04-14,88
2026-04-15,86
2026-04-16,84
2026-04-17,79
2026-04-18,58
2026-04-19,59
2026-04-20,92
2026-04-21,94
2026-04-22,84
2026-04-23,95
2026-04-24,75
2026-04-25,54
2026-04-26,59
2026-04-27,83
2026-04-28,86
2026-04-29,87
2026-04-30,80
2026-05-01,79
2026-05-02,58
2026-05-03,58
2026-05-04,79
2026-05-05,86
2026-05-06,80
2026-05-07,83
2026-05-08,77
2026-05-09,48
2026-05-10,48
2026-05-11,82
2026-05-12,82
2026-05-13,93
2026-05-14,81
2026-05-15,74
2026-05-16,53
2026-05-17,54
2026-05-18,76
2026-05-19,79
2026-05-20,79
2026-05-21,78
2026-05-22,69
2026-05-23,55
2026-05-24,55
2026-05-25,63
2026-05-26,81
2026-05-27,82
2026-05-28,84
2026-05-29,81
2026-05-30,60
2026-05-31,67
