Time,love is blind season 3
2023-04-26,100
2023-04-27,83
2023-04-28,78
2023-04-29,91
2023-04-30,92
2023-05-01,83
2023-05-02,64
2023-05-03,60
2023-05-04,56
2023-05-05,56
2023-05-06,67
2023-05-07,50
2023-05-08,53
2023-05-09,46
2023-05-10,51
2023-05-11,47
2023-05-12,29
2023-05-13,39
2023-05-14,39
2023-05-15,36
2023-05-16,42
2023-05-17,43
2023-05-18,52
2023-05-19,31
2023-05-20,38
2023-05-21,29
2023-05-22,33
2023-05-23,25
2023-05-24,28
2023-05-25,23
2023-05-26,26
2023-05-27,23
2023-05-28,22
2023-05-29,27
2023-05-30,28
2023-05-31,24
2023-06-01,19
2023-06-02,33
2023-06-03,23
2023-06-04,0
2023-06-05,25
2023-06-06,24
2023-06-07,18
2023-06-08,26
2023-06-09,25
2023-06-10,37
2023-06-11,33
2023-06-12,25
2023-06-13,39
2023-06-14,38
2023-06-15,41
2023-06-16,24
2023-06-17,33
2023-06-18,37
2023-06-19,19
2023-06-20,27
2023-06-21,53
2023-06-22,60
2023-06-23,38
2023-06-24,48
2023-06-25,29
2023-06-26,40
2023-06-27,33
2023-06-28,28
2023-06-29,34
2023-06-30,39
2023-07-01,39
2023-07-02,66
2023-07-03,89
2023-07-04,51
2023-07-05,39
2023-07-06,29
2023-07-07,30
2023-07-08,19
2023-07-09,32
2023-07-10,0
2023-07-11,23
2023-07-12,17
2023-07-13,18
2023-07-14,17
2023-07-15,18
2023-07-16,27
2023-07-17,15
2023-07-18,20
2023-07-19,19
2023-07-20,28
2023-07-21,17
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,22
2023-07-28,0
2023-07-29,0
2023-07-30,19
2023-07-31,0
2023-08-01,19
2023-08-02,15
2023-08-03,23
2023-08-04,0
2023-08-05,23
2023-08-06,0
2023-08-07,15
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,16
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,16
2023-08-19,26
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,15
2023-08-25,14
2023-08-26,0
2023-08-27,22
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,19
2023-09-01,23
2023-09-02,32
2023-09-03,45
2023-09-04,35
2023-09-05,47
2023-09-06,24
2023-09-07,31
2023-09-08,28
2023-09-09,30
2023-09-10,27
2023-09-11,16
2023-09-12,25
2023-09-13,27
2023-09-14,21
2023-09-15,26
2023-09-16,43
2023-09-17,27
2023-09-18,24
2023-09-19,13
2023-09-20,14
2023-09-21,36
2023-09-22,24
2023-09-23,65
2023-09-24,79
2023-09-25,58
2023-09-26,61
2023-09-27,64
2023-09-28,54
2023-09-29,73
2023-09-30,93
2023-10-01,92
2023-10-02,70
2023-10-03,71
2023-10-04,74
2023-10-05,54
2023-10-06,67
2023-10-07,81
2023-10-08,70
2023-10-09,61
2023-10-10,51
2023-10-11,47
2023-10-12,50
2023-10-13,55
2023-10-14,86
2023-10-15,90
2023-10-16,87
2023-10-17,79
2023-10-18,58
2023-10-19,60
2023-10-20,55
2023-10-21,40
2023-10-22,44
2023-10-23,46
2023-10-24,26
2023-10-25,37
2023-10-26,30
2023-10-27,23
2023-10-28,22
2023-10-29,36
2023-10-30,0
2023-10-31,22
2023-11-01,15
2023-11-02,23
2023-11-03,24
2023-11-04,16
2023-11-05,27
2023-11-06,22
2023-11-07,23
2023-11-08,16
2023-11-09,17
2023-11-10,22
2023-11-11,22
2023-11-12,0
2023-11-13,25
2023-11-14,24
2023-11-15,22
2023-11-16,22
2023-11-17,0
2023-11-18,24
2023-11-19,22
2023-11-20,16
2023-11-21,0
2023-11-22,21
2023-11-23,16
2023-11-24,15
2023-11-25,0
2023-11-26,19
2023-11-27,25
2023-11-28,20
2023-11-29,0
2023-11-30,13
2023-12-01,15
2023-12-02,21
2023-12-03,23
2023-12-04,14
2023-12-05,0
2023-12-06,17
2023-12-07,17
2023-12-08,0
2023-12-09,17
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,22
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,16
2023-12-20,0
2023-12-21,0
2023-12-22,24
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,17
2023-12-28,17
2023-12-29,0
2023-12-30,15
2023-12-31,0
2024-01-01,0
2024-01-02,15
2024-01-03,0
2024-01-04,14
2024-01-05,16
2024-01-06,23
2024-01-07,19
2024-01-08,0
2024-01-09,0
2024-01-10,20
2024-01-11,15
2024-01-12,23
2024-01-13,15
2024-01-14,38
2024-01-15,0
2024-01-16,18
2024-01-17,20
2024-01-18,23
2024-01-19,22
2024-01-20,27
