Time,the little mermaid 2023
2022-08-29,2
2022-08-30,1
2022-08-31,0
2022-09-01,1
2022-09-02,1
2022-09-03,1
2022-09-04,1
2022-09-05,1
2022-09-06,1
2022-09-07,1
2022-09-08,1
2022-09-09,3
2022-09-10,79
2022-09-11,55
2022-09-12,47
2022-09-13,53
2022-09-14,51
2022-09-15,50
2022-09-16,45
2022-09-17,37
2022-09-18,30
2022-09-19,19
2022-09-20,15
2022-09-21,9
2022-09-22,6
2022-09-23,7
2022-09-24,9
2022-09-25,10
2022-09-26,5
2022-09-27,4
2022-09-28,4
2022-09-29,4
2022-09-30,4
2022-10-01,4
2022-10-02,6
2022-10-03,3
2022-10-04,3
2022-10-05,2
2022-10-06,3
2022-10-07,2
2022-10-08,3
2022-10-09,3
2022-10-10,2
2022-10-11,2
2022-10-12,2
2022-10-13,3
2022-10-14,3
2022-10-15,3
2022-10-16,3
2022-10-17,3
2022-10-18,2
2022-10-19,2
2022-10-20,2
2022-10-21,2
2022-10-22,3
2022-10-23,3
2022-10-24,3
2022-10-25,2
2022-10-26,2
2022-10-27,2
2022-10-28,2
2022-10-29,2
2022-10-30,2
2022-10-31,2
2022-11-01,1
2022-11-02,1
2022-11-03,2
2022-11-04,1
2022-11-05,1
2022-11-06,2
2022-11-07,1
2022-11-08,1
2022-11-09,1
2022-11-10,1
2022-11-11,2
2022-11-12,2
2022-11-13,2
2022-11-14,1
2022-11-15,2
2022-11-16,2
2022-11-17,0
2022-11-18,2
2022-11-19,1
2022-11-20,2
2022-11-21,2
2022-11-22,2
2022-11-23,2
2022-11-24,2
2022-11-25,2
2022-11-26,2
2022-11-27,2
2022-11-28,2
2022-11-29,2
2022-11-30,1
2022-12-01,2
2022-12-02,1
2022-12-03,1
2022-12-04,1
2022-12-05,1
2022-12-06,2
2022-12-07,1
2022-12-08,2
2022-12-09,1
2022-12-10,2
2022-12-11,2
2022-12-12,1
2022-12-13,1
2022-12-14,1
2022-12-15,1
2022-12-16,2
2022-12-17,2
2022-12-18,3
2022-12-19,2
2022-12-20,2
2022-12-21,2
2022-12-22,1
2022-12-23,1
2022-12-24,1
2022-12-25,1
2022-12-26,2
2022-12-27,2
2022-12-28,2
2022-12-29,2
2022-12-30,2
2022-12-31,2
2023-01-01,5
2023-01-02,3
2023-01-03,3
2023-01-04,3
2023-01-05,3
2023-01-06,3
2023-01-07,2
2023-01-08,2
2023-01-09,3
2023-01-10,3
2023-01-11,3
2023-01-12,3
2023-01-13,3
2023-01-14,3
2023-01-15,3
2023-01-16,4
2023-01-17,3
2023-01-18,2
2023-01-19,2
2023-01-20,2
2023-01-21,2
2023-01-22,3
2023-01-23,2
2023-01-24,2
2023-01-25,2
2023-01-26,2
2023-01-27,2
2023-01-28,2
2023-01-29,2
2023-01-30,2
2023-01-31,1
2023-02-01,2
2023-02-02,2
2023-02-03,2
2023-02-04,3
2023-02-05,3
2023-02-06,2
2023-02-07,2
2023-02-08,2
2023-02-09,1
2023-02-10,2
2023-02-11,2
2023-02-12,4
2023-02-13,7
2023-02-14,2
2023-02-15,11
2023-02-16,17
2023-02-17,9
2023-02-18,7
2023-02-19,6
2023-02-20,6
2023-02-21,5
2023-02-22,4
2023-02-23,4
2023-02-24,4
2023-02-25,4
2023-02-26,5
2023-02-27,4
2023-02-28,4
2023-03-01,6
2023-03-02,5
2023-03-03,4
2023-03-04,5
2023-03-05,5
2023-03-06,5
2023-03-07,5
2023-03-08,5
2023-03-09,4
2023-03-10,4
2023-03-11,5
2023-03-12,8
2023-03-13,100
2023-03-14,23
2023-03-15,13
2023-03-16,11
2023-03-17,9
2023-03-18,11
2023-03-19,12
2023-03-20,8
2023-03-21,8
2023-03-22,5
2023-03-23,6
2023-03-24,6
2023-03-25,7
2023-03-26,8
2023-03-27,5
2023-03-28,3
2023-03-29,4
2023-03-30,3
2023-03-31,3
2023-04-01,4
2023-04-02,4
2023-04-03,4
2023-04-04,5
2023-04-05,5
2023-04-06,6
2023-04-07,5
2023-04-08,7
2023-04-09,6
2023-04-10,6
2023-04-11,4
2023-04-12,3
2023-04-13,4
2023-04-14,6
2023-04-15,6
2023-04-16,5
2023-04-17,5
2023-04-18,7
2023-04-19,4
2023-04-20,5
2023-04-21,5
2023-04-22,5
2023-04-23,7
2023-04-24,6
2023-04-25,6
2023-04-26,16
2023-04-27,18
2023-04-28,28
2023-04-29,15
2023-04-30,16
2023-05-01,11
2023-05-02,14
2023-05-03,11
2023-05-04,10
2023-05-05,9
2023-05-06,12
2023-05-07,12
2023-05-08,10
2023-05-09,29
2023-05-10,28
2023-05-11,20
2023-05-12,18
2023-05-13,23
2023-05-14,22
2023-05-15,22
2023-05-16,21
2023-05-17,20
2023-05-18,20
2023-05-19,24
2023-05-20,30
2023-05-21,33
2023-05-22,36
2023-05-23,39
2023-05-24,41
2023-05-25,75
