Time,the little mermaid 2023
2023-12-22,32
2023-12-23,57
2023-12-24,46
2023-12-25,43
2023-12-26,59
2023-12-27,63
2023-12-28,72
2023-12-29,71
2023-12-30,76
2023-12-31,58
2024-01-01,55
2024-01-02,44
2024-01-03,50
2024-01-04,30
2024-01-05,53
2024-01-06,53
2024-01-07,100
2024-01-08,43
2024-01-09,33
2024-01-10,60
2024-01-11,38
2024-01-12,31
2024-01-13,60
2024-01-14,36
2024-01-15,31
2024-01-16,38
2024-01-17,24
2024-01-18,33
2024-01-19,23
2024-01-20,29
2024-01-21,45
2024-01-22,40
2024-01-23,32
2024-01-24,0
2024-01-25,25
2024-01-26,23
2024-01-27,40
2024-01-28,29
2024-01-29,45
2024-01-30,0
2024-01-31,0
2024-02-01,33
2024-02-02,28
2024-02-03,25
2024-02-04,49
2024-02-05,43
2024-02-06,36
2024-02-07,20
2024-02-08,0
2024-02-09,0
2024-02-10,30
2024-02-11,24
2024-02-12,0
2024-02-13,0
2024-02-14,23
2024-02-15,27
2024-02-16,26
2024-02-17,35
2024-02-18,34
2024-02-19,27
2024-02-20,28
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,34
2024-02-25,54
2024-02-26,21
2024-02-27,22
2024-02-28,33
2024-02-29,24
2024-03-01,0
2024-03-02,33
2024-03-03,47
2024-03-04,41
2024-03-05,0
2024-03-06,23
2024-03-07,0
2024-03-08,32
2024-03-09,51
2024-03-10,37
2024-03-11,21
2024-03-12,25
2024-03-13,26
2024-03-14,0
2024-03-15,35
2024-03-16,46
2024-03-17,39
2024-03-18,25
2024-03-19,34
2024-03-20,0
2024-03-21,29
2024-03-22,38
2024-03-23,43
2024-03-24,26
2024-03-25,28
2024-03-26,51
2024-03-27,23
2024-03-28,27
2024-03-29,37
2024-03-30,45
2024-03-31,37
2024-04-01,32
2024-04-02,28
2024-04-03,29
2024-04-04,42
2024-04-05,30
2024-04-06,28
2024-04-07,38
2024-04-08,25
2024-04-09,0
2024-04-10,25
2024-04-11,24
2024-04-12,37
2024-04-13,0
2024-04-14,67
2024-04-15,34
2024-04-16,0
2024-04-17,0
2024-04-18,23
2024-04-19,42
2024-04-20,29
2024-04-21,27
2024-04-22,23
2024-04-23,0
2024-04-24,23
2024-04-25,0
2024-04-26,41
2024-04-27,29
2024-04-28,41
2024-04-29,33
2024-04-30,0
2024-05-01,30
2024-05-02,28
2024-05-03,33
2024-05-04,32
2024-05-05,25
2024-05-06,39
2024-05-07,22
2024-05-08,23
2024-05-09,21
2024-05-10,33
2024-05-11,39
2024-05-12,27
2024-05-13,22
2024-05-14,0
2024-05-15,30
2024-05-16,22
2024-05-17,0
2024-05-18,35
2024-05-19,29
2024-05-20,0
2024-05-21,0
2024-05-22,32
2024-05-23,35
2024-05-24,23
2024-05-25,30
2024-05-26,53
2024-05-27,25
2024-05-28,21
2024-05-29,32
2024-05-30,0
2024-05-31,25
2024-06-01,30
2024-06-02,0
2024-06-03,0
2024-06-04,24
2024-06-05,21
2024-06-06,29
2024-06-07,29
2024-06-08,0
2024-06-09,50
2024-06-10,33
2024-06-11,37
2024-06-12,35
2024-06-13,0
2024-06-14,47
2024-06-15,48
2024-06-16,52
2024-06-17,37
2024-06-18,36
2024-06-19,28
2024-06-20,26
2024-06-21,25
2024-06-22,60
2024-06-23,34
2024-06-24,36
2024-06-25,23
2024-06-26,50
2024-06-27,27
2024-06-28,39
2024-06-29,66
2024-06-30,32
2024-07-01,39
2024-07-02,31
2024-07-03,41
2024-07-04,39
2024-07-05,57
2024-07-06,77
2024-07-07,56
2024-07-08,62
2024-07-09,32
2024-07-10,29
2024-07-11,49
2024-07-12,0
2024-07-13,50
2024-07-14,74
2024-07-15,27
2024-07-16,46
2024-07-17,0
2024-07-18,0
2024-07-19,35
2024-07-20,29
2024-07-21,0
2024-07-22,0
2024-07-23,0
2024-07-24,22
2024-07-25,0
2024-07-26,0
2024-07-27,0
2024-07-28,0
2024-07-29,0
2024-07-30,22
2024-07-31,23
2024-08-01,0
2024-08-02,0
2024-08-03,26
2024-08-04,27
2024-08-05,0
2024-08-06,23
2024-08-07,25
2024-08-08,0
2024-08-09,0
2024-08-10,33
2024-08-11,50
2024-08-12,24
2024-08-13,0
2024-08-14,0
2024-08-15,23
2024-08-16,25
2024-08-17,25
2024-08-18,0
2024-08-19,23
2024-08-20,0
2024-08-21,23
2024-08-22,0
2024-08-23,0
2024-08-24,0
2024-08-25,33
2024-08-26,0
2024-08-27,0
2024-08-28,0
2024-08-29,0
2024-08-30,0
2024-08-31,28
2024-09-01,33
2024-09-02,0
2024-09-03,0
2024-09-04,0
2024-09-05,0
2024-09-06,22
2024-09-07,31
2024-09-08,30
2024-09-09,0
2024-09-10,0
2024-09-11,0
2024-09-12,0
2024-09-13,0
2024-09-14,33
2024-09-15,85
2024-09-16,40
