Time,robert kennedy
2023-04-26,46
2023-04-27,45
2023-04-28,44
2023-04-29,67
2023-04-30,55
2023-05-01,36
2023-05-02,27
2023-05-03,23
2023-05-04,21
2023-05-05,22
2023-05-06,26
2023-05-07,24
2023-05-08,32
2023-05-09,53
2023-05-10,36
2023-05-11,22
2023-05-12,26
2023-05-13,21
2023-05-14,18
2023-05-15,16
2023-05-16,25
2023-05-17,17
2023-05-18,15
2023-05-19,15
2023-05-20,19
2023-05-21,14
2023-05-22,15
2023-05-23,14
2023-05-24,14
2023-05-25,16
2023-05-26,24
2023-05-27,15
2023-05-28,12
2023-05-29,12
2023-05-30,11
2023-05-31,12
2023-06-01,17
2023-06-02,31
2023-06-03,20
2023-06-04,20
2023-06-05,50
2023-06-06,55
2023-06-07,42
2023-06-08,38
2023-06-09,23
2023-06-10,27
2023-06-11,29
2023-06-12,19
2023-06-13,21
2023-06-14,21
2023-06-15,75
2023-06-16,100
2023-06-17,73
2023-06-18,75
2023-06-19,78
2023-06-20,73
2023-06-21,58
2023-06-22,48
2023-06-23,45
2023-06-24,37
2023-06-25,58
2023-06-26,90
2023-06-27,79
2023-06-28,67
2023-06-29,79
2023-06-30,54
2023-07-01,50
2023-07-02,42
2023-07-03,40
2023-07-04,45
2023-07-05,32
2023-07-06,33
2023-07-07,42
2023-07-08,44
2023-07-09,29
2023-07-10,34
2023-07-11,37
2023-07-12,25
2023-07-13,40
2023-07-14,39
2023-07-15,30
2023-07-16,39
2023-07-17,36
2023-07-18,45
2023-07-19,22
2023-07-20,69
2023-07-21,88
2023-07-22,43
2023-07-23,37
2023-07-24,24
2023-07-25,21
2023-07-26,77
2023-07-27,21
2023-07-28,26
2023-07-29,25
2023-07-30,21
2023-07-31,18
2023-08-01,16
2023-08-02,18
2023-08-03,19
2023-08-04,15
2023-08-05,14
2023-08-06,17
2023-08-07,15
2023-08-08,14
2023-08-09,12
2023-08-10,15
2023-08-11,16
2023-08-12,14
2023-08-13,17
2023-08-14,15
2023-08-15,21
2023-08-16,16
2023-08-17,15
2023-08-18,12
2023-08-19,13
2023-08-20,12
2023-08-21,14
2023-08-22,12
2023-08-23,13
2023-08-24,20
2023-08-25,18
2023-08-26,13
2023-08-27,16
2023-08-28,13
2023-08-29,10
2023-08-30,18
2023-08-31,12
2023-09-01,9
2023-09-02,10
2023-09-03,12
2023-09-04,11
2023-09-05,9
2023-09-06,10
2023-09-07,9
2023-09-08,11
2023-09-09,20
2023-09-10,20
2023-09-11,14
2023-09-12,12
2023-09-13,23
2023-09-14,44
2023-09-15,12
2023-09-16,36
2023-09-17,35
2023-09-18,21
2023-09-19,13
2023-09-20,14
2023-09-21,15
2023-09-22,16
2023-09-23,20
2023-09-24,14
2023-09-25,13
2023-09-26,17
2023-09-27,17
2023-09-28,17
2023-09-29,16
2023-09-30,27
2023-10-01,19
2023-10-02,16
2023-10-03,14
2023-10-04,12
2023-10-05,13
2023-10-06,13
2023-10-07,11
2023-10-08,14
2023-10-09,74
2023-10-10,74
2023-10-11,33
2023-10-12,21
2023-10-13,15
2023-10-14,14
2023-10-15,16
2023-10-16,14
2023-10-17,12
2023-10-18,14
2023-10-19,14
2023-10-20,11
2023-10-21,9
2023-10-22,9
2023-10-23,9
2023-10-24,9
2023-10-25,9
2023-10-26,17
2023-10-27,14
2023-10-28,11
2023-10-29,8
2023-10-30,9
2023-10-31,9
2023-11-01,11
2023-11-02,12
2023-11-03,14
2023-11-04,13
2023-11-05,11
2023-11-06,13
2023-11-07,18
2023-11-08,24
2023-11-09,18
2023-11-10,13
2023-11-11,14
2023-11-12,14
2023-11-13,12
2023-11-14,15
2023-11-15,16
2023-11-16,16
2023-11-17,15
2023-11-18,14
2023-11-19,17
2023-11-20,12
2023-11-21,12
2023-11-22,16
2023-11-23,16
2023-11-24,13
2023-11-25,11
2023-11-26,11
2023-11-27,10
2023-11-28,10
2023-11-29,10
2023-11-30,12
2023-12-01,12
2023-12-02,8
2023-12-03,8
2023-12-04,9
2023-12-05,10
2023-12-06,16
2023-12-07,13
2023-12-08,12
2023-12-09,10
2023-12-10,9
2023-12-11,9
2023-12-12,10
2023-12-13,10
2023-12-14,9
2023-12-15,9
2023-12-16,9
2023-12-17,7
2023-12-18,7
2023-12-19,8
2023-12-20,11
2023-12-21,10
2023-12-22,8
2023-12-23,9
2023-12-24,8
2023-12-25,8
2023-12-26,8
2023-12-27,8
2023-12-28,10
2023-12-29,9
2023-12-30,8
2023-12-31,9
2024-01-01,10
2024-01-02,10
2024-01-03,13
2024-01-04,12
2024-01-05,12
2024-01-06,12
2024-01-07,11
2024-01-08,9
2024-01-09,11
2024-01-10,11
2024-01-11,11
2024-01-12,10
2024-01-13,9
2024-01-14,11
2024-01-15,11
2024-01-16,13
2024-01-17,12
2024-01-18,11
2024-01-19,10
2024-01-20,10
