Time,electoral votes by state
2025-12-11,72
2025-12-12,55
2025-12-13,0
2025-12-14,0
2025-12-15,45
2025-12-16,39
2025-12-17,49
2025-12-18,54
2025-12-19,0
2025-12-20,0
2025-12-21,49
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,0
2025-12-31,0
2026-01-01,0
2026-01-02,0
2026-01-03,0
2026-01-04,0
2026-01-05,0
2026-01-06,0
2026-01-07,0
2026-01-08,35
2026-01-09,43
2026-01-10,0
2026-01-11,0
2026-01-12,43
2026-01-13,45
2026-01-14,81
2026-01-15,56
2026-01-16,0
2026-01-17,0
2026-01-18,0
2026-01-19,0
2026-01-20,36
2026-01-21,43
2026-01-22,41
2026-01-23,54
2026-01-24,0
2026-01-25,49
2026-01-26,0
2026-01-27,64
2026-01-28,50
2026-01-29,60
2026-01-30,57
2026-01-31,40
2026-02-01,0
2026-02-02,46
2026-02-03,50
2026-02-04,81
2026-02-05,100
2026-02-06,77
2026-02-07,96
2026-02-08,97
2026-02-09,59
2026-02-10,73
2026-02-11,56
2026-02-12,0
2026-02-13,36
2026-02-14,0
2026-02-15,46
2026-02-16,54
2026-02-17,62
2026-02-18,0
2026-02-19,49
2026-02-20,0
2026-02-21,0
2026-02-22,0
2026-02-23,66
2026-02-24,53
2026-02-25,43
2026-02-26,73
2026-02-27,41
2026-02-28,0
2026-03-01,0
2026-03-02,65
2026-03-03,70
2026-03-04,64
2026-03-05,0
2026-03-06,0
2026-03-07,0
2026-03-08,0
2026-03-09,60
2026-03-10,62
2026-03-11,42
2026-03-12,63
2026-03-13,56
2026-03-14,0
2026-03-15,0
2026-03-16,0
2026-03-17,0
2026-03-18,44
2026-03-19,47
2026-03-20,52
2026-03-21,0
2026-03-22,0
2026-03-23,60
2026-03-24,0
2026-03-25,69
2026-03-26,0
2026-03-27,46
2026-03-28,0
2026-03-29,0
2026-03-30,49
2026-03-31,37
2026-04-01,55
2026-04-02,34
2026-04-03,0
2026-04-04,0
2026-04-05,0
2026-04-06,43
2026-04-07,0
2026-04-08,38
2026-04-09,76
2026-04-10,0
2026-04-11,0
2026-04-12,0
2026-04-13,64
2026-04-14,57
2026-04-15,66
2026-04-16,49
2026-04-17,69
2026-04-18,0
2026-04-19,0
2026-04-20,41
2026-04-21,79
2026-04-22,72
2026-04-23,59
2026-04-24,60
2026-04-25,0
2026-04-26,0
2026-04-27,50
2026-04-28,66
2026-04-29,44
2026-04-30,47
2026-05-01,62
2026-05-02,45
2026-05-03,53
2026-05-04,74
2026-05-05,72
2026-05-06,42
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,0
2026-05-11,66
2026-05-12,87
2026-05-13,50
2026-05-14,39
2026-05-15,0
2026-05-16,0
2026-05-17,0
2026-05-18,0
2026-05-19,0
2026-05-20,0
2026-05-21,41
2026-05-22,0
2026-05-23,0
2026-05-24,0
2026-05-25,0
2026-05-26,0
2026-05-27,36
2026-05-28,0
2026-05-29,0
2026-05-30,0
2026-05-31,0
