Time,milwaukee bucks
2025-04-15,17
2025-04-16,16
2025-04-17,16
2025-04-18,14
2025-04-19,100
2025-04-20,32
2025-04-21,20
2025-04-22,46
2025-04-23,76
2025-04-24,18
2025-04-25,30
2025-04-26,80
2025-04-27,43
2025-04-28,100
2025-04-29,60
2025-04-30,95
2025-05-01,22
2025-05-02,16
2025-05-03,12
2025-05-04,13
2025-05-05,13
2025-05-06,9
2025-05-07,8
2025-05-08,8
2025-05-09,6
2025-05-10,8
2025-05-11,7
2025-05-12,11
2025-05-13,11
2025-05-14,9
2025-05-15,8
2025-05-16,8
2025-05-17,9
2025-05-18,6
2025-05-19,7
2025-05-20,8
2025-05-21,8
2025-05-22,8
2025-05-23,8
2025-05-24,8
2025-05-25,7
2025-05-26,8
2025-05-27,8
2025-05-28,7
2025-05-29,7
2025-05-30,7
2025-05-31,7
2025-06-01,6
2025-06-02,7
2025-06-03,7
2025-06-04,6
2025-06-05,7
2025-06-06,9
2025-06-07,6
2025-06-08,8
2025-06-09,7
2025-06-10,8
2025-06-11,6
2025-06-12,6
2025-06-13,6
2025-06-14,6
2025-06-15,7
2025-06-16,7
2025-06-17,7
2025-06-18,6
2025-06-19,6
2025-06-20,6
2025-06-21,7
2025-06-22,9
2025-06-23,10
2025-06-24,10
2025-06-25,13
2025-06-26,19
2025-06-27,23
2025-06-28,12
2025-06-29,15
2025-06-30,13
2025-07-01,57
2025-07-02,32
2025-07-03,20
2025-07-04,16
2025-07-05,14
2025-07-06,15
2025-07-07,14
2025-07-08,16
2025-07-09,13
2025-07-10,15
2025-07-11,16
2025-07-12,13
2025-07-13,15
2025-07-14,14
2025-07-15,11
2025-07-16,12
2025-07-17,14
2025-07-18,13
2025-07-19,10
2025-07-20,10
2025-07-21,9
2025-07-22,9
2025-07-23,10
2025-07-24,8
2025-07-25,8
2025-07-26,7
2025-07-27,8
2025-07-28,9
2025-07-29,7
2025-07-30,8
2025-07-31,8
2025-08-01,7
2025-08-02,5
2025-08-03,8
2025-08-04,6
2025-08-05,6
2025-08-06,7
2025-08-07,6
2025-08-08,6
2025-08-09,6
2025-08-10,7
2025-08-11,5
2025-08-12,5
2025-08-13,5
2025-08-14,7
2025-08-15,8
2025-08-16,5
2025-08-17,6
2025-08-18,5
2025-08-19,4
2025-08-20,6
2025-08-21,6
2025-08-22,6
2025-08-23,6
2025-08-24,5
2025-08-25,6
2025-08-26,6
2025-08-27,5
2025-08-28,5
2025-08-29,4
2025-08-30,4
2025-08-31,7
2025-09-01,6
2025-09-02,6
2025-09-03,6
2025-09-04,6
2025-09-05,4
2025-09-06,5
2025-09-07,4
2025-09-08,3
2025-09-09,5
2025-09-10,5
2025-09-11,4
2025-09-12,4
2025-09-13,4
2025-09-14,4
2025-09-15,5
2025-09-16,5
2025-09-17,4
2025-09-18,5
2025-09-19,4
2025-09-20,4
2025-09-21,4
2025-09-22,5
2025-09-23,5
2025-09-24,4
2025-09-25,5
2025-09-26,5
2025-09-27,5
2025-09-28,4
2025-09-29,6
2025-09-30,6
2025-10-01,6
2025-10-02,6
2025-10-03,6
2025-10-04,7
2025-10-05,5
2025-10-06,9
2025-10-07,13
2025-10-08,8
2025-10-09,9
2025-10-10,12
2025-10-11,7
2025-10-12,12
2025-10-13,13
2025-10-14,13
2025-10-15,15
2025-10-16,10
2025-10-17,10
2025-10-18,11
2025-10-19,10
2025-10-20,11
2025-10-21,15
2025-10-22,27
2025-10-23,49
2025-10-24,35
2025-10-25,39
2025-10-26,31
2025-10-27,25
2025-10-28,26
2025-10-29,55
2025-10-30,32
2025-10-31,59
2025-11-01,60
2025-11-02,22
2025-11-03,23
2025-11-04,50
2025-11-05,40
2025-11-06,15
2025-11-07,20
2025-11-08,41
2025-11-09,41
2025-11-10,20
2025-11-11,37
2025-11-12,22
2025-11-13,26
2025-11-14,19
2025-11-15,49
2025-11-16,57
2025-11-17,21
2025-11-18,33
2025-11-19,13
2025-11-20,22
2025-11-21,36
2025-11-22,22
2025-11-23,30
2025-11-24,15
2025-11-25,21
2025-11-26,19
2025-11-27,25
2025-11-28,19
2025-11-29,45
2025-11-30,28
2025-12-01,18
2025-12-02,27
2025-12-03,27
2025-12-04,39
2025-12-05,18
2025-12-06,31
2025-12-07,24
2025-12-08,11
2025-12-09,12
2025-12-10,13
2025-12-11,21
2025-12-12,29
2025-12-13,15
2025-12-14,18
2025-12-15,16
2025-12-16,9
2025-12-17,12
2025-12-18,16
2025-12-19,19
2025-12-20,11
2025-12-21,17
2025-12-22,22
2025-12-23,15
2025-12-24,20
2025-12-25,10
2025-12-26,16
2025-12-27,29
2025-12-28,30
2025-12-29,19
2025-12-30,27
2025-12-31,16
2026-01-01,26
2026-01-02,16
2026-01-03,31
2026-01-04,14
2026-01-05,22
2026-01-06,14
2026-01-07,14
2026-01-08,29
2026-01-09,17
