Time,milwaukee bucks
2022-08-29,2
2022-08-30,2
2022-08-31,2
2022-09-01,3
2022-09-02,2
2022-09-03,2
2022-09-04,3
2022-09-05,2
2022-09-06,2
2022-09-07,3
2022-09-08,2
2022-09-09,2
2022-09-10,2
2022-09-11,2
2022-09-12,2
2022-09-13,2
2022-09-14,2
2022-09-15,3
2022-09-16,2
2022-09-17,2
2022-09-18,3
2022-09-19,3
2022-09-20,3
2022-09-21,2
2022-09-22,2
2022-09-23,3
2022-09-24,2
2022-09-25,3
2022-09-26,3
2022-09-27,3
2022-09-28,3
2022-09-29,3
2022-09-30,3
2022-10-01,5
2022-10-02,7
2022-10-03,4
2022-10-04,4
2022-10-05,4
2022-10-06,6
2022-10-07,5
2022-10-08,5
2022-10-09,4
2022-10-10,4
2022-10-11,5
2022-10-12,7
2022-10-13,8
2022-10-14,4
2022-10-15,4
2022-10-16,4
2022-10-17,4
2022-10-18,5
2022-10-19,7
2022-10-20,13
2022-10-21,21
2022-10-22,11
2022-10-23,18
2022-10-24,7
2022-10-25,8
2022-10-26,11
2022-10-27,24
2022-10-28,12
2022-10-29,23
2022-10-30,20
2022-10-31,10
2022-11-01,18
2022-11-02,11
2022-11-03,22
2022-11-04,12
2022-11-05,35
2022-11-06,25
2022-11-07,12
2022-11-08,20
2022-11-09,9
2022-11-10,23
2022-11-11,13
2022-11-12,19
2022-11-13,10
2022-11-14,10
2022-11-15,15
2022-11-16,9
2022-11-17,18
2022-11-18,10
2022-11-19,22
2022-11-20,8
2022-11-21,9
2022-11-22,15
2022-11-23,9
2022-11-24,17
2022-11-25,9
2022-11-26,16
2022-11-27,10
2022-11-28,15
2022-11-29,9
2022-11-30,9
2022-12-01,14
2022-12-02,10
2022-12-03,27
2022-12-04,14
2022-12-05,9
2022-12-06,14
2022-12-07,9
2022-12-08,15
2022-12-09,8
2022-12-10,25
2022-12-11,11
2022-12-12,12
2022-12-13,10
2022-12-14,22
2022-12-15,11
2022-12-16,19
2022-12-17,12
2022-12-18,15
2022-12-19,9
2022-12-20,16
2022-12-21,11
2022-12-22,17
2022-12-23,10
2022-12-24,16
2022-12-25,21
2022-12-26,19
2022-12-27,8
2022-12-28,10
2022-12-29,19
2022-12-30,9
2022-12-31,18
2023-01-01,10
2023-01-02,14
2023-01-03,9
2023-01-04,19
2023-01-05,22
2023-01-06,11
2023-01-07,19
2023-01-08,7
2023-01-09,10
2023-01-10,16
2023-01-11,9
2023-01-12,18
2023-01-13,13
2023-01-14,17
2023-01-15,8
2023-01-16,16
2023-01-17,12
2023-01-18,18
2023-01-19,7
2023-01-20,8
2023-01-21,11
2023-01-22,13
2023-01-23,9
2023-01-24,16
2023-01-25,10
2023-01-26,15
2023-01-27,12
2023-01-28,19
2023-01-29,11
2023-01-30,16
2023-01-31,11
2023-02-01,17
2023-02-02,10
2023-02-03,24
2023-02-04,14
2023-02-05,23
2023-02-06,11
2023-02-07,21
2023-02-08,12
2023-02-09,26
2023-02-10,31
2023-02-11,26
2023-02-12,13
2023-02-13,9
2023-02-14,13
2023-02-15,29
2023-02-16,13
2023-02-17,25
2023-02-18,10
2023-02-19,8
2023-02-20,9
2023-02-21,8
2023-02-22,8
2023-02-23,8
2023-02-24,12
2023-02-25,29
2023-02-26,32
2023-02-27,16
2023-02-28,15
2023-03-01,28
2023-03-02,24
2023-03-03,13
2023-03-04,19
2023-03-05,43
2023-03-06,22
2023-03-07,14
2023-03-08,19
2023-03-09,11
2023-03-10,21
2023-03-11,13
2023-03-12,32
2023-03-13,12
2023-03-14,26
2023-03-15,23
2023-03-16,13
2023-03-17,18
2023-03-18,11
2023-03-19,14
2023-03-20,18
2023-03-21,11
2023-03-22,11
2023-03-23,17
2023-03-24,10
2023-03-25,25
2023-03-26,22
2023-03-27,12
2023-03-28,17
2023-03-29,15
2023-03-30,28
2023-03-31,25
2023-04-01,12
2023-04-02,15
2023-04-03,21
2023-04-04,14
2023-04-05,24
2023-04-06,23
2023-04-07,13
2023-04-08,23
2023-04-09,16
2023-04-10,10
2023-04-11,9
2023-04-12,10
2023-04-13,10
2023-04-14,10
2023-04-15,15
2023-04-16,60
2023-04-17,37
2023-04-18,14
2023-04-19,23
2023-04-20,50
2023-04-21,15
2023-04-22,35
2023-04-23,52
2023-04-24,26
2023-04-25,55
2023-04-26,24
2023-04-27,100
2023-04-28,12
2023-04-29,9
2023-04-30,8
2023-05-01,5
2023-05-02,5
2023-05-03,4
2023-05-04,10
2023-05-05,13
2023-05-06,7
2023-05-07,5
2023-05-08,5
2023-05-09,5
2023-05-10,5
2023-05-11,4
2023-05-12,4
2023-05-13,5
2023-05-14,6
2023-05-15,6
2023-05-16,5
2023-05-17,5
2023-05-18,5
2023-05-19,4
2023-05-20,5
2023-05-21,5
2023-05-22,5
2023-05-23,6
2023-05-24,4
2023-05-25,4
