Time,prime video
2024-08-18,48
2024-08-19,39
2024-08-20,39
2024-08-21,39
2024-08-22,37
2024-08-23,41
2024-08-24,48
2024-08-25,49
2024-08-26,42
2024-08-27,35
2024-08-28,38
2024-08-29,41
2024-08-30,40
2024-08-31,46
2024-09-01,49
2024-09-02,51
2024-09-03,36
2024-09-04,37
2024-09-05,41
2024-09-06,46
2024-09-07,46
2024-09-08,50
2024-09-09,36
2024-09-10,35
2024-09-11,34
2024-09-12,50
2024-09-13,88
2024-09-14,49
2024-09-15,49
2024-09-16,38
2024-09-17,39
2024-09-18,37
2024-09-19,43
2024-09-20,68
2024-09-21,48
2024-09-22,47
2024-09-23,42
2024-09-24,37
2024-09-25,36
2024-09-26,47
2024-09-27,78
2024-09-28,49
2024-09-29,47
2024-09-30,41
2024-10-01,37
2024-10-02,34
2024-10-03,45
2024-10-04,74
2024-10-05,49
2024-10-06,48
2024-10-07,39
2024-10-08,38
2024-10-09,39
2024-10-10,43
2024-10-11,68
2024-10-12,48
2024-10-13,48
2024-10-14,41
2024-10-15,46
2024-10-16,40
2024-10-17,45
2024-10-18,58
2024-10-19,46
2024-10-20,49
2024-10-21,43
2024-10-22,37
2024-10-23,38
2024-10-24,39
2024-10-25,62
2024-10-26,44
2024-10-27,53
2024-10-28,39
2024-10-29,37
2024-10-30,36
2024-10-31,45
2024-11-01,62
2024-11-02,47
2024-11-03,50
2024-11-04,39
2024-11-05,36
2024-11-06,29
2024-11-07,37
2024-11-08,72
2024-11-09,46
2024-11-10,51
2024-11-11,43
2024-11-12,38
2024-11-13,39
2024-11-14,40
2024-11-15,69
2024-11-16,42
2024-11-17,49
2024-11-18,40
2024-11-19,38
2024-11-20,42
2024-11-21,43
2024-11-22,82
2024-11-23,46
2024-11-24,51
2024-11-25,44
2024-11-26,45
2024-11-27,45
2024-11-28,50
2024-11-29,72
2024-11-30,48
2024-12-01,49
2024-12-02,46
2024-12-03,39
2024-12-04,36
2024-12-05,39
2024-12-06,77
2024-12-07,47
2024-12-08,49
2024-12-09,39
2024-12-10,40
2024-12-11,43
2024-12-12,47
2024-12-13,68
2024-12-14,50
2024-12-15,57
2024-12-16,45
2024-12-17,46
2024-12-18,51
2024-12-19,63
2024-12-20,90
2024-12-21,54
2024-12-22,50
2024-12-23,54
2024-12-24,54
2024-12-25,58
2024-12-26,57
2024-12-27,75
2024-12-28,57
2024-12-29,54
2024-12-30,50
2024-12-31,52
2025-01-01,52
2025-01-02,57
2025-01-03,51
2025-01-04,50
2025-01-05,53
2025-01-06,47
2025-01-07,42
2025-01-08,42
2025-01-09,42
2025-01-10,47
2025-01-11,52
2025-01-12,100
2025-01-13,41
2025-01-14,38
2025-01-15,38
2025-01-16,41
2025-01-17,42
2025-01-18,47
2025-01-19,46
2025-01-20,45
2025-01-21,42
2025-01-22,42
2025-01-23,41
2025-01-24,43
2025-01-25,48
2025-01-26,52
2025-01-27,41
2025-01-28,37
2025-01-29,37
2025-01-30,43
2025-01-31,42
2025-02-01,51
2025-02-02,49
2025-02-03,40
2025-02-04,35
2025-02-05,35
2025-02-06,46
2025-02-07,50
2025-02-08,53
2025-02-09,60
2025-02-10,39
2025-02-11,42
2025-02-12,40
2025-02-13,52
2025-02-14,53
2025-02-15,58
2025-02-16,57
2025-02-17,51
2025-02-18,44
2025-02-19,45
2025-02-20,48
2025-02-21,50
2025-02-22,54
2025-02-23,55
2025-02-24,46
2025-02-25,39
2025-02-26,38
2025-02-27,47
2025-02-28,48
2025-03-01,50
2025-03-02,55
2025-03-03,42
2025-03-04,44
2025-03-05,41
2025-03-06,51
2025-03-07,50
2025-03-08,50
2025-03-09,53
2025-03-10,41
2025-03-11,40
2025-03-12,41
2025-03-13,57
2025-03-14,51
2025-03-15,53
2025-03-16,53
2025-03-17,43
2025-03-18,42
2025-03-19,42
2025-03-20,40
2025-03-21,40
2025-03-22,55
2025-03-23,56
2025-03-24,41
2025-03-25,41
2025-03-26,39
2025-03-27,43
2025-03-28,45
2025-03-29,47
2025-03-30,52
2025-03-31,39
2025-04-01,37
2025-04-02,39
2025-04-03,39
2025-04-04,41
2025-04-05,47
2025-04-06,48
2025-04-07,40
2025-04-08,38
2025-04-09,38
2025-04-10,39
2025-04-11,43
2025-04-12,46
2025-04-13,51
2025-04-14,42
2025-04-15,40
2025-04-16,43
2025-04-17,43
2025-04-18,45
2025-04-19,46
2025-04-20,50
2025-04-21,42
2025-04-22,41
2025-04-23,40
2025-04-24,43
2025-04-25,42
2025-04-26,44
2025-04-27,49
2025-04-28,40
2025-04-29,40
2025-04-30,38
2025-05-01,40
2025-05-02,47
2025-05-03,47
2025-05-04,55
2025-05-05,39
2025-05-06,41
2025-05-07,41
2025-05-08,38
2025-05-09,45
2025-05-10,49
2025-05-11,45
2025-05-12,41
2025-05-13,39
2025-05-14,39
