Time,prime video
2023-12-22,98
2023-12-23,62
2023-12-24,60
2023-12-25,68
2023-12-26,64
2023-12-27,70
2023-12-28,67
2023-12-29,89
2023-12-30,65
2023-12-31,63
2024-01-01,63
2024-01-02,60
2024-01-03,56
2024-01-04,56
2024-01-05,55
2024-01-06,63
2024-01-07,65
2024-01-08,55
2024-01-09,47
2024-01-10,51
2024-01-11,52
2024-01-12,56
2024-01-13,64
2024-01-14,64
2024-01-15,63
2024-01-16,55
2024-01-17,54
2024-01-18,52
2024-01-19,67
2024-01-20,68
2024-01-21,66
2024-01-22,56
2024-01-23,53
2024-01-24,51
2024-01-25,52
2024-01-26,62
2024-01-27,74
2024-01-28,70
2024-01-29,57
2024-01-30,62
2024-01-31,55
2024-02-01,57
2024-02-02,71
2024-02-03,75
2024-02-04,73
2024-02-05,58
2024-02-06,53
2024-02-07,49
2024-02-08,49
2024-02-09,47
2024-02-10,68
2024-02-11,68
2024-02-12,50
2024-02-13,53
2024-02-14,53
2024-02-15,51
2024-02-16,60
2024-02-17,62
2024-02-18,68
2024-02-19,58
2024-02-20,47
2024-02-21,47
2024-02-22,47
2024-02-23,49
2024-02-24,53
2024-02-25,56
2024-02-26,53
2024-02-27,44
2024-02-28,42
2024-02-29,45
2024-03-01,51
2024-03-02,55
2024-03-03,53
2024-03-04,45
2024-03-05,44
2024-03-06,46
2024-03-07,46
2024-03-08,47
2024-03-09,55
2024-03-10,60
2024-03-11,45
2024-03-12,45
2024-03-13,43
2024-03-14,46
2024-03-15,49
2024-03-16,54
2024-03-17,56
2024-03-18,47
2024-03-19,43
2024-03-20,45
2024-03-21,57
2024-03-22,51
2024-03-23,61
2024-03-24,60
2024-03-25,50
2024-03-26,51
2024-03-27,45
2024-03-28,54
2024-03-29,53
2024-03-30,57
2024-03-31,59
2024-04-01,51
2024-04-02,45
2024-04-03,44
2024-04-04,51
2024-04-05,53
2024-04-06,53
2024-04-07,54
2024-04-08,43
2024-04-09,49
2024-04-10,49
2024-04-11,64
2024-04-12,59
2024-04-13,60
2024-04-14,66
2024-04-15,56
2024-04-16,53
2024-04-17,57
2024-04-18,57
2024-04-19,55
2024-04-20,58
2024-04-21,65
2024-04-22,54
2024-04-23,49
2024-04-24,48
2024-04-25,50
2024-04-26,52
2024-04-27,54
2024-04-28,58
2024-04-29,50
2024-04-30,54
2024-05-01,47
2024-05-02,47
2024-05-03,54
2024-05-04,60
2024-05-05,68
2024-05-06,54
2024-05-07,45
2024-05-08,46
2024-05-09,49
2024-05-10,53
2024-05-11,57
2024-05-12,56
2024-05-13,49
2024-05-14,49
2024-05-15,47
2024-05-16,54
2024-05-17,54
2024-05-18,56
2024-05-19,56
2024-05-20,53
2024-05-21,55
2024-05-22,50
2024-05-23,49
2024-05-24,54
2024-05-25,57
2024-05-26,56
2024-05-27,58
2024-05-28,51
2024-05-29,47
2024-05-30,52
2024-05-31,49
2024-06-01,52
2024-06-02,58
2024-06-03,48
2024-06-04,45
2024-06-05,49
2024-06-06,48
2024-06-07,49
2024-06-08,52
2024-06-09,52
2024-06-10,48
2024-06-11,49
2024-06-12,46
2024-06-13,57
2024-06-14,58
2024-06-15,61
2024-06-16,63
2024-06-17,57
2024-06-18,50
2024-06-19,55
2024-06-20,62
2024-06-21,57
2024-06-22,60
2024-06-23,61
2024-06-24,55
2024-06-25,49
2024-06-26,49
2024-06-27,58
2024-06-28,56
2024-06-29,58
2024-06-30,60
2024-07-01,50
2024-07-02,51
2024-07-03,49
2024-07-04,64
2024-07-05,64
2024-07-06,58
2024-07-07,58
2024-07-08,52
2024-07-09,54
2024-07-10,49
2024-07-11,57
2024-07-12,60
2024-07-13,59
2024-07-14,58
2024-07-15,53
2024-07-16,62
2024-07-17,53
2024-07-18,68
2024-07-19,57
2024-07-20,59
2024-07-21,58
2024-07-22,50
2024-07-23,47
2024-07-24,48
2024-07-25,48
2024-07-26,47
2024-07-27,53
2024-07-28,52
2024-07-29,47
2024-07-30,45
2024-07-31,44
2024-08-01,47
2024-08-02,45
2024-08-03,50
2024-08-04,55
2024-08-05,46
2024-08-06,42
2024-08-07,44
2024-08-08,44
2024-08-09,48
2024-08-10,50
2024-08-11,52
2024-08-12,44
2024-08-13,48
2024-08-14,44
2024-08-15,43
2024-08-16,44
2024-08-17,53
2024-08-18,54
2024-08-19,45
2024-08-20,44
2024-08-21,44
2024-08-22,42
2024-08-23,47
2024-08-24,55
2024-08-25,55
2024-08-26,48
2024-08-27,40
2024-08-28,44
2024-08-29,47
2024-08-30,45
2024-08-31,52
2024-09-01,55
2024-09-02,58
2024-09-03,41
2024-09-04,42
2024-09-05,46
2024-09-06,52
2024-09-07,53
2024-09-08,56
2024-09-09,41
2024-09-10,40
2024-09-11,38
2024-09-12,57
2024-09-13,100
2024-09-14,56
2024-09-15,56
2024-09-16,43
