Time,padres
2023-12-22,8
2023-12-23,8
2023-12-24,8
2023-12-25,7
2023-12-26,7
2023-12-27,6
2023-12-28,7
2023-12-29,6
2023-12-30,7
2023-12-31,6
2024-01-01,6
2024-01-02,7
2024-01-03,8
2024-01-04,8
2024-01-05,6
2024-01-06,6
2024-01-07,7
2024-01-08,7
2024-01-09,7
2024-01-10,8
2024-01-11,7
2024-01-12,7
2024-01-13,6
2024-01-14,6
2024-01-15,6
2024-01-16,7
2024-01-17,8
2024-01-18,8
2024-01-19,8
2024-01-20,7
2024-01-21,7
2024-01-22,7
2024-01-23,7
2024-01-24,8
2024-01-25,8
2024-01-26,8
2024-01-27,7
2024-01-28,7
2024-01-29,7
2024-01-30,9
2024-01-31,8
2024-02-01,9
2024-02-02,8
2024-02-03,7
2024-02-04,8
2024-02-05,8
2024-02-06,9
2024-02-07,8
2024-02-08,9
2024-02-09,8
2024-02-10,9
2024-02-11,8
2024-02-12,8
2024-02-13,10
2024-02-14,9
2024-02-15,9
2024-02-16,11
2024-02-17,9
2024-02-18,11
2024-02-19,9
2024-02-20,10
2024-02-21,12
2024-02-22,23
2024-02-23,21
2024-02-24,21
2024-02-25,15
2024-02-26,14
2024-02-27,13
2024-02-28,12
2024-02-29,12
2024-03-01,13
2024-03-02,13
2024-03-03,14
2024-03-04,13
2024-03-05,11
2024-03-06,12
2024-03-07,10
2024-03-08,10
2024-03-09,14
2024-03-10,12
2024-03-11,12
2024-03-12,12
2024-03-13,16
2024-03-14,22
2024-03-15,13
2024-03-16,14
2024-03-17,18
2024-03-18,18
2024-03-19,20
2024-03-20,59
2024-03-21,57
2024-03-22,19
2024-03-23,14
2024-03-24,15
2024-03-25,18
2024-03-26,28
2024-03-27,19
2024-03-28,57
2024-03-29,36
2024-03-30,66
2024-03-31,67
2024-04-01,30
2024-04-02,42
2024-04-03,49
2024-04-04,24
2024-04-05,30
2024-04-06,24
2024-04-07,42
2024-04-08,21
2024-04-09,43
2024-04-10,43
2024-04-11,30
2024-04-12,21
2024-04-13,64
2024-04-14,100
2024-04-15,57
2024-04-16,36
2024-04-17,45
2024-04-18,22
2024-04-19,24
2024-04-20,45
2024-04-21,54
2024-04-22,25
2024-04-23,32
2024-04-24,31
2024-04-25,42
2024-04-26,23
2024-04-27,45
2024-04-28,54
2024-04-29,24
2024-04-30,30
2024-05-01,35
2024-05-02,19
2024-05-03,18
2024-05-04,40
2024-05-05,49
2024-05-06,25
2024-05-07,41
2024-05-08,39
2024-05-09,21
2024-05-10,23
2024-05-11,59
2024-05-12,83
2024-05-13,35
2024-05-14,39
2024-05-15,51
2024-05-16,18
2024-05-17,21
2024-05-18,39
2024-05-19,50
2024-05-20,63
2024-05-21,34
2024-05-22,30
2024-05-23,40
2024-05-24,26
2024-05-25,52
2024-05-26,76
2024-05-27,40
2024-05-28,34
2024-05-29,43
2024-05-30,22
2024-05-31,22
2024-06-01,43
2024-06-02,39
2024-06-03,26
2024-06-04,42
2024-06-05,40
2024-06-06,36
2024-06-07,39
2024-06-08,48
2024-06-09,59
2024-06-10,29
2024-06-11,41
2024-06-12,50
2024-06-13,27
2024-06-14,29
2024-06-15,49
2024-06-16,66
2024-06-17,32
2024-06-18,35
2024-06-19,39
2024-06-20,25
2024-06-21,45
2024-06-22,51
2024-06-23,59
2024-06-24,26
2024-06-25,40
2024-06-26,51
2024-06-27,24
2024-06-28,25
2024-06-29,53
2024-06-30,43
2024-07-01,21
2024-07-02,21
2024-07-03,31
2024-07-04,49
2024-07-05,29
2024-07-06,58
2024-07-07,76
2024-07-08,23
2024-07-09,22
2024-07-10,44
2024-07-11,31
2024-07-12,24
2024-07-13,47
2024-07-14,49
2024-07-15,18
2024-07-16,13
2024-07-17,13
2024-07-18,13
2024-07-19,20
2024-07-20,34
2024-07-21,37
2024-07-22,18
2024-07-23,21
2024-07-24,28
2024-07-25,55
2024-07-26,31
2024-07-27,50
2024-07-28,48
2024-07-29,23
2024-07-30,36
2024-07-31,70
2024-08-01,58
2024-08-02,26
2024-08-03,48
2024-08-04,54
2024-08-05,24
2024-08-06,29
2024-08-07,46
2024-08-08,58
2024-08-09,33
2024-08-10,54
2024-08-11,55
2024-08-12,27
2024-08-13,47
2024-08-14,66
2024-08-15,31
2024-08-16,26
2024-08-17,47
2024-08-18,67
2024-08-19,26
2024-08-20,45
2024-08-21,56
2024-08-22,42
2024-08-23,51
2024-08-24,56
2024-08-25,75
2024-08-26,35
2024-08-27,38
2024-08-28,41
2024-08-29,45
2024-08-30,29
2024-08-31,48
2024-09-01,50
2024-09-02,41
2024-09-03,35
2024-09-04,29
2024-09-05,53
2024-09-06,40
2024-09-07,56
2024-09-08,60
2024-09-09,22
2024-09-10,21
2024-09-11,40
2024-09-12,37
2024-09-13,21
2024-09-14,47
2024-09-15,60
2024-09-16,31
