Time,avatar
2022-01-01,25
2022-01-02,25
2022-01-03,21
2022-01-04,23
2022-01-05,21
2022-01-06,16
2022-01-07,19
2022-01-08,26
2022-01-09,30
2022-01-10,18
2022-01-11,17
2022-01-12,19
2022-01-13,21
2022-01-14,16
2022-01-15,23
2022-01-16,24
2022-01-17,19
2022-01-18,17
2022-01-19,19
2022-01-20,19
2022-01-21,17
2022-01-22,26
2022-01-23,23
2022-01-24,22
2022-01-25,16
2022-01-26,18
2022-01-27,18
2022-01-28,19
2022-01-29,23
2022-01-30,23
2022-01-31,17
2022-02-01,18
2022-02-02,21
2022-02-03,23
2022-02-04,24
2022-02-05,28
2022-02-06,26
2022-02-07,26
2022-02-08,20
2022-02-09,19
2022-02-10,15
2022-02-11,18
2022-02-12,21
2022-02-13,22
2022-02-14,18
2022-02-15,19
2022-02-16,18
2022-02-17,18
2022-02-18,19
2022-02-19,26
2022-02-20,24
2022-02-21,20
2022-02-22,19
2022-02-23,19
2022-02-24,17
2022-02-25,17
2022-02-26,22
2022-02-27,25
2022-02-28,18
2022-03-01,18
2022-03-02,17
2022-03-03,18
2022-03-04,19
2022-03-05,22
2022-03-06,23
2022-03-07,20
2022-03-08,18
2022-03-09,18
2022-03-10,20
2022-03-11,18
2022-03-12,22
2022-03-13,23
2022-03-14,18
2022-03-15,18
2022-03-16,19
2022-03-17,18
2022-03-18,19
2022-03-19,22
2022-03-20,24
2022-03-21,21
2022-03-22,22
2022-03-23,21
2022-03-24,20
2022-03-25,20
2022-03-26,22
2022-03-27,23
2022-03-28,19
2022-03-29,18
2022-03-30,20
2022-03-31,19
2022-04-01,20
2022-04-02,24
2022-04-03,23
2022-04-04,18
2022-04-05,18
2022-04-06,18
2022-04-07,19
2022-04-08,18
2022-04-09,21
2022-04-10,24
2022-04-11,20
2022-04-12,23
2022-04-13,19
2022-04-14,24
2022-04-15,21
2022-04-16,23
2022-04-17,26
2022-04-18,20
2022-04-19,19
2022-04-20,18
2022-04-21,22
2022-04-22,20
2022-04-23,23
2022-04-24,23
2022-04-25,20
2022-04-26,19
2022-04-27,24
2022-04-28,42
2022-04-29,27
2022-04-30,30
2022-05-01,30
2022-05-02,24
2022-05-03,23
2022-05-04,23
2022-05-05,23
2022-05-06,30
2022-05-07,40
2022-05-08,39
2022-05-09,72
2022-05-10,71
2022-05-11,48
2022-05-12,38
2022-05-13,31
2022-05-14,33
2022-05-15,37
2022-05-16,32
2022-05-17,28
2022-05-18,27
2022-05-19,26
2022-05-20,26
2022-05-21,32
2022-05-22,32
2022-05-23,26
2022-05-24,26
2022-05-25,22
2022-05-26,24
2022-05-27,29
2022-05-28,28
2022-05-29,29
2022-05-30,29
2022-05-31,29
2022-06-01,25
2022-06-02,24
2022-06-03,23
2022-06-04,28
2022-06-05,28
2022-06-06,23
2022-06-07,22
2022-06-08,23
2022-06-09,23
2022-06-10,27
2022-06-11,26
2022-06-12,26
2022-06-13,24
2022-06-14,22
2022-06-15,24
2022-06-16,24
2022-06-17,24
2022-06-18,29
2022-06-19,32
2022-06-20,26
2022-06-21,25
2022-06-22,24
2022-06-23,26
2022-06-24,22
2022-06-25,25
2022-06-26,28
2022-06-27,24
2022-06-28,22
2022-06-29,24
2022-06-30,23
2022-07-01,23
2022-07-02,26
2022-07-03,28
2022-07-04,28
2022-07-05,27
2022-07-06,25
2022-07-07,25
2022-07-08,27
2022-07-09,30
2022-07-10,30
2022-07-11,26
2022-07-12,25
2022-07-13,24
2022-07-14,24
2022-07-15,23
2022-07-16,30
2022-07-17,28
2022-07-18,23
2022-07-19,24
2022-07-20,23
2022-07-21,23
2022-07-22,24
2022-07-23,30
2022-07-24,32
2022-07-25,26
2022-07-26,25
2022-07-27,24
2022-07-28,25
2022-07-29,24
2022-07-30,25
2022-07-31,28
2022-08-01,25
2022-08-02,23
2022-08-03,26
2022-08-04,23
2022-08-05,22
2022-08-06,25
2022-08-07,28
2022-08-08,22
2022-08-09,24
2022-08-10,21
2022-08-11,21
2022-08-12,25
2022-08-13,24
2022-08-14,27
2022-08-15,21
2022-08-16,21
2022-08-17,21
2022-08-18,20
2022-08-19,20
2022-08-20,26
2022-08-21,26
2022-08-22,20
2022-08-23,23
2022-08-24,25
2022-08-25,21
2022-08-26,20
2022-08-27,24
2022-08-28,26
2022-08-29,21
2022-08-30,19
2022-08-31,18
2022-09-01,19
2022-09-02,20
2022-09-03,29
2022-09-04,32
2022-09-05,29
2022-09-06,24
2022-09-07,22
2022-09-08,19
2022-09-09,21
2022-09-10,27
2022-09-11,34
2022-09-12,35
2022-09-13,23
2022-09-14,25
2022-09-15,27
2022-09-16,30
2022-09-17,31
2022-09-18,43
2022-09-19,35
2022-09-20,37
2022-09-21,33
2022-09-22,43
2022-09-23,75
2022-09-24,100
2022-09-25,82
2022-09-26,50
2022-09-27,41
