Time,weather
2025-04-15,59
2025-04-16,56
2025-04-17,65
2025-04-18,67
2025-04-19,71
2025-04-20,67
2025-04-21,62
2025-04-22,59
2025-04-23,63
2025-04-24,66
2025-04-25,72
2025-04-26,76
2025-04-27,63
2025-04-28,73
2025-04-29,72
2025-04-30,68
2025-05-01,72
2025-05-02,78
2025-05-03,84
2025-05-04,80
2025-05-05,72
2025-05-06,76
2025-05-07,67
2025-05-08,67
2025-05-09,70
2025-05-10,72
2025-05-11,69
2025-05-12,77
2025-05-13,72
2025-05-14,70
2025-05-15,78
2025-05-16,86
2025-05-17,89
2025-05-18,75
2025-05-19,79
2025-05-20,76
2025-05-21,75
2025-05-22,71
2025-05-23,68
2025-05-24,71
2025-05-25,78
2025-05-26,79
2025-05-27,75
2025-05-28,77
2025-05-29,74
2025-05-30,86
2025-05-31,80
2025-06-01,71
2025-06-02,65
2025-06-03,75
2025-06-04,74
2025-06-05,72
2025-06-06,77
2025-06-07,79
2025-06-08,82
2025-06-09,77
2025-06-10,73
2025-06-11,65
2025-06-12,70
2025-06-13,78
2025-06-14,86
2025-06-15,78
2025-06-16,72
2025-06-17,74
2025-06-18,81
2025-06-19,79
2025-06-20,66
2025-06-21,66
2025-06-22,68
2025-06-23,68
2025-06-24,73
2025-06-25,79
2025-06-26,81
2025-06-27,72
2025-06-28,73
2025-06-29,74
2025-06-30,72
2025-07-01,74
2025-07-02,66
2025-07-03,67
2025-07-04,69
2025-07-05,72
2025-07-06,79
2025-07-07,79
2025-07-08,73
2025-07-09,77
2025-07-10,73
2025-07-11,71
2025-07-12,76
2025-07-13,74
2025-07-14,77
2025-07-15,72
2025-07-16,78
2025-07-17,75
2025-07-18,62
2025-07-19,79
2025-07-20,72
2025-07-21,64
2025-07-22,60
2025-07-23,62
2025-07-24,62
2025-07-25,70
2025-07-26,69
2025-07-27,71
2025-07-28,64
2025-07-29,66
2025-07-30,74
2025-07-31,84
2025-08-01,66
2025-08-02,61
2025-08-03,58
2025-08-04,58
2025-08-05,57
2025-08-06,60
2025-08-07,59
2025-08-08,54
2025-08-09,62
2025-08-10,65
2025-08-11,60
2025-08-12,65
2025-08-13,72
2025-08-14,62
2025-08-15,60
2025-08-16,71
2025-08-17,69
2025-08-18,64
2025-08-19,66
2025-08-20,69
2025-08-21,66
2025-08-22,63
2025-08-23,66
2025-08-24,66
2025-08-25,61
2025-08-26,55
2025-08-27,56
2025-08-28,59
2025-08-29,60
2025-08-30,58
2025-08-31,59
2025-09-01,55
2025-09-02,55
2025-09-03,60
2025-09-04,61
2025-09-05,62
2025-09-06,82
2025-09-07,62
2025-09-08,58
2025-09-09,53
2025-09-10,50
2025-09-11,45
2025-09-12,45
2025-09-13,52
2025-09-14,46
2025-09-15,49
2025-09-16,50
2025-09-17,56
2025-09-18,57
2025-09-19,58
2025-09-20,56
2025-09-21,62
2025-09-22,68
2025-09-23,67
2025-09-24,71
2025-09-25,70
2025-09-26,64
2025-09-27,64
2025-09-28,55
2025-09-29,57
2025-09-30,51
2025-10-01,47
2025-10-02,48
2025-10-03,50
2025-10-04,53
2025-10-05,54
2025-10-06,62
2025-10-07,63
2025-10-08,63
2025-10-09,63
2025-10-10,68
2025-10-11,73
2025-10-12,73
2025-10-13,73
2025-10-14,68
2025-10-15,58
2025-10-16,53
2025-10-17,56
2025-10-18,70
2025-10-19,69
2025-10-20,58
2025-10-21,53
2025-10-22,59
2025-10-23,55
2025-10-24,61
2025-10-25,72
2025-10-26,67
2025-10-27,65
2025-10-28,65
2025-10-29,62
2025-10-30,63
2025-10-31,55
2025-11-01,55
2025-11-02,55
2025-11-03,55
2025-11-04,45
2025-11-05,50
2025-11-06,53
2025-11-07,59
2025-11-08,63
2025-11-09,77
2025-11-10,79
2025-11-11,76
2025-11-12,67
2025-11-13,63
2025-11-14,60
2025-11-15,66
2025-11-16,67
2025-11-17,62
2025-11-18,68
2025-11-19,64
2025-11-20,73
2025-11-21,68
2025-11-22,66
2025-11-23,60
2025-11-24,64
2025-11-25,71
2025-11-26,70
2025-11-27,65
2025-11-28,71
2025-11-29,87
2025-11-30,95
2025-12-01,92
2025-12-02,100
2025-12-03,69
2025-12-04,81
2025-12-05,78
2025-12-06,68
2025-12-07,72
2025-12-08,77
2025-12-09,72
2025-12-10,77
2025-12-11,69
2025-12-12,66
2025-12-13,83
2025-12-14,94
2025-12-15,82
2025-12-16,67
2025-12-17,65
2025-12-18,80
2025-12-19,80
2025-12-20,66
2025-12-21,62
2025-12-22,70
2025-12-23,74
2025-12-24,74
2025-12-25,70
2025-12-26,94
2025-12-27,81
2025-12-28,83
2025-12-29,93
2025-12-30,82
2025-12-31,78
2026-01-01,73
2026-01-02,71
2026-01-03,69
2026-01-04,72
2026-01-05,65
2026-01-06,61
2026-01-07,61
2026-01-08,73
2026-01-09,73
