Time,pi
2023-04-26,70
2023-04-27,74
2023-04-28,72
2023-04-29,64
2023-04-30,61
2023-05-01,71
2023-05-02,70
2023-05-03,68
2023-05-04,76
2023-05-05,65
2023-05-06,58
2023-05-07,60
2023-05-08,78
2023-05-09,71
2023-05-10,69
2023-05-11,65
2023-05-12,69
2023-05-13,58
2023-05-14,62
2023-05-15,75
2023-05-16,75
2023-05-17,65
2023-05-18,69
2023-05-19,67
2023-05-20,57
2023-05-21,59
2023-05-22,71
2023-05-23,63
2023-05-24,64
2023-05-25,67
2023-05-26,63
2023-05-27,56
2023-05-28,56
2023-05-29,58
2023-05-30,67
2023-05-31,60
2023-06-01,63
2023-06-02,60
2023-06-03,54
2023-06-04,55
2023-06-05,61
2023-06-06,62
2023-06-07,59
2023-06-08,65
2023-06-09,66
2023-06-10,55
2023-06-11,60
2023-06-12,62
2023-06-13,59
2023-06-14,60
2023-06-15,60
2023-06-16,54
2023-06-17,50
2023-06-18,53
2023-06-19,57
2023-06-20,59
2023-06-21,56
2023-06-22,54
2023-06-23,55
2023-06-24,56
2023-06-25,59
2023-06-26,67
2023-06-27,57
2023-06-28,60
2023-06-29,61
2023-06-30,54
2023-07-01,48
2023-07-02,49
2023-07-03,53
2023-07-04,50
2023-07-05,53
2023-07-06,54
2023-07-07,54
2023-07-08,53
2023-07-09,56
2023-07-10,57
2023-07-11,57
2023-07-12,56
2023-07-13,55
2023-07-14,56
2023-07-15,51
2023-07-16,54
2023-07-17,58
2023-07-18,56
2023-07-19,63
2023-07-20,57
2023-07-21,54
2023-07-22,50
2023-07-23,52
2023-07-24,57
2023-07-25,56
2023-07-26,56
2023-07-27,55
2023-07-28,57
2023-07-29,51
2023-07-30,50
2023-07-31,52
2023-08-01,56
2023-08-02,53
2023-08-03,55
2023-08-04,55
2023-08-05,49
2023-08-06,51
2023-08-07,59
2023-08-08,58
2023-08-09,53
2023-08-10,56
2023-08-11,55
2023-08-12,68
2023-08-13,54
2023-08-14,55
2023-08-15,61
2023-08-16,58
2023-08-17,62
2023-08-18,58
2023-08-19,58
2023-08-20,67
2023-08-21,70
2023-08-22,65
2023-08-23,68
2023-08-24,64
2023-08-25,63
2023-08-26,58
2023-08-27,61
2023-08-28,63
2023-08-29,67
2023-08-30,68
2023-08-31,67
2023-09-01,63
2023-09-02,55
2023-09-03,57
2023-09-04,62
2023-09-05,67
2023-09-06,67
2023-09-07,67
2023-09-08,70
2023-09-09,55
2023-09-10,59
2023-09-11,69
2023-09-12,72
2023-09-13,68
2023-09-14,69
2023-09-15,65
2023-09-16,56
2023-09-17,60
2023-09-18,71
2023-09-19,69
2023-09-20,70
2023-09-21,66
2023-09-22,63
2023-09-23,56
2023-09-24,60
2023-09-25,70
2023-09-26,69
2023-09-27,66
2023-09-28,86
2023-09-29,79
2023-09-30,67
2023-10-01,69
2023-10-02,74
2023-10-03,76
2023-10-04,81
2023-10-05,90
2023-10-06,74
2023-10-07,67
2023-10-08,70
2023-10-09,72
2023-10-10,91
2023-10-11,75
2023-10-12,77
2023-10-13,71
2023-10-14,61
2023-10-15,64
2023-10-16,71
2023-10-17,74
2023-10-18,72
2023-10-19,77
2023-10-20,71
2023-10-21,67
2023-10-22,70
2023-10-23,77
2023-10-24,77
2023-10-25,71
2023-10-26,100
2023-10-27,75
2023-10-28,61
2023-10-29,62
2023-10-30,70
2023-10-31,77
2023-11-01,80
2023-11-02,74
2023-11-03,67
2023-11-04,62
2023-11-05,67
2023-11-06,74
2023-11-07,70
2023-11-08,69
2023-11-09,71
2023-11-10,63
2023-11-11,58
2023-11-12,60
2023-11-13,69
2023-11-14,73
2023-11-15,70
2023-11-16,79
2023-11-17,70
2023-11-18,61
2023-11-19,61
2023-11-20,66
2023-11-21,71
2023-11-22,69
2023-11-23,62
2023-11-24,60
2023-11-25,57
2023-11-26,60
2023-11-27,68
2023-11-28,71
2023-11-29,68
2023-11-30,69
2023-12-01,66
2023-12-02,66
2023-12-03,62
2023-12-04,68
2023-12-05,73
2023-12-06,73
2023-12-07,78
2023-12-08,69
2023-12-09,64
2023-12-10,65
2023-12-11,68
2023-12-12,64
2023-12-13,69
2023-12-14,77
2023-12-15,63
2023-12-16,59
2023-12-17,61
2023-12-18,62
2023-12-19,68
2023-12-20,64
2023-12-21,64
2023-12-22,59
2023-12-23,56
2023-12-24,61
2023-12-25,60
2023-12-26,59
2023-12-27,62
2023-12-28,61
2023-12-29,61
2023-12-30,59
2023-12-31,61
2024-01-01,57
2024-01-02,56
2024-01-03,67
2024-01-04,84
2024-01-05,69
2024-01-06,65
2024-01-07,62
2024-01-08,65
2024-01-09,69
2024-01-10,73
2024-01-11,72
2024-01-12,68
2024-01-13,60
2024-01-14,60
2024-01-15,58
2024-01-16,70
2024-01-17,72
2024-01-18,75
2024-01-19,67
2024-01-20,61
