Time,cindy williams
2023-12-22,40
2023-12-23,38
2023-12-24,26
2023-12-25,41
2023-12-26,36
2023-12-27,44
2023-12-28,47
2023-12-29,95
2023-12-30,65
2023-12-31,100
2024-01-01,92
2024-01-02,40
2024-01-03,28
2024-01-04,18
2024-01-05,14
2024-01-06,17
2024-01-07,23
2024-01-08,7
2024-01-09,20
2024-01-10,13
2024-01-11,11
2024-01-12,11
2024-01-13,11
2024-01-14,13
2024-01-15,11
2024-01-16,76
2024-01-17,25
2024-01-18,15
2024-01-19,11
2024-01-20,30
2024-01-21,44
2024-01-22,22
2024-01-23,12
2024-01-24,11
2024-01-25,11
2024-01-26,12
2024-01-27,14
2024-01-28,10
2024-01-29,10
2024-01-30,11
2024-01-31,0
2024-02-01,7
2024-02-02,9
2024-02-03,14
2024-02-04,20
2024-02-05,10
2024-02-06,13
2024-02-07,18
2024-02-08,11
2024-02-09,10
2024-02-10,0
2024-02-11,8
2024-02-12,8
2024-02-13,8
2024-02-14,9
2024-02-15,8
2024-02-16,7
2024-02-17,0
2024-02-18,14
2024-02-19,15
2024-02-20,12
2024-02-21,7
2024-02-22,11
2024-02-23,11
2024-02-24,11
2024-02-25,17
2024-02-26,17
2024-02-27,0
2024-02-28,6
2024-02-29,12
2024-03-01,11
2024-03-02,10
2024-03-03,13
2024-03-04,7
2024-03-05,8
2024-03-06,9
2024-03-07,11
2024-03-08,21
2024-03-09,8
2024-03-10,13
2024-03-11,0
2024-03-12,8
2024-03-13,0
2024-03-14,7
2024-03-15,7
2024-03-16,0
2024-03-17,9
2024-03-18,7
2024-03-19,7
2024-03-20,10
2024-03-21,7
2024-03-22,0
2024-03-23,11
2024-03-24,15
2024-03-25,0
2024-03-26,9
2024-03-27,7
2024-03-28,0
2024-03-29,0
2024-03-30,0
2024-03-31,8
2024-04-01,0
2024-04-02,7
2024-04-03,0
2024-04-04,6
2024-04-05,0
2024-04-06,0
2024-04-07,12
2024-04-08,0
2024-04-09,9
2024-04-10,0
2024-04-11,9
2024-04-12,8
2024-04-13,0
2024-04-14,10
2024-04-15,8
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,8
2024-04-23,12
2024-04-24,14
2024-04-25,7
2024-04-26,7
2024-04-27,11
2024-04-28,14
2024-04-29,7
2024-04-30,10
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,10
2024-05-05,27
2024-05-06,23
2024-05-07,14
2024-05-08,48
2024-05-09,77
2024-05-10,56
2024-05-11,68
2024-05-12,20
2024-05-13,13
2024-05-14,13
2024-05-15,14
2024-05-16,22
2024-05-17,9
2024-05-18,8
2024-05-19,16
2024-05-20,0
2024-05-21,0
2024-05-22,15
2024-05-23,11
2024-05-24,10
2024-05-25,9
2024-05-26,9
2024-05-27,16
2024-05-28,16
2024-05-29,10
2024-05-30,18
2024-05-31,13
2024-06-01,14
2024-06-02,9
2024-06-03,30
2024-06-04,8
2024-06-05,0
2024-06-06,9
2024-06-07,0
2024-06-08,0
2024-06-09,12
2024-06-10,8
2024-06-11,0
2024-06-12,0
2024-06-13,7
2024-06-14,8
2024-06-15,0
2024-06-16,0
2024-06-17,8
2024-06-18,8
2024-06-19,9
2024-06-20,8
2024-06-21,0
2024-06-22,9
2024-06-23,9
2024-06-24,11
2024-06-25,0
2024-06-26,0
2024-06-27,0
2024-06-28,0
2024-06-29,0
2024-06-30,0
2024-07-01,0
2024-07-02,0
2024-07-03,0
2024-07-04,11
2024-07-05,14
2024-07-06,15
2024-07-07,0
2024-07-08,0
2024-07-09,0
2024-07-10,0
2024-07-11,9
2024-07-12,10
2024-07-13,0
2024-07-14,9
2024-07-15,8
2024-07-16,13
2024-07-17,7
2024-07-18,0
2024-07-19,0
2024-07-20,0
2024-07-21,8
2024-07-22,7
2024-07-23,10
2024-07-24,9
2024-07-25,0
2024-07-26,9
2024-07-27,9
2024-07-28,10
2024-07-29,8
2024-07-30,13
2024-07-31,10
2024-08-01,7
2024-08-02,10
2024-08-03,13
2024-08-04,0
2024-08-05,12
2024-08-06,7
2024-08-07,0
2024-08-08,9
2024-08-09,15
2024-08-10,9
2024-08-11,14
2024-08-12,12
2024-08-13,9
2024-08-14,0
2024-08-15,0
2024-08-16,0
2024-08-17,10
2024-08-18,0
2024-08-19,7
2024-08-20,9
2024-08-21,0
2024-08-22,12
2024-08-23,8
2024-08-24,0
2024-08-25,0
2024-08-26,0
2024-08-27,7
2024-08-28,6
2024-08-29,0
2024-08-30,0
2024-08-31,8
2024-09-01,18
2024-09-02,16
2024-09-03,0
2024-09-04,7
2024-09-05,7
2024-09-06,0
2024-09-07,9
2024-09-08,18
2024-09-09,0
2024-09-10,8
2024-09-11,0
2024-09-12,8
2024-09-13,0
2024-09-14,0
2024-09-15,11
2024-09-16,0
