Time,cindy williams
2025-12-11,0
2025-12-12,0
2025-12-13,13
2025-12-14,12
2025-12-15,100
2025-12-16,57
2025-12-17,29
2025-12-18,28
2025-12-19,16
2025-12-20,17
2025-12-21,21
2025-12-22,17
2025-12-23,19
2025-12-24,13
2025-12-25,0
2025-12-26,0
2025-12-27,15
2025-12-28,17
2025-12-29,16
2025-12-30,22
2025-12-31,11
2026-01-01,0
2026-01-02,13
2026-01-03,11
2026-01-04,0
2026-01-05,14
2026-01-06,0
2026-01-07,0
2026-01-08,11
2026-01-09,0
2026-01-10,0
2026-01-11,0
2026-01-12,0
2026-01-13,0
2026-01-14,0
2026-01-15,11
2026-01-16,0
2026-01-17,0
2026-01-18,0
2026-01-19,16
2026-01-20,0
2026-01-21,0
2026-01-22,26
2026-01-23,0
2026-01-24,14
2026-01-25,29
2026-01-26,23
2026-01-27,22
2026-01-28,22
2026-01-29,17
2026-01-30,12
2026-01-31,0
2026-02-01,12
2026-02-02,0
2026-02-03,10
2026-02-04,0
2026-02-05,0
2026-02-06,0
2026-02-07,0
2026-02-08,23
2026-02-09,10
2026-02-10,0
2026-02-11,15
2026-02-12,20
2026-02-13,12
2026-02-14,15
2026-02-15,14
2026-02-16,12
2026-02-17,0
2026-02-18,0
2026-02-19,0
2026-02-20,0
2026-02-21,0
2026-02-22,0
2026-02-23,0
2026-02-24,0
2026-02-25,12
2026-02-26,0
2026-02-27,0
2026-02-28,0
2026-03-01,0
2026-03-02,14
2026-03-03,0
2026-03-04,0
2026-03-05,0
2026-03-06,0
2026-03-07,0
2026-03-08,0
2026-03-09,10
2026-03-10,11
2026-03-11,0
2026-03-12,13
2026-03-13,11
2026-03-14,14
2026-03-15,15
2026-03-16,0
2026-03-17,14
2026-03-18,0
2026-03-19,0
2026-03-20,0
2026-03-21,15
2026-03-22,11
2026-03-23,13
2026-03-24,0
2026-03-25,10
2026-03-26,0
2026-03-27,12
2026-03-28,11
2026-03-29,13
2026-03-30,0
2026-03-31,10
2026-04-01,0
2026-04-02,10
2026-04-03,0
2026-04-04,0
2026-04-05,12
2026-04-06,0
2026-04-07,0
2026-04-08,0
2026-04-09,14
2026-04-10,0
2026-04-11,0
2026-04-12,15
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,0
2026-04-17,12
2026-04-18,0
2026-04-19,15
2026-04-20,0
2026-04-21,0
2026-04-22,0
2026-04-23,13
2026-04-24,0
2026-04-25,0
2026-04-26,18
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,10
2026-05-02,12
2026-05-03,0
2026-05-04,0
2026-05-05,26
2026-05-06,15
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,14
2026-05-11,11
2026-05-12,16
2026-05-13,11
2026-05-14,10
2026-05-15,0
2026-05-16,0
2026-05-17,12
2026-05-18,0
2026-05-19,0
2026-05-20,0
2026-05-21,0
2026-05-22,0
2026-05-23,0
2026-05-24,0
2026-05-25,13
2026-05-26,0
2026-05-27,0
2026-05-28,0
2026-05-29,0
2026-05-30,17
2026-05-31,15
