Time,cindy williams
2023-04-26,5
2023-04-27,6
2023-04-28,4
2023-04-29,7
2023-04-30,10
2023-05-01,18
2023-05-02,11
2023-05-03,12
2023-05-04,14
2023-05-05,8
2023-05-06,19
2023-05-07,34
2023-05-08,19
2023-05-09,10
2023-05-10,11
2023-05-11,11
2023-05-12,13
2023-05-13,8
2023-05-14,12
2023-05-15,9
2023-05-16,9
2023-05-17,7
2023-05-18,100
2023-05-19,25
2023-05-20,10
2023-05-21,6
2023-05-22,10
2023-05-23,7
2023-05-24,10
2023-05-25,7
2023-05-26,7
2023-05-27,8
2023-05-28,5
2023-05-29,9
2023-05-30,7
2023-05-31,11
2023-06-01,12
2023-06-02,5
2023-06-03,6
2023-06-04,0
2023-06-05,5
2023-06-06,0
2023-06-07,7
2023-06-08,4
2023-06-09,0
2023-06-10,8
2023-06-11,6
2023-06-12,6
2023-06-13,5
2023-06-14,5
2023-06-15,5
2023-06-16,4
2023-06-17,0
2023-06-18,6
2023-06-19,8
2023-06-20,15
2023-06-21,9
2023-06-22,8
2023-06-23,0
2023-06-24,9
2023-06-25,8
2023-06-26,9
2023-06-27,10
2023-06-28,11
2023-06-29,5
2023-06-30,7
2023-07-01,7
2023-07-02,7
2023-07-03,15
2023-07-04,15
2023-07-05,8
2023-07-06,8
2023-07-07,6
2023-07-08,6
2023-07-09,7
2023-07-10,12
2023-07-11,17
2023-07-12,8
2023-07-13,5
2023-07-14,9
2023-07-15,6
2023-07-16,6
2023-07-17,6
2023-07-18,5
2023-07-19,8
2023-07-20,7
2023-07-21,7
2023-07-22,7
2023-07-23,8
2023-07-24,7
2023-07-25,6
2023-07-26,8
2023-07-27,0
2023-07-28,7
2023-07-29,9
2023-07-30,19
2023-07-31,8
2023-08-01,9
2023-08-02,5
2023-08-03,8
2023-08-04,7
2023-08-05,8
2023-08-06,9
2023-08-07,7
2023-08-08,10
2023-08-09,8
2023-08-10,6
2023-08-11,10
2023-08-12,11
2023-08-13,7
2023-08-14,9
2023-08-15,5
2023-08-16,5
2023-08-17,5
2023-08-18,4
2023-08-19,10
2023-08-20,5
2023-08-21,7
2023-08-22,16
2023-08-23,20
2023-08-24,18
2023-08-25,12
2023-08-26,13
2023-08-27,12
2023-08-28,7
2023-08-29,8
2023-08-30,4
2023-08-31,0
2023-09-01,5
2023-09-02,0
2023-09-03,7
2023-09-04,18
2023-09-05,7
2023-09-06,4
2023-09-07,6
2023-09-08,6
2023-09-09,9
2023-09-10,8
2023-09-11,11
2023-09-12,8
2023-09-13,10
2023-09-14,6
2023-09-15,0
2023-09-16,0
2023-09-17,7
2023-09-18,6
2023-09-19,8
2023-09-20,5
2023-09-21,5
2023-09-22,7
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,5
2023-09-27,8
2023-09-28,0
2023-09-29,9
2023-09-30,5
2023-10-01,0
2023-10-02,5
2023-10-03,7
2023-10-04,7
2023-10-05,6
2023-10-06,5
2023-10-07,5
2023-10-08,5
2023-10-09,5
2023-10-10,4
2023-10-11,6
2023-10-12,5
2023-10-13,13
2023-10-14,12
2023-10-15,11
2023-10-16,12
2023-10-17,7
2023-10-18,10
2023-10-19,6
2023-10-20,0
2023-10-21,4
2023-10-22,5
2023-10-23,0
2023-10-24,4
2023-10-25,4
2023-10-26,6
2023-10-27,6
2023-10-28,14
2023-10-29,10
2023-10-30,6
2023-10-31,4
2023-11-01,6
2023-11-02,15
2023-11-03,8
2023-11-04,5
2023-11-05,13
2023-11-06,10
2023-11-07,4
2023-11-08,6
2023-11-09,5
2023-11-10,7
2023-11-11,6
2023-11-12,5
2023-11-13,6
2023-11-14,11
2023-11-15,8
2023-11-16,0
2023-11-17,5
2023-11-18,7
2023-11-19,9
2023-11-20,0
2023-11-21,5
2023-11-22,7
2023-11-23,0
2023-11-24,7
2023-11-25,12
2023-11-26,7
2023-11-27,7
2023-11-28,5
2023-11-29,5
2023-11-30,5
2023-12-01,11
2023-12-02,19
2023-12-03,8
2023-12-04,0
2023-12-05,5
2023-12-06,6
2023-12-07,11
2023-12-08,0
2023-12-09,7
2023-12-10,7
2023-12-11,6
2023-12-12,11
2023-12-13,7
2023-12-14,5
2023-12-15,8
2023-12-16,8
2023-12-17,17
2023-12-18,8
2023-12-19,7
2023-12-20,6
2023-12-21,9
2023-12-22,24
2023-12-23,23
2023-12-24,15
2023-12-25,24
2023-12-26,21
2023-12-27,26
2023-12-28,28
2023-12-29,57
2023-12-30,38
2023-12-31,59
2024-01-01,55
2024-01-02,24
2024-01-03,17
2024-01-04,11
2024-01-05,8
2024-01-06,10
2024-01-07,13
2024-01-08,4
2024-01-09,12
2024-01-10,8
2024-01-11,7
2024-01-12,7
2024-01-13,7
2024-01-14,8
2024-01-15,6
2024-01-16,45
2024-01-17,15
2024-01-18,9
2024-01-19,6
2024-01-20,18
