Time,gimkit
2022-01-01,0
2022-01-02,0
2022-01-03,4
2022-01-04,8
2022-01-05,9
2022-01-06,9
2022-01-07,12
2022-01-08,1
2022-01-09,1
2022-01-10,8
2022-01-11,10
2022-01-12,11
2022-01-13,14
2022-01-14,13
2022-01-15,2
2022-01-16,1
2022-01-17,1
2022-01-18,9
2022-01-19,11
2022-01-20,12
2022-01-21,14
2022-01-22,1
2022-01-23,1
2022-01-24,11
2022-01-25,9
2022-01-26,11
2022-01-27,14
2022-01-28,17
2022-01-29,2
2022-01-30,1
2022-01-31,11
2022-02-01,12
2022-02-02,12
2022-02-03,13
2022-02-04,12
2022-02-05,1
2022-02-06,1
2022-02-07,11
2022-02-08,12
2022-02-09,12
2022-02-10,13
2022-02-11,16
2022-02-12,2
2022-02-13,1
2022-02-14,9
2022-02-15,11
2022-02-16,12
2022-02-17,13
2022-02-18,12
2022-02-19,1
2022-02-20,1
2022-02-21,3
2022-02-22,8
2022-02-23,10
2022-02-24,10
2022-02-25,12
2022-02-26,2
2022-02-27,1
2022-02-28,10
2022-03-01,10
2022-03-02,13
2022-03-03,14
2022-03-04,16
2022-03-05,2
2022-03-06,1
2022-03-07,10
2022-03-08,12
2022-03-09,16
2022-03-10,17
2022-03-11,16
2022-03-12,2
2022-03-13,1
2022-03-14,7
2022-03-15,9
2022-03-16,9
2022-03-17,10
2022-03-18,11
2022-03-19,1
2022-03-20,1
2022-03-21,9
2022-03-22,11
2022-03-23,12
2022-03-24,13
2022-03-25,71
2022-03-26,2
2022-03-27,2
2022-03-28,35
2022-03-29,41
2022-03-30,11
2022-03-31,57
2022-04-01,61
2022-04-02,2
2022-04-03,1
2022-04-04,36
2022-04-05,36
2022-04-06,45
2022-04-07,53
2022-04-08,66
2022-04-09,3
2022-04-10,1
2022-04-11,41
2022-04-12,45
2022-04-13,54
2022-04-14,62
2022-04-15,21
2022-04-16,2
2022-04-17,1
2022-04-18,31
2022-04-19,42
2022-04-20,47
2022-04-21,58
2022-04-22,66
2022-04-23,3
2022-04-24,2
2022-04-25,52
2022-04-26,56
2022-04-27,59
2022-04-28,67
2022-04-29,75
2022-04-30,3
2022-05-01,2
2022-05-02,64
2022-05-03,71
2022-05-04,80
2022-05-05,82
2022-05-06,97
2022-05-07,5
2022-05-08,3
2022-05-09,71
2022-05-10,62
2022-05-11,71
2022-05-12,83
2022-05-13,89
2022-05-14,4
2022-05-15,2
2022-05-16,66
2022-05-17,75
2022-05-18,77
2022-05-19,79
2022-05-20,74
2022-05-21,4
2022-05-22,2
2022-05-23,60
2022-05-24,60
2022-05-25,53
2022-05-26,47
2022-05-27,34
2022-05-28,3
2022-05-29,1
2022-05-30,1
2022-05-31,27
2022-06-01,27
2022-06-02,26
2022-06-03,25
2022-06-04,2
2022-06-05,1
2022-06-06,19
2022-06-07,21
2022-06-08,21
2022-06-09,20
2022-06-10,17
2022-06-11,1
2022-06-12,1
2022-06-13,15
2022-06-14,16
2022-06-15,14
2022-06-16,13
2022-06-17,8
2022-06-18,1
2022-06-19,1
2022-06-20,4
2022-06-21,7
2022-06-22,7
2022-06-23,7
2022-06-24,3
2022-06-25,1
2022-06-26,1
2022-06-27,4
2022-06-28,3
2022-06-29,3
2022-06-30,3
2022-07-01,2
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,1
2022-07-06,2
2022-07-07,2
2022-07-08,2
2022-07-09,0
2022-07-10,0
2022-07-11,2
2022-07-12,2
2022-07-13,2
2022-07-14,2
2022-07-15,1
2022-07-16,0
2022-07-17,0
2022-07-18,1
2022-07-19,1
2022-07-20,1
2022-07-21,1
2022-07-22,1
2022-07-23,0
2022-07-24,0
2022-07-25,1
2022-07-26,1
2022-07-27,1
2022-07-28,2
2022-07-29,2
2022-07-30,0
2022-07-31,0
2022-08-01,2
2022-08-02,2
2022-08-03,3
2022-08-04,4
2022-08-05,6
2022-08-06,0
2022-08-07,0
2022-08-08,4
2022-08-09,6
2022-08-10,9
2022-08-11,14
2022-08-12,21
2022-08-13,1
2022-08-14,1
2022-08-15,13
2022-08-16,19
2022-08-17,24
2022-08-18,33
2022-08-19,49
2022-08-20,2
2022-08-21,1
2022-08-22,30
2022-08-23,36
2022-08-24,41
2022-08-25,45
2022-08-26,70
2022-08-27,3
2022-08-28,2
2022-08-29,39
2022-08-30,45
2022-08-31,57
2022-09-01,74
2022-09-02,78
2022-09-03,3
2022-09-04,2
2022-09-05,2
2022-09-06,45
2022-09-07,60
2022-09-08,74
2022-09-09,97
2022-09-10,4
2022-09-11,2
2022-09-12,53
2022-09-13,64
2022-09-14,79
2022-09-15,88
2022-09-16,99
2022-09-17,4
2022-09-18,3
2022-09-19,56
2022-09-20,68
2022-09-21,84
2022-09-22,87
2022-09-23,100
2022-09-24,4
2022-09-25,3
2022-09-26,44
2022-09-27,58
