Time,svb
2022-01-01,0.0
2022-01-02,30.0
2022-01-03,49.0
2022-01-04,49.0
2022-01-05,56.0
2022-01-06,43.0
2022-01-07,46.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,42.0
2022-01-11,32.0
2022-01-12,62.0
2022-01-13,38.0
2022-01-14,57.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,42.0
2022-01-19,69.0
2022-01-20,68.0
2022-01-21,71.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,62.0
2022-01-25,36.0
2022-01-26,27.0
2022-01-27,55.0
2022-01-28,54.0
2022-01-29,0.0
2022-01-30,28.0
2022-01-31,57.0
2022-02-01,55.0
2022-02-02,53.0
2022-02-03,50.0
2022-02-04,56.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,33.0
2022-02-08,56.0
2022-02-09,31.0
2022-02-10,48.0
2022-02-11,50.0
2022-02-12,0.0
2022-02-13,21.0
2022-02-14,39.0
2022-02-15,57.0
2022-02-16,41.0
2022-02-17,41.0
2022-02-18,72.0
2022-02-19,22.0
2022-02-20,19.0
2022-02-21,49.0
2022-02-22,47.0
2022-02-23,48.0
2022-02-24,58.0
2022-02-25,33.0
2022-02-26,28.0
2022-02-27,0.0
2022-02-28,46.0
2022-03-01,59.0
2022-03-02,28.0
2022-03-03,68.0
2022-03-04,51.0
2022-03-05,28.0
2022-03-06,0.0
2022-03-07,49.0
2022-03-08,46.0
2022-03-09,55.0
2022-03-10,47.0
2022-03-11,60.0
2022-03-12,30.0
2022-03-13,0.0
2022-03-14,26.0
2022-03-15,39.0
2022-03-16,37.0
2022-03-17,54.0
2022-03-18,50.0
2022-03-19,26.0
2022-03-20,25.0
2022-03-21,39.0
2022-03-22,50.0
2022-03-23,48.0
2022-03-24,46.0
2022-03-25,65.0
2022-03-26,21.0
2022-03-27,20.0
2022-03-28,74.0
2022-03-29,63.0
2022-03-30,53.0
2022-03-31,50.0
2022-04-01,61.0
2022-04-02,17.0
2022-04-03,27.0
2022-04-04,73.0
2022-04-05,59.0
2022-04-06,60.0
2022-04-07,64.0
2022-04-08,71.0
2022-04-09,33.0
2022-04-10,27.0
2022-04-11,67.0
2022-04-12,89.0
2022-04-13,53.0
2022-04-14,63.0
2022-04-15,51.0
2022-04-16,27.0
2022-04-17,24.0
2022-04-18,72.0
2022-04-19,63.0
2022-04-20,73.0
2022-04-21,84.0
2022-04-22,96.0
2022-04-23,33.0
2022-04-24,31.0
2022-04-25,73.0
2022-04-26,85.0
2022-04-27,73.0
2022-04-28,76.0
2022-04-29,76.0
2022-04-30,30.0
2022-05-01,32.0
2022-05-02,73.0
2022-05-03,77.0
2022-05-04,75.0
2022-05-05,87.0
2022-05-06,63.0
2022-05-07,38.0
2022-05-08,37.0
2022-05-09,61.0
2022-05-10,70.0
2022-05-11,71.0
2022-05-12,58.0
2022-05-13,86.0
2022-05-14,27.0
2022-05-15,23.0
2022-05-16,78.0
2022-05-17,100.0
2022-05-18,79.0
2022-05-19,79.0
2022-05-20,45.0
2022-05-21,37.0
2022-05-22,0.0
2022-05-23,86.0
2022-05-24,67.0
2022-05-25,72.0
2022-05-26,59.0
2022-05-27,67.0
2022-05-28,0.0
2022-05-29,25.0
2022-05-30,27.0
2022-05-31,60.0
2022-06-01,59.0
2022-06-02,55.0
2022-06-03,78.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,69.0
2022-06-07,82.0
2022-06-08,51.0
2022-06-09,70.0
2022-06-10,69.0
2022-06-11,0.0
2022-06-12,21.0
2022-06-13,65.0
2022-06-14,62.0
2022-06-15,64.0
2022-06-16,64.0
2022-06-17,69.0
2022-06-18,30.0
2022-06-19,0.0
2022-06-20,41.0
2022-06-21,69.0
2022-06-22,62.0
2022-06-23,62.0
2022-06-24,70.0
2022-06-25,0.0
2022-06-26,22.0
2022-06-27,69.0
2022-06-28,66.0
2022-06-29,54.0
2022-06-30,73.0
2022-07-01,61.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,30.0
2022-07-05,72.0
2022-07-06,79.0
2022-07-07,59.0
2022-07-08,61.0
2022-07-09,23.0
2022-07-10,25.0
2022-07-11,65.0
2022-07-12,65.0
2022-07-13,61.0
2022-07-14,67.0
2022-07-15,60.0
2022-07-16,30.0
2022-07-17,26.0
2022-07-18,68.0
2022-07-19,90.0
2022-07-20,73.0
2022-07-21,85.0
2022-07-22,87.0
