step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_rebel_wilson_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_rebel_wilson_2022-08-29_2023-05-25.csv,30.0,30.0,0.9690358097118045,3.0,0.3333333333333333,0.15406369389558144,overlap_ratio
2,gt_rebel_wilson_2023-04-26_2024-01-20.csv,30.0,30.0,0.9971654520783408,16.625874125874127,0.0601472134595163,0.045137124928482174,overlap_ratio
3,gt_rebel_wilson_2023-12-22_2024-09-16.csv,30.0,30.0,0.989469110341041,2.326672715289606,0.4297983095897215,0.08001592253128144,overlap_ratio
4,gt_rebel_wilson_2024-08-18_2025-05-14.csv,30.0,30.0,0.966966907742177,7.83313147480834,0.12766286423457074,0.09701593125251702,overlap_ratio
5,gt_rebel_wilson_2025-04-15_2026-01-09.csv,30.0,30.0,0.9977136483330238,19.147654716198165,0.05222571718686985,0.028082226218811936,overlap_ratio
6,gt_rebel_wilson_2025-12-11_2026-05-31.csv,30.0,30.0,0.9997878328899674,16.849936150254386,0.05934740589417028,0.01009037673118082,overlap_ratio
