Time,ebay
2023-04-26,87
2023-04-27,83
2023-04-28,80
2023-04-29,91
2023-04-30,94
2023-05-01,88
2023-05-02,94
2023-05-03,85
2023-05-04,82
2023-05-05,82
2023-05-06,91
2023-05-07,89
2023-05-08,85
2023-05-09,85
2023-05-10,85
2023-05-11,82
2023-05-12,83
2023-05-13,90
2023-05-14,86
2023-05-15,88
2023-05-16,84
2023-05-17,83
2023-05-18,84
2023-05-19,85
2023-05-20,91
2023-05-21,92
2023-05-22,83
2023-05-23,83
2023-05-24,81
2023-05-25,85
2023-05-26,84
2023-05-27,88
2023-05-28,88
2023-05-29,95
2023-05-30,86
2023-05-31,84
2023-06-01,86
2023-06-02,86
2023-06-03,91
2023-06-04,97
2023-06-05,86
2023-06-06,89
2023-06-07,88
2023-06-08,90
2023-06-09,87
2023-06-10,93
2023-06-11,92
2023-06-12,92
2023-06-13,86
2023-06-14,91
2023-06-15,87
2023-06-16,87
2023-06-17,97
2023-06-18,90
2023-06-19,91
2023-06-20,87
2023-06-21,90
2023-06-22,84
2023-06-23,90
2023-06-24,93
2023-06-25,90
2023-06-26,91
2023-06-27,85
2023-06-28,86
2023-06-29,86
2023-06-30,83
2023-07-01,89
2023-07-02,93
2023-07-03,90
2023-07-04,92
2023-07-05,88
2023-07-06,87
2023-07-07,88
2023-07-08,95
2023-07-09,94
2023-07-10,89
2023-07-11,92
2023-07-12,89
2023-07-13,90
2023-07-14,86
2023-07-15,93
2023-07-16,92
2023-07-17,91
2023-07-18,87
2023-07-19,87
2023-07-20,87
2023-07-21,87
2023-07-22,92
2023-07-23,92
2023-07-24,88
2023-07-25,90
2023-07-26,89
2023-07-27,87
2023-07-28,89
2023-07-29,92
2023-07-30,91
2023-07-31,89
2023-08-01,89
2023-08-02,90
2023-08-03,94
2023-08-04,95
2023-08-05,90
2023-08-06,92
2023-08-07,88
2023-08-08,82
2023-08-09,89
2023-08-10,85
2023-08-11,92
2023-08-12,90
2023-08-13,90
2023-08-14,85
2023-08-15,89
2023-08-16,86
2023-08-17,87
2023-08-18,86
2023-08-19,93
2023-08-20,95
2023-08-21,88
2023-08-22,82
2023-08-23,88
2023-08-24,85
2023-08-25,82
2023-08-26,88
2023-08-27,92
2023-08-28,86
2023-08-29,83
2023-08-30,83
2023-08-31,84
2023-09-01,87
2023-09-02,83
2023-09-03,85
2023-09-04,91
2023-09-05,81
2023-09-06,81
2023-09-07,79
2023-09-08,78
2023-09-09,90
2023-09-10,81
2023-09-11,79
2023-09-12,81
2023-09-13,84
2023-09-14,81
2023-09-15,80
2023-09-16,90
2023-09-17,85
2023-09-18,83
2023-09-19,82
2023-09-20,82
2023-09-21,83
2023-09-22,81
2023-09-23,85
2023-09-24,89
2023-09-25,86
2023-09-26,81
2023-09-27,84
2023-09-28,80
2023-09-29,80
2023-09-30,84
2023-10-01,85
2023-10-02,80
2023-10-03,83
2023-10-04,80
2023-10-05,80
2023-10-06,80
2023-10-07,83
2023-10-08,82
2023-10-09,84
2023-10-10,81
2023-10-11,86
2023-10-12,79
2023-10-13,77
2023-10-14,87
2023-10-15,87
2023-10-16,83
2023-10-17,81
2023-10-18,80
2023-10-19,81
2023-10-20,79
2023-10-21,81
2023-10-22,87
2023-10-23,82
2023-10-24,81
2023-10-25,80
2023-10-26,78
2023-10-27,76
2023-10-28,81
2023-10-29,77
2023-10-30,79
2023-10-31,78
2023-11-01,79
2023-11-02,80
2023-11-03,79
2023-11-04,85
2023-11-05,83
2023-11-06,81
2023-11-07,85
2023-11-08,77
2023-11-09,81
2023-11-10,82
2023-11-11,86
2023-11-12,88
2023-11-13,84
2023-11-14,82
2023-11-15,84
2023-11-16,79
2023-11-17,84
2023-11-18,87
2023-11-19,92
2023-11-20,85
2023-11-21,84
2023-11-22,86
2023-11-23,87
2023-11-24,95
2023-11-25,100
2023-11-26,100
2023-11-27,93
2023-11-28,100
2023-11-29,91
2023-11-30,84
2023-12-01,88
2023-12-02,100
2023-12-03,91
2023-12-04,90
2023-12-05,91
2023-12-06,89
2023-12-07,85
2023-12-08,84
2023-12-09,93
2023-12-10,96
2023-12-11,89
2023-12-12,89
2023-12-13,89
2023-12-14,88
2023-12-15,92
2023-12-16,96
2023-12-17,94
2023-12-18,91
2023-12-19,86
2023-12-20,88
2023-12-21,85
2023-12-22,86
2023-12-23,87
2023-12-24,80
2023-12-25,85
2023-12-26,94
2023-12-27,93
2023-12-28,89
2023-12-29,97
2023-12-30,90
2023-12-31,83
2024-01-01,79
2024-01-02,84
2024-01-03,89
2024-01-04,87
2024-01-05,89
2024-01-06,94
2024-01-07,92
2024-01-08,83
2024-01-09,87
2024-01-10,82
2024-01-11,85
2024-01-12,82
2024-01-13,90
2024-01-14,90
2024-01-15,83
2024-01-16,79
2024-01-17,87
2024-01-18,84
2024-01-19,84
2024-01-20,90
